term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
caffè,true,caffè,coffee,masculine,singular,none,n/a,n/a,n/a,base lemma,"Bevo caffè tutte le mattine.","I drink coffee every morning."
un caffè,false,caffè,a coffee,masculine,singular,indefinite,un,un,n/a,"used countably to mean a cup of coffee","Vorrei un caffè, per favore.","I'd like a coffee, please."
il caffè,false,caffè,the coffee,masculine,singular,definite,il,il,n/a,,"Il caffè è troppo caldo.","The coffee is too hot."
caffè,false,caffè,coffees,masculine,plural,none,n/a,n/a,n/a,"invariable plural (stays caffè)","Abbiamo ordinato tre caffè.","We ordered three coffees."
i caffè,false,caffè,the coffees,masculine,plural,definite,i,i,n/a,,"I caffè del centro sono molto affollati.","The cafés/coffees in the center are very crowded."
dei caffè,false,caffè,some coffees,masculine,plural,articulated_preposition,i,dei,di,"partitive: some / of the (plural)","Vorrei dei caffè da portare via.","I'd like some coffees to take away."
del caffè,false,caffè,some coffee / of the coffee,masculine,singular,articulated_preposition,il,del,di,"partitive or genitive","Il sapore del caffè è intenso.","The taste of the coffee is strong."
al caffè,false,caffè,to the café / to the coffee,masculine,singular,articulated_preposition,il,al,a,,"Vado al caffè.","I'm going to the café."
ai caffè,false,caffè,to the cafés / to the coffees,masculine,plural,articulated_preposition,i,ai,a,,"Partecipo spesso ai caffè letterari.","I often attend literary cafés."
dal caffè,false,caffè,from the café / from the coffee,masculine,singular,articulated_preposition,il,dal,da,,"Ho preso il giornale dal caffè.","I took the newspaper from the café."
dai caffè,false,caffè,from the cafés,masculine,plural,articulated_preposition,i,dai,da,,"Vengono molti clienti dai caffè del centro.","Many customers come from the cafés downtown."
nel caffè,false,caffè,in the coffee / in the café,masculine,singular,articulated_preposition,il,nel,in,,"C'è del latte nel caffè.","There is some milk in the coffee."
nei caffè,false,caffè,in the cafés,masculine,plural,articulated_preposition,i,nei,in,,"Nei caffè della città si incontrano persone interessanti.","In the city's cafés you meet interesting people."
sul caffè,false,caffè,on the coffee,masculine,singular,articulated_preposition,il,sul,su,,"C'è schiuma sul caffè.","There is foam on the coffee."
sui caffè,false,caffè,on the coffees / on the cafés,masculine,plural,articulated_preposition,i,sui,su,,"Ci sono offerte sui caffè artigianali.","There are offers on artisanal coffees."
col caffè,false,caffè,with the coffee,masculine,singular,articulated_preposition,il,col,con,"common contraction of con + il","Ho del pane col caffè.","I have some bread with the coffee."
coi caffè,false,caffè,with the coffees,masculine,plural,articulated_preposition,i,coi,con,"common contraction of con + i","Sono arrivati coi caffè caldi.","They arrived with the hot coffees."
