term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
fumare,True,fumare,to smoke,verb,to smoke,"Verbs & Actions,Spotify Lessons",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; used with auxiliary avere,Mi piace fumare dopo cena.,I like to smoke after dinner.,9d2667a0a43331599bb0054301b1cbcaad50c9bb6c4499306397fd65a992b7df,1248.0,0d0b313e1bedcb6629fd5ac25f8aad58766d909cb32ae34a69b3505200426bd3,1416.0,foo-MAH-reh
fumando,False,fumare,to smoke,verb,smoking,"Verbs & Actions,Spotify Lessons",,,,,gerund,,False,False,False,,,,,gerund form,Sto fumando.,I am smoking.,056feee75cd77de8937547ca0caa5eed8a3c484bcb39aece111c3bd8dae83847,1176.0,0907d61fd02c6861b8ac16e1a439fba8f9b459d5b6c71833cc08979ca65ff8ba,1536.0,foo-MAHN-doh
fumato,False,fumare,to smoke,verb,smoked (masculine),"Verbs & Actions,Spotify Lessons",,,masculine,singular,participle,past,False,False,False,,,,,past participle,Questo salmone è fumato.,This salmon is smoked.,ba41b49c9d84dd25c0c350bf5644dd9dfc1ceca4615eb17aecd2732fe7bace19,2160.0,c92ee7f02304db1b552e258c9a5ec6b679e5ee61665e5c886160ca6d5422e370,1512.0,foo-MAH-toh
fumata,False,fumare,to smoke,verb,smoked (feminine),"Verbs & Actions,Spotify Lessons",,,feminine,singular,participle,past,False,False,False,,,,,past participle,La carne è fumata.,The meat is smoked.,c58447aba948b993e2a485302275a74b9e6c626746be8e8ab47c2a368ac6e7e9,1992.0,869f94a1b3bf50c42c661d629d3994822273f87d6395ef27eb99af8134079322,1488.0,foo-MAH-tah
fumati,False,fumare,to smoke,verb,smoked (masculine plural),"Verbs & Actions,Spotify Lessons",,,masculine,plural,participle,past,False,False,False,,,,,past participle,I salumi sono fumati.,The cured meats are smoked.,c981135e497ebb1da975e9286d67993b61edab02d95ae776c1dded34ddafdf4e,2616.0,702603c7a238da17ebc3688ee75c38cde48a6643abc0ceeff03c8fcbb29b33bc,1488.0,foo-MAH-tee
fumate,False,fumare,to smoke,verb,smoked (feminine plural),"Verbs & Actions,Spotify Lessons",,,feminine,plural,participle,past,False,False,False,,,,,past participle,Le costine sono fumate.,The ribs are smoked.,798dfffb439ffa650bc7596d5810a6af57c7cd0787422682809057c789dc2fac,2448.0,eab9cab7ae8de80756a73758d16e2794856bf1c5c795d38274ee73ba583567ab,1464.0,foo-MAH-teh
fumo,False,fumare,to smoke,verb,I smoke,"Verbs & Actions,Spotify Lessons",,1s,,singular,indicative,present,False,False,False,,,,,,Fumo un pacchetto al giorno.,I smoke a pack a day.,734be5a50d04108b5db46ee80e367619ad7dba833f02850f860d320640582f07,1272.0,456e369ecf5d2b277b6f2de85474fdc707c9df3a504c5f023d6ca0f581311177,1296.0,FOO-moh
fumi,False,fumare,to smoke,verb,you smoke,"Verbs & Actions,Spotify Lessons",,2s,,singular,indicative,present,False,False,False,,,,,,Fumi ancora?,Do you still smoke?,e17feb001b03dc87e49109536ba0312d4c1750a9a3e9af3937b278a6388dd166,1296.0,a07ef44a8df63499efbc80686c5367eeb95fd1eb8851775bfc6945c003db9a65,1272.0,FOO-mee
fuma,False,fumare,to smoke,verb,he smokes/she smokes/you (formal) smoke,"Verbs & Actions,Spotify Lessons",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui fuma troppo.,He smokes too much.,2a255b95f3fde895d7c3c30b6635d4337633d4c5de0179d1f95b75155dabdce6,4848.0,d633352e540e6fab55bb99c909ad82e3694e30ffd918361d297fa8809aea05e6,1272.0,FOO-mah
fumiamo,False,fumare,to smoke,verb,we smoke,"Verbs & Actions,Spotify Lessons",,1p,,plural,indicative,present,False,False,False,,,,,,Fumiamo solo all'aperto.,We only smoke outdoors.,27350cb7df7d7ba30bc3b7c2b82e5821a3e951b65311c7b38a91ba58c5fd50b2,1296.0,72c795306296c313b4984cfa5277ffcb370f4a42e03dd4a17c76f9b07d0676dd,1536.0,foo-MYAH-moh
fumate,False,fumare,to smoke,verb,you (plural) smoke,"Verbs & Actions,Spotify Lessons",,2p,,plural,indicative,present,False,False,False,,,,,,Voi fumate in giardino.,You (plural) smoke in the garden.,85386fabb499491bfbee39e0fac2d0905027bdb721377492341cb4aa2adb6294,2472.0,eab9cab7ae8de80756a73758d16e2794856bf1c5c795d38274ee73ba583567ab,1464.0,foo-MAH-teh
fumano,False,fumare,to smoke,verb,they smoke,"Verbs & Actions,Spotify Lessons",,3p,,plural,indicative,present,False,False,False,,,,,,Fumano durante la pausa.,They smoke during the break.,26431785af44c4ba1cdaecb34ddc434c98abdd2ad3d95c11ae256587ee813dd1,1344.0,86dcc6161972194b6ace8d34582377a4e4adc335986a305e5ac38a80e250ccfd,1416.0,foo-MAH-noh
