term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
desolare,True,desolare,to sadden/devastate,verb,to sadden/devastate,"emotion,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb,Non voglio desolare nessuno.,I do not want to sadden anyone.,124ecbc056565c50ec783dcf1b99e0f4464a4587ac4427b172a7f3c9b0fbfd01,4c7b0a5209301e8a7227a6afb243033bdc45e192f98976d6586c9129bf7aa603,2664.0,1536.0
desolando,False,desolare,to sadden/devastate,verb,saddening/devastating,"emotion,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto desolando il gruppo.,I am saddening the group.,71cae00e22b01dcf5ed21c5d818c621e1174f82292f86a6aef8741106290976a,f6f1ac416eca5c88cc50c1e8cc1f6f3971338bb83c09d841ebf035ce48209551,2688.0,1632.0
desolato,False,desolare,to sadden/devastate,verb,saddened/devastated,"emotion,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle masculine singular,L'ho desolato senza volerlo.,I saddened him unintentionally.,bbc51fd0cb171d93d8a10e06d43b4e08120abc60c66f32d96c0195f72783dac7,e30858779715961a3eb145b327c6d509b7aa4538b504765016816cd3dc8213a2,2592.0,1584.0
desolata,False,desolare,to sadden/devastate,verb,saddened/devastated,"emotion,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle feminine singular,L'ho desolata con la notizia.,I saddened her with the news.,b1800557d0726b7ea77505d0d46c7e2caaefda7e39cce0785b7b64babe77f17d,e30858779715961a3eb145b327c6d509b7aa4538b504765016816cd3dc8213a2,2592.0,1584.0
desolati,False,desolare,to sadden/devastate,verb,saddened/devastated,"emotion,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle masculine plural,Li ho desolati con la decisione.,I saddened them with the decision.,5c328db44b1cfd75c90336d2827574fc0d4f7409072b5818b5ed15c33bf979d1,e30858779715961a3eb145b327c6d509b7aa4538b504765016816cd3dc8213a2,2592.0,1584.0
desolate,False,desolare,to sadden/devastate,verb,saddened/devastated,"emotion,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle feminine plural,Le ho desolate con la scelta.,I saddened them with the choice.,c4fd5eae8d6b71ae2479cb9998b580378fd20ca979ea0d317c6ce0b5f8e88547,e30858779715961a3eb145b327c6d509b7aa4538b504765016816cd3dc8213a2,2592.0,1560.0
desolo,False,desolare,to sadden/devastate,verb,I sadden/devastate,"emotion,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io desolo tutti con il mio pessimismo.,I sadden everyone with my pessimism.,62b1ee9b66b5b7e17cbecea723461a8af053f3a86511b568d9ef1bd9ece7118a,dae0ad1761efb9335a9042f041242925ac20b86ac01cd9058b6bfead2695bd0f,2640.0,1416.0
desoli,False,desolare,to sadden/devastate,verb,you sadden/devastate,"emotion,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu desoli tuo fratello con quelle battute.,You sadden your brother with those jokes.,4a01e56dc1c57f7c29c368f939f5af98a7d64a05f08738e12c260d5ae1c0e595,35659b093f0d81861b4530ed1ef57dd557b37d35d474b0b95274dad017b19292,2736.0,1416.0
desola,False,desolare,to sadden/devastate,verb,he saddens/devastates/she saddens/devastates/you (formal) sadden/devastate,"emotion,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',La notizia desola la città.,The news devastates the city.,1ef340c9495b7ba5dca125c596f9a63dd7bb6780d7a882a1ccf143cee38d4bcf,b8a56f5007fee098dc26f42e3a9116c16eeb8c829b8d8bc37a11aed6e54904b4,9312.0,1392.0
desoliamo,False,desolare,to sadden/devastate,verb,we sadden/devastate,"emotion,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi desoliamo i tifosi con la sconfitta.,We sadden the fans with the defeat.,6f1fcc259e2872ffb05dd4d452752a83377981e645dd40f061c0967256a4ac65,8abd0a41a3d8f9582403c90d5d36e3017d1248e0f75fafdfc9441fd9f5037543,2736.0,1632.0
