term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
treno,True,treno,train,noun,train,"travel,transport",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco treno diretto.,I am looking for a direct train.
un treno,False,treno,train,noun,a train,"travel,transport",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Aspetto un treno veloce.,I am waiting for a fast train.
il treno,False,treno,train,noun,the train,"travel,transport",,,masculine,singular,,,False,False,False,definite,il,il,,,Il treno parte alle otto.,The train leaves at eight.
treni,False,treno,train,noun,trains,"travel,transport",,,masculine,plural,,,False,False,False,,,,,plural form,Treni nuovi partono ogni ora.,New trains leave every hour.
i treni,False,treno,train,noun,the trains,"travel,transport",,,masculine,plural,,,False,False,False,definite,i,i,,,I treni sono in ritardo.,The trains are late.
dei treni,False,treno,train,noun,some trains,"travel,transport",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Aspetto dei treni regionali.,I am waiting for some regional trains.
del treno,False,treno,train,noun,of the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del treno è online.,The train's schedule is online.
al treno,False,treno,train,noun,to the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Corro al treno.,I run to the train.
ai treni,False,treno,train,noun,to the trains,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Diamo priorità ai treni locali.,We give priority to the local trains.
dal treno,False,treno,train,noun,from the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Scendo dal treno a Roma.,I get off the train in Rome.
dai treni,False,treno,train,noun,from the trains,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,I rumori dai treni mi svegliano.,The noises from the trains wake me up.
nel treno,False,treno,train,noun,in the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Non c'è posto nel treno.,There is no space on the train.
nei treni,False,treno,train,noun,in the trains,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Si viaggia bene nei treni nuovi.,You travel well on the new trains.
sul treno,False,treno,train,noun,on the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Mangio sul treno.,I eat on the train.
sui treni,False,treno,train,noun,on the trains,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Si paga poco sui treni regionali.,You pay little on regional trains.
col treno,False,treno,train,noun,with the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Andiamo col treno.,We are going by train.
coi treni,False,treno,train,noun,with the trains,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Viaggio spesso coi treni regionali.,I often travel with regional trains.
