term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
potere,True,potere,power,noun,power,"society,politics",,,masculine,singular,,,False,False,False,,,,,abstract noun,Il denaro è potere.,Money is power.,a4dccee22b4d40543e739af6af55288346dca0975e23388245c6c7fc492df679,e41e823fb9907efe4c6ced583a21348789328c315bd4a82bffbf43c2e58d3eec
un potere,False,potere,power,noun,a power,"society,politics",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ha un potere speciale.,He has a special power.,54740cd9e3967d2a9631989ab8292b5f5ea28949e01dce6b99c7d4d718d05252,90f872a46d15c85382c3b39b058dbd3ea66160fbd3c55e5f9bba24a8ad984e43
il potere,False,potere,power,noun,the power,"society,politics",,,masculine,singular,,,False,False,False,definite,il,il,,,Il potere è nelle sue mani.,The power is in his hands.,98d2712312dd6b65a96e593e63e8e9ea88e477a38f4ed244c9744c3fbbd8c242,98240bb3027678569a625e6655734f54d562fa12937ecc05f8d38439ca939ce3
poteri,False,potere,power,noun,powers,"society,politics",,,masculine,plural,,,False,False,False,,,,,plural form,Poteri occulti influenzano tutto.,Hidden powers influence everything.,db6f957ea6908ee74dc5deca7f3f2864d6ccaee8235a0f8527f586b0daa6209c,81a67e6780241bd842caacf22acf54cb0a4aac967b37fae7704e6c672e67a356
i poteri,False,potere,power,noun,the powers,"society,politics",,,masculine,plural,,,False,False,False,definite,i,i,,,I poteri pubblici devono collaborare.,The public powers must cooperate.,d76ca83e3a59eccd98274b96b378a8399cccbea90ae93e4401f6d31338559020,55537590785ea4b3f01ecfc7c4ea1e00c6b3a5929573b781ac357848ed846b28
dei poteri,False,potere,power,noun,some powers,"society,politics",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Hanno dei poteri strani.,They have some strange powers.,0715b5624566f9a8cf8c1dde013060ee8f4d85e9c03100039dca19578c53b837,15185850ba2fc9d2d3bbb38eb371e83b56097d096602fb28a1ba12675c3b6599
del potere,False,potere,power,noun,of the power,"society,politics",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'abuso del potere è pericoloso.,The abuse of power is dangerous.,b9de59661a4d53153bed02e093cdb1e7553954f750c7c87e3ff8f77782c5f79a,5736e5d1d264551af0d37694bc9d68f4efc2c2a7aa8d1eb89bee4083692695c7
dei poteri,False,potere,power,noun,of the powers,"society,politics",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,contraction of di + i,La riforma dei poteri locali è urgente.,The reform of the local powers is urgent.,0715b5624566f9a8cf8c1dde013060ee8f4d85e9c03100039dca19578c53b837,45395d9d022d6e1bc09fd10aab49668152bea446a8f0b55e49b04341ee45f0f9
al potere,False,potere,power,noun,to the power,"society,politics",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Il partito è al potere.,The party is in power.,f32903a66673923e1b6b1f96a741690f804737b6c509961900d44a046d4d27ea,34fda8ac9fe7133361f5bdf5f070195007913a3193026416e40ac0ab84e6a96f
ai poteri,False,potere,power,noun,to the powers,"society,politics",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Scrivo ai poteri locali.,I write to the local authorities.,6433aef85501b0659adc89cb13a6a04cc42248151808e6c7ae03fa9d48c2ac79,6c016c8be226f2c2e324ac79bbe6c49c511db23e9c7acb445759c41fe085cde4
dal potere,False,potere,power,noun,from the power,"society,politics",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,La pressione dal potere aumenta.,The pressure from the power increases.,502a01e0a5e358478d675b44d764ecd2dd1a8c9bee4905df23194a9c647cec97,4d5b57d8e17f34facb11bb4a2af051866487293616177de05dedd785970ab99b
dai poteri,False,potere,power,noun,from the powers,"society,politics",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Arrivano critiche dai poteri centrali.,Criticism arrives from the central powers.,b4854304790186b09e5e49bd66b118acab0e4a65cac8cbe5611788d6fc8a0ba2,305c45bfed78b1f2c904355f8e72b3d6d951398453197db488e7a8628eb77cd1
nel potere,False,potere,power,noun,in the power,"society,politics",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è fiducia nel potere giudiziario.,There is trust in the judicial power.,29e4c51c8b48cbf65c0fd838b06d8d0f4e379c83f855080cfd5370bb65a55490,9c9b5378b625ccbe09dd523232a71efab0e8f5ba04994ed904c9bcc848e2be5e
nei poteri,False,potere,power,noun,in the powers,"society,politics",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Ci sono limiti nei poteri del presidente.,There are limits in the powers of the president.,f9c1c5f79f10bc5ef68793d1b52a70568b39e8adacf7ca3903b472c78441ea07,f0c12e25873eea3efe85d5eea0f79842da6e2bd991d900dcd788e75674a03d49
sul potere,False,potere,power,noun,about the power,"society,politics",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo un saggio sul potere.,I am reading an essay about power.,2a1267673f141bb02b37343419039399251f7c3abb147921ee88130ef51418a7,017a1f217e41f51cc3de95a3ebfe7905ce2de469203248bded549fdbaceebfcd
