term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
dimorare,True,dimorare,to reside,verb,to reside,"home,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; intransitive,Vorrei dimorare in montagna.,I would like to reside in the mountains.,1b5d3cf2f1709a6df2e27f0298db23c7e8897b41fa87ebb90022c910351925b6,a02e30868b21af8d8e74956fee1954752712f5f5bc27f78cdbef2b0d3aa40a78,1320.0,1512.0,dee-moh-RAH-reh
dimorando,False,dimorare,to reside,verb,residing,"home,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto dimorando in città.,I am residing in the city.,884e4bd33c18ab658c4cc7c39b9b4e6546fc33d735b0b3277661ab652db572d9,d54739734e5f2a6f992195129a3ff4db96bbb1b4aaf9cee4697e75b326b88a67,1248.0,1632.0,dee-moh-RAHN-doh
dimorato,False,dimorare,to reside,verb,resided,"home,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; occasionally with essere in literary style,Ho dimorato qui per anni.,I have resided here for years.,5d4dced3824c28ef6fb4e49bf19d55790b339e51e93e7854f0bfc0fd7fea1888,3cd845e7318ed4d24438a779a8df5b1c8749b0e61af264a7245c4b42385ac00c,1224.0,1584.0,dee-moh-RAH-toh
dimorata,False,dimorare,to reside,verb,resided,"home,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; occasionally with essere in literary style,È dimorata a Roma per un decennio.,She resided in Rome for a decade.,0a3011fd5e02473c212a1c8abe72d60faa4b4a553ebd1af7ae623ec89aed3672,3cd845e7318ed4d24438a779a8df5b1c8749b0e61af264a7245c4b42385ac00c,1224.0,1560.0,dee-moh-RAH-tah
dimorati,False,dimorare,to reside,verb,resided,"home,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; occasionally with essere in literary style,Sono dimorati in quel palazzo.,They have resided in that building.,5afcbc21f89e9966d2a16808fcda82a09532a05616a72f3d7166ed9f665fd3d4,3cd845e7318ed4d24438a779a8df5b1c8749b0e61af264a7245c4b42385ac00c,1224.0,1584.0,dee-moh-RAH-tee
dimorate,False,dimorare,to reside,verb,resided,"home,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; occasionally with essere in literary style,Sono dimorate in campagna.,They have resided in the countryside.,38ddde5e2cb1ea475b947a7e96b7b3cd5b9e1ae6d76753d5c4aef58adbd4db9f,3cd845e7318ed4d24438a779a8df5b1c8749b0e61af264a7245c4b42385ac00c,1224.0,1560.0,dee-moh-RAH-teh
dimoro,False,dimorare,to reside,verb,I reside,"home,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io dimoro in periferia.,I reside in the outskirts.,d6b003e1344a32fb9b246a9dabb0b0d5c5c8f34d541a2bdd06e24c6c5f9fe956,5a205829641ac77bff1c67ea59bee8e9b0253c866a98fef90faa947002121fd4,1344.0,1392.0,dee-MOH-roh
dimori,False,dimorare,to reside,verb,you reside,"home,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu dimori ancora lì?,Do you still reside there?,1e6d3d71a5c101ad5f2d159a8cd23ad19a711833a1ed73861e657825d2e58f2c,33d7c961f2f08df2a67e319fc9e0c30cfab7e7705e55ee2fb5390cc553803fbe,1368.0,1392.0,dee-MOH-ree
dimora,False,dimorare,to reside,verb,he resides/she resides/you (formal) reside,"home,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Lei dimora in centro.,You reside downtown.,ca6848e1b56403061b2eb03081bca7c23e45cceb42b0a78eb95e5d097f23c4e7,2b1605d5628b30139cf2ca56e266ad874a66e4c905d31f06a2a7cc5754103721,4992.0,1368.0,dee-MOH-rah
dimoriamo,False,dimorare,to reside,verb,we reside,"home,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi dimoriamo vicino al mare.,We reside near the sea.,9c1f976d34b7301b3b19db1758d7416313af8f5c44c78113820a46442169790c,5e19dfd54ca3b545ecd02f639b85989f17a2b3a31fb207155ae70d17ac569393,1368.0,1632.0,dee-moh-RYAH-moh
