term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
corsa,True,corsa,run/race/ride,noun,run/race/ride,"movement,transport",,,feminine,singular,,,False,False,False,,,,,also bus or train trip,Cerco corsa mattutina.,I am looking for a morning run.
una corsa,False,corsa,run/race/ride,noun,a run/a race/a ride,"movement,transport",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Faccio una corsa al parco.,I take a run in the park.
la corsa,False,corsa,run/race/ride,noun,the run/the race/the ride,"movement,transport",,,feminine,singular,,,False,False,False,definite,la,la,,,La corsa inizia alle nove.,The race starts at nine.
corse,False,corsa,run/race/ride,noun,runs/races/rides,"movement,transport",,,feminine,plural,,,False,False,False,,,,,plural form,Corse lunghe stancano.,Long runs make you tired.
le corse,False,corsa,run/race/ride,noun,the runs/the races/the rides,"movement,transport",,,feminine,plural,,,False,False,False,definite,le,le,,,Le corse sono piene oggi.,The rides are full today.
delle corse,False,corsa,run/race/ride,noun,some runs/some races/some rides,"movement,transport",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho fatto delle corse ieri.,I did some runs yesterday.
della corsa,False,corsa,run/race/ride,noun,of the run/of the race/of the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Parliamo della corsa di domani.,We talk about the race tomorrow.
alla corsa,False,corsa,run/race/ride,noun,to the run/to the race/to the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Vado alla corsa in bici.,I go to the race by bike.
dalla corsa,False,corsa,run/race/ride,noun,from the run/from the race/from the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla corsa sudato.,I return from the run sweaty.
nella corsa,False,corsa,run/race/ride,noun,in the run/in the race/in the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella corsa ho dato tutto.,In the race I gave everything.
sulla corsa,False,corsa,run/race/ride,noun,about the run/about the race/about the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Leggo un articolo sulla corsa.,I read an article about the race.
con la corsa,False,corsa,run/race/ride,noun,with the run/with the race/with the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction,Arrivo con la corsa delle otto.,I arrive with the eight o'clock service.
alle corse,False,corsa,run/race/ride,noun,to the runs/to the races/to the rides,"movement,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Partecipo alle corse cittadine.,I take part in the city races.
dalle corse,False,corsa,run/race/ride,noun,from the runs/from the races/from the rides,"movement,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Sono stanco dalle corse di ieri.,I am tired from the runs yesterday.
nelle corse,False,corsa,run/race/ride,noun,in the runs/in the races/in the rides,"movement,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Ci aiutiamo nelle corse lunghe.,We help each other in long runs.
sulle corse,False,corsa,run/race/ride,noun,about the runs/about the races/about the rides,"movement,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho dati sulle corse serali.,I have data about the evening runs.
con le corse,False,corsa,run/race/ride,noun,with the runs/with the races/with the rides,"movement,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction,Viaggio con le corse notturne.,I travel with the night services.
