term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
attraversare,True,attraversare,to cross,verb,to cross,"movement,action",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; past participle 'attraversato',Voglio attraversare la strada.,I want to cross the street.,15001d134f180dc4bf245971cac5d63884eb602d6c9f4b8bc3b32393bfeae46e,1272.0,c8973942c6f84dd07b542102b6a418deade88d1b9acea3e423513e9dd2fd5a93,1800.0,aht-trah-vehr-SAH-reh
attraversando,False,attraversare,to cross,verb,crossing,"movement,action",,,,,gerund,,False,False,False,,,,,gerund form,Sto attraversando il ponte.,I am crossing the bridge.,6069b6c918324ed4e12e6f5f87657ad61687e051e825c09b0a618f58eac54a6d,1152.0,3ad8a9b396dece91b5c34c9fe1638b8fc08ba579c8524593b85428deae6e2c66,1944.0,aht-trah-vehr-SAHN-doh
attraversato,False,attraversare,to cross,verb,crossed,"movement,action",,,masculine,singular,participle,past,False,False,False,,,,,past participle,Lo ho attraversato.,I crossed it.,5df84ce0e10eb197cdabee18d25d6a862a12eba6f4f5ced2e55ba9847548ff67,1152.0,25924dc94d7f3532310e91e586463a20b6e2f4eb4a49933cb4668aef36b5d2f3,1896.0,aht-trah-vehr-SAH-toh
attraversata,False,attraversare,to cross,verb,crossed,"movement,action",,,feminine,singular,participle,past,False,False,False,,,,,past participle,La ho attraversata.,I crossed it.,5df84ce0e10eb197cdabee18d25d6a862a12eba6f4f5ced2e55ba9847548ff67,1152.0,1698e0f844cf2c9851fddbb446b30dee401c4d50a5bbcbe24f3928b266b3ed4d,1872.0,aht-trah-vehr-SAH-tah
attraversati,False,attraversare,to cross,verb,crossed,"movement,action",,,masculine,plural,participle,past,False,False,False,,,,,past participle,Li ho attraversati.,I crossed them.,5df84ce0e10eb197cdabee18d25d6a862a12eba6f4f5ced2e55ba9847548ff67,1152.0,5a118721d30a8ec0a95be69a40274202c1c68df8702ba2508751e9f91ca3b438,1896.0,aht-trah-vehr-SAH-tee
attraversate,False,attraversare,to cross,verb,crossed,"movement,action",,,feminine,plural,participle,past,False,False,False,,,,,past participle,Le ho attraversate.,I crossed them.,5df84ce0e10eb197cdabee18d25d6a862a12eba6f4f5ced2e55ba9847548ff67,1152.0,4520e234a00e1d24edd958585c216efa61bba5d8a804245ff055b4154e106ee8,1848.0,aht-trah-vehr-SAH-teh
attraverso,False,attraversare,to cross,verb,I cross,"movement,action",,1s,,singular,indicative,present,False,False,False,,,,,,Attraverso il fiume ogni giorno.,I cross the river every day.,210c0c34994fbeb05dfd7bba3cfab99e54ff659a91887d2c4496895fc1ef98d0,1296.0,c781b3774338835d17892094c1ec423cafb815300af64d924eeee5abf94ec6a0,1728.0,aht-trah-VEHR-soh
attraversi,False,attraversare,to cross,verb,you cross,"movement,action",,2s,,singular,indicative,present,False,False,False,,,,,,Attraversi la piazza con me?,Do you cross the square with me?,728020c8f4921d7eec7ddf26fa7a664112bccd1f808cd528a231b9f444950a7c,1320.0,a7a430f3faa7a60335969f17163d1d63819d86ea56f261d6120d7c377109c934,1704.0,aht-trah-VEHR-see
attraversa,False,attraversare,to cross,verb,he crosses/she crosses/you (formal) cross,"movement,action",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui attraversa il ponte.,He crosses the bridge.,97366dec24873fb74bc89e29772ef0090cd670de6373a137a2f7f686f3a42f99,4872.0,b0fb3185fe3349ea27f5be75313f4083084a957e5e7deb1ad91b6ad2a47292c5,1680.0,aht-trah-VEHR-sah
attraversiamo,False,attraversare,to cross,verb,we cross,"movement,action",,1p,,plural,indicative,present,False,False,False,,,,,,Attraversiamo la città a piedi.,We cross the city on foot.,5c3c7e5399374caa9fc626fbd748489980e106b9d15561179aba44101edaf88f,1320.0,89fa22b39f35f01dfa380e1d33d3a125c4e284080e94b10439714d18a7f7872d,1896.0,aht-trah-vehr-SYAH-moh
