text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
fumare	foo-MAH-reh	fumare	VERB	to smoke	300	0.000287	406	0.000388	fumare	VERB	V	csubj	VerbForm=Inf	1882d556-7839-5f45-8228-9f2c709a8b54	e287e116-a49f-5def-8d39-520ebe3a4359	0d0b313e1bedcb6629fd5ac25f8aad58766d909cb32ae34a69b3505200426bd3	9d2667a0a43331599bb0054301b1cbcaad50c9bb6c4499306397fd65a992b7df	1416.0	1248.0
fuma	FOO-mah	fumare	VERB	he/she/it smokes	34	3.3e-05	406	0.000388	fumare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	b550fd38-e648-593a-b8d0-501cba0e5b89	e287e116-a49f-5def-8d39-520ebe3a4359	d633352e540e6fab55bb99c909ad82e3694e30ffd918361d297fa8809aea05e6	572835f7280b6a5bc40dc0d584356d0376e2bcb4661409c6f031b25395f8c1a0	1272.0	
fumato	foo-MAH-toh	fumare	VERB	smoked (masculine)	24	2.3e-05	406	0.000388	fumare	VERB	V	root	Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part	4be8be0a-a621-5c09-89d4-5b4a3a677a7f	e287e116-a49f-5def-8d39-520ebe3a4359	c92ee7f02304db1b552e258c9a5ec6b679e5ee61665e5c886160ca6d5422e370	ba41b49c9d84dd25c0c350bf5644dd9dfc1ceca4615eb17aecd2732fe7bace19	1512.0	2160.0
fumando	foo-MAHN-doh	fumare	VERB	smoking	13	1.2e-05	406	0.000388	fumare	VERB	V	parataxis	VerbForm=Ger	90d4e7de-dce0-5955-869c-6280bbde175c	e287e116-a49f-5def-8d39-520ebe3a4359	0907d61fd02c6861b8ac16e1a439fba8f9b459d5b6c71833cc08979ca65ff8ba	056feee75cd77de8937547ca0caa5eed8a3c484bcb39aece111c3bd8dae83847	1536.0	1176.0
fumi	FOO-mee	fumare	VERB	he/she/it smokes	12	1.1e-05	406	0.000388	fumare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	dde8c32c-aae9-56e2-a6e6-d42038e8a3ac	e287e116-a49f-5def-8d39-520ebe3a4359	a07ef44a8df63499efbc80686c5367eeb95fd1eb8851775bfc6945c003db9a65	572835f7280b6a5bc40dc0d584356d0376e2bcb4661409c6f031b25395f8c1a0	1272.0	
fumate	foo-MAH-teh	fumare	VERB	smoked (feminine) (plural)	10	1e-05	406	0.000388	fumare	VERB	V	root	Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part	21ca8269-af20-513a-97cc-0915f49a1c53	e287e116-a49f-5def-8d39-520ebe3a4359	eab9cab7ae8de80756a73758d16e2794856bf1c5c795d38274ee73ba583567ab	1bc64e217d14b180637b6f42bc43a4a61a68b49255dd4186a1066fac79d3b60f	1464.0	
fumava	foo-MAH-vah	fumare	VERB	he/she/it smoked	6	6e-06	406	0.000388	fumare	VERB	V	conj	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	1d86c8d9-a4c2-567d-8851-81e9a441076e	e287e116-a49f-5def-8d39-520ebe3a4359	6a902dcf2c5e9834f080bae7e08495da8a0dea3582b0df8db3a3ff9daacc5f0b	d3d3fb20a8d083f170e3b23dbf1a63a713490f526de40078ff2c4eec30ec62b5	1440.0	
fumò	foo-MOH	fumare	VERB	he/she/it smokes	2	2e-06	406	0.000388	fumare	VERB	V	conj	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	f694554b-bc8e-54cf-a554-5e67e5553193	e287e116-a49f-5def-8d39-520ebe3a4359	1b40c54647acbb958342867f9b6c2c586cafbe7ec99396955aff4affc08b06d1	572835f7280b6a5bc40dc0d584356d0376e2bcb4661409c6f031b25395f8c1a0		
fumavi	foo-MAH-vee	fumare	VERB	he/she/it smokes	2	2e-06	406	0.000388	fumare	VERB	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	c62fe10a-0f04-5c95-97f5-d4aa41929fbc	e287e116-a49f-5def-8d39-520ebe3a4359	81ec081f181313aede90351bfa2fc03ef91c08fa11c4d005a6b01fb379e29437	572835f7280b6a5bc40dc0d584356d0376e2bcb4661409c6f031b25395f8c1a0	1464.0	
fumano	foo-MAH-noh	fumare	VERB	they smoke (plural)	2	2e-06	406	0.000388	fumare	VERB	V	acl:relcl	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	a24a5bad-0a2a-5d2e-bf2d-e8d66321551f	e287e116-a49f-5def-8d39-520ebe3a4359	86dcc6161972194b6ace8d34582377a4e4adc335986a305e5ac38a80e250ccfd	2fed498d9bd4825ace78592986912cc04c6e9719feb69cb939e9b34c127d79da	1416.0	
fumavo	foo-MAH-voh	fumare	VERB	I smoked	1	1e-06	406	0.000388	fumare	VERB	V	root	Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin	d5dc85d1-15e0-5c7b-9f93-5f56022f57e1	e287e116-a49f-5def-8d39-520ebe3a4359	d9460f90f0235b262c90c0838200f7e3dbad01a5e413f25bde4cb37aee7a797e	60beb0a9eedb4950bc2a02ff299ee4c11d7d1132f10db9dafaf42fa93aa8582a	1488.0	
