term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
scorrere,True,scorrere,to flow/to pass,verb,to flow/to pass,"motion,time",,,,,non-finite,infinitive,False,False,False,,,,,regular -ere verb; past participle 'scorso'; auxiliary avere or essere depending on usage,Voglio scorrere la lista.,I want to scroll through the list.,ba057e3174ab16e50384039c19658818c1da84dfcc9bb2af082b52929bf10e98,2424.0,2d9d06d5e1f4bc98ebb430cddb517d3f77e4304c96143d668cd327d90f1eda8e,1536.0,skohr-REH-reh
scorrendo,False,scorrere,to flow/to pass,verb,flowing/scrolling,"motion,time",,,,,gerund,,False,False,False,,,,,,Sto scorrendo il documento.,I am scrolling through the document.,329f5f0efcada0da5c532705c43fd14159aa7ccd5a14217da4cd769c9478dd0d,2376.0,e566b912245c7b3753c30a1912329850297717151075117679154720b8c9acae,1704.0,skohr-REHN-doh
scorso,False,scorrere,to flow/to pass,verb,scrolled/flowed (masculine),"motion,time",,,masculine,singular,participle,past,False,False,False,,,,,past participle; also adjective 'last',Il tempo è scorso.,Time has passed.,4267a10b598582771f3e5a4bdab0bbfe552fab411560f6800e5204bbc8da3c7e,3336.0,aec80f2627045482da292575ad52f0618be43938e49e5196dc8ff121d5c196d4,1560.0,SKOHR-soh
scorsa,False,scorrere,to flow/to pass,verb,scrolled/flowed (feminine),"motion,time",,,feminine,singular,participle,past,False,False,False,,,,,,La corrente è scorsa veloce.,The current flowed quickly.,09eb8cd1f99348861d6845ab00d18089a05f754a2425e4722fde254421055517,3144.0,30e48f69ab66352e248f1cc6b209b2b07881082c357107cc6738adc95cbe67f4,1512.0,SKOHR-sah
scorsi,False,scorrere,to flow/to pass,verb,scrolled/flowed (masculine plural),"motion,time",,,masculine,plural,participle,past,False,False,False,,,,,,Gli eventi scorsi hanno cambiato tutto.,Past events changed everything.,8259fde9010b6e8dac293fdd30a1b392a24cf3c27a3f783ecccc29019106fbb4,3768.0,71f31166c368e6e129300f6f6f3d400ba9efb2e3173fc075e338f9d8ee1adbc7,1536.0,SKOHR-see
scorse,False,scorrere,to flow/to pass,verb,scrolled/flowed (feminine plural),"motion,time",,,feminine,plural,participle,past,False,False,False,,,,,,Le pagine scorse erano interessanti.,The pages I went through were interesting.,7888ea45e2fa56ce21d3e5f20cf6b981a95c07a8bf14a8a8f5f9e27f0f5351dc,3600.0,5cd3fc0b5f04d839872ebf8878134254b6c1d49b66af4c61918f9fe18ae985bc,1488.0,SKOHR-seh
scorro,False,scorrere,to flow/to pass,verb,I flow/I scroll,"motion,time",,1s,,singular,indicative,present,False,False,False,,,,,,Io scorro la pagina.,I scroll the page.,eedbd0f40c2690a144c0d7df85f35654aea34688fe2abaeb981a7dd488dfc10d,2424.0,2d860e740fcf286cd010b6853582960f2b04f4c75ea5aa90f8d96ed7a8617c9f,1488.0,SKOHR-roh
scorri,False,scorrere,to flow/to pass,verb,you flow/you scroll,"motion,time",,2s,,singular,indicative,present,False,False,False,,,,,,Tu scorri il feed.,You scroll the feed.,b540ecc4e6faf8a48e8aa8cf12d411438bbc33ad452b87e4c42ff7017e73b1c3,2472.0,41324ec3a6355149d588a1cb752a78e7b1bc241a569ffe4aa2210e4f22ef8ce5,1464.0,SKOHR-ree
scorre,False,scorrere,to flow/to pass,verb,he flows/she flows/you (formal) flow,"motion,time",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui scorre le foto.,He scrolls through the photos.,7d308727a526ee6ef1415fff4f1a95e8e4cfc6acea0e751c633b8c9f06876a56,4584.0,3061bebf023934c0dce95070cad1ef2f6dc19e56ff4e94fd8eaa0fdf90301673,1440.0,SKOHR-reh
scorriamo,False,scorrere,to flow/to pass,verb,we flow/we scroll,"motion,time",,1p,,plural,indicative,present,False,False,False,,,,,,Noi scorriamo tutte le voci.,We scroll through all the entries.,144bc4e9c41d759ff4a87617257d4883c4c95a0f1343bc2adede44feeb121888,2544.0,602726c05bd4d4e77853c25e2f7bacaad26f0a26f92044a2b43a189caebba1f5,1680.0,skohr-RYAH-moh
scorrete,False,scorrere,to flow/to pass,verb,you (plural) flow/you (plural) scroll,"motion,time",,2p,,plural,indicative,present,False,False,False,,,,,,Voi scorrete la lista.,You (plural) scroll through the list.,7f455f12c6fd46909f006b5d6e92dd7ade49d758b15dfc6ca89d9e8db8b22d20,4776.0,f8164735836c38018ab312a1379481ef6f2964009c0b21b0c2617c01b026847c,1608.0,skohr-REH-teh
scorrono,False,scorrere,to flow/to pass,verb,they flow/they scroll,"motion,time",,3p,,plural,indicative,present,False,False,False,,,,,,Loro scorrono l'elenco.,They scroll through the list.,ff72a63c116c5f5621070a19f9eb4acf89b8f014bf9fd39210c558a54493b211,2520.0,945deb21624f62fdca7f063ff7733eaeb2c02f16b60991695295925c762a4b7c,1584.0,skohr-ROH-noh
scorrevo,False,scorrere,to flow/to pass,verb,I was flowing/I was scrolling,"motion,time",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io scorrevo quelle pagine spesso.,I used to scroll those pages often.,c272f796efaaf986479486a24e3fec72ab7e18a6d9541deefbcdcbac39b6e447,2856.0,53ae1bbe2529524b09a275a74d672ec5c906cf16a5891660c1c0bc8240ffe074,1632.0,skohr-REH-voh
scorrevi,False,scorrere,to flow/to pass,verb,you were flowing/you were scrolling,"motion,time",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu scorrevi il testo lentamente.,You were scrolling the text slowly.,3d9e7f7a060b51d5c17a43ccbb48861e4c463296f354cfde84bd38334ad6a13e,2928.0,8bc6881d7946d6dd5711fa1e1cd0242ba0ca1140df74211fb2b09aa94e3871d6,1608.0,skohr-REH-vee
scorreva,False,scorrere,to flow/to pass,verb,he was flowing/she was flowing/you (formal) were flowing,"motion,time",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei scorreva la lista mentre parlava.,You (formal) were scrolling the list while speaking.,b8a97e96fe5466b188e63985a341374da3129471734abcb1e79498591b94804b,5256.0,5d4ce3af4925a64be911bb3624b2bd18d8f0886d98beee348b77787bfc1ecc59,1608.0,skohr-REH-vah
scorrevamo,False,scorrere,to flow/to pass,verb,we were flowing/we were scrolling,"motion,time",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi scorrevamo le opzioni insieme.,We were scrolling through the options together.,8b8e638595c102fbbf7f26f4592f157dd99d4a14ea52d7b53f5a9c955d976121,2952.0,8283d6c64ebbabc963f21f964e7b3442fd48e1633eed783cd4d16ca40fdf2484,1776.0,skohr-reh-VAH-moh
scorrevate,False,scorrere,to flow/to pass,verb,you (plural) were flowing/you (plural) were scrolling,"motion,time",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi scorrevate le foto dal divano.,You (plural) were scrolling the photos from the sofa.,e5efa5abcaea6986b9cba5a0a67c56b63f3604e1d946ff7d774458ff4bfbe66f,5256.0,29ec004997017e4fc5925d77c8a6fb5ec074ea885e01d379cc2ad972f5243457,1752.0,skohr-reh-VAH-teh
scorrevano,False,scorrere,to flow/to pass,verb,they were flowing/they were scrolling,"motion,time",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro scorrevano velocemente il documento.,They were scrolling through the document quickly.,60e6e04260524a1339f3b2dec15427489d3130c07cef92b12eeef7b9785eba66,2952.0,765ffcc6f4c34a9b04a4966c55887f4ff8f4defcef48e89b57711ef7d66c529e,1752.0,skohr-reh-VAH-noh
ho scorso,False,scorrere,to flow/to pass,verb,I have scrolled/I have flowed,"motion,time",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere or essere; when used with essere past participle agrees,Ho scorso la lista questa mattina.,I scrolled through the list this morning.,b75ec0db8fa50858f7ad337321729134542ee708c08c776051c1ecf2b4506774,2784.0,bc611f96d09b5826cce9c1a715c678b396aded7b75faa578b41cb6c5082a1b57,1584.0,OH SKOHR-soh
hai scorso,False,scorrere,to flow/to pass,verb,you have scrolled/you have flowed,"motion,time",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,,Hai scorso tutte le email?,Have you scrolled through all the emails?,3def1aa94f5ac73923aceba4e475001e87971be756d6f0c1a36b87e75843ebbc,2832.0,d7b57b230892b715a313b445231307bd01dee08106ecfafb24f2225703f72b69,1632.0,EYE SKOHR-soh
ha scorso,False,scorrere,to flow/to pass,verb,he has scrolled/she has scrolled/you (formal) have scrolled,"motion,time",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,also used as formal 'Lei',Ha scorso il registro senza problemi.,He has gone through the register without problems.,d474c5d39a04c985e943a1115d061162e0bd076053855e031d497ea844e87381,5520.0,792959c803ca70d94d4601ebe19f41a01edde50c8a36f46b1e34ab299d838516,1584.0,AH SKOHR-soh
abbiamo scorso,False,scorrere,to flow/to pass,verb,we have scrolled/we have flowed,"motion,time",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,,Abbiamo scorso tutte le opzioni.,We have scrolled through all the options.,7bbb0193f18c5f2b175bb105ef38c63f031763d8bab48c645ee1b5a44ba45be5,2880.0,c2ababe8459ecfcc2fca61056745e0c68dde90989c635658ee7b04f23170b717,1968.0,ahb-BYAH-moh SKOHR-soh
avete scorso,False,scorrere,to flow/to pass,verb,you (plural) have scrolled/you (plural) have flowed,"motion,time",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,,Avete scorso il rapporto insieme?,Have you (plural) gone through the report together?,4451b00af718f9472238977808b1a28368ba053d0aa4a39734d95e647fa0ded2,5160.0,337514877987b775e09e84d17e2afeb68a6d1c87a525feeec8e9d5695b2883a9,1896.0,ah-VEH-teh SKOHR-soh
hanno scorso,False,scorrere,to flow/to pass,verb,they have scrolled/they have flowed,"motion,time",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,,Hanno scorso la lista prima della riunione.,They scrolled through the list before the meeting.,b3f8ed3f82585873a273e7aa363e14b48dfcf0a3371c7321abac9305d9e297a2,2904.0,bc77a76b2473a108d5312ee25fdc73b58a6610df5b47dceb5cfc0cc6863fd6ca,1776.0,AHN-noh SKOHR-soh
