term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
dessert,True,dessert,dessert,noun,dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,,,,,borrowed from French; invariable plural,Il dessert è delizioso.,The dessert is delicious.,a4c7a01ec5bc6d6a8716f37fee48a9db1db1e8117b28bfc0c8cd6a7aa305bef5,1152.0,d4e78791c78463083086e5550bfc14a7b36554298cada6e5669f8f78b2b87513,1392.0,dehs-SEHRT
un dessert,False,dessert,dessert,noun,a dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,indefinite,un,un,,invariable plural,Vorrei un dessert.,I would like a dessert.,6d4a3ded3a90f2bf9dfdc9831abefe5a58ff967e565e8916cd74d146ed1bb2a4,1248.0,fbdefc5a188ccfd9b06302ac74a67bc4301c361ec76910c4498cbbc0db5fb613,1536.0,OON dehs-SEHRT
il dessert,False,dessert,dessert,noun,the dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,definite,il,il,,,Il dessert è pronto.,The dessert is ready.,05bfe9f3197c4661bdc526b53b0d616194fb2ebce0ea8dc9332faf997b0deab1,1272.0,13cd9a6b4e7ca2f85ed614d23397cca0df5a48562474f311068b161cb8d7d9a8,1560.0,EEL dehs-SEHRT
dessert,False,dessert,dessert,noun,desserts,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,plural,,,False,False,False,,,,,plural form (invariable),I dessert sono sulla tavola.,The desserts are on the table.,808aa9079b37688df8f306fcd1f288a5bcdb1cf72d2e75a1b80d82d8d5410469,1272.0,d4e78791c78463083086e5550bfc14a7b36554298cada6e5669f8f78b2b87513,1392.0,dehs-SEHRT
i dessert,False,dessert,dessert,noun,the desserts,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,plural,,,False,False,False,definite,i,i,,,I dessert sono pronti.,The desserts are ready.,2c72299cd0208965a7c93df162516daa47575d67952818ad4ba37990c5beafab,1392.0,2fbbe56d6c2888c3c41699090f1d49608d65faa4124e4ca367f017c28e286053,1488.0,EE dehs-SEHRT
dei dessert,False,dessert,dessert,noun,some desserts,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form; invariable plural,Ho assaggiato dei dessert.,I tried some desserts.,76240887bc4ab7404d52f3010fb6e4c673d3dc141b4afae66c408eb1236ee0ac,1536.0,ff2f9a9dbafdaae1949ac9d19f4a76db2cc70477d221c875df4af23d9e765b4a,1632.0,DAY dehs-SEHRT
del dessert,False,dessert,dessert,noun,of the dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il; invariable plural,Il sapore del dessert è intenso.,The flavor of the dessert is intense.,03f4d0746c354557076935634a636c0b31fdda511ff2d58b2eb3bc9d4d0833b3,1392.0,689b8e3dd4864f978507395f17985ac3a73319724ac19c40f7d6dccff65ec16c,1632.0,DEHL dehs-SEHRT
al dessert,False,dessert,dessert,noun,to the dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il; invariable plural,Ho aggiunto cioccolato al dessert.,I added chocolate to the dessert.,c7b8bb82bf26f6a33fbdebe5d017d3e6c3e84f7ae5f7606ccec2713817fc6559,1368.0,068fc6d795478e1518ddff856e666f590cc196c0a709b9155b2af385596defc4,1560.0,AHL dehs-SEHRT
ai dessert,False,dessert,dessert,noun,to the desserts,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i; invariable plural,Ho aggiunto cioccolato ai dessert.,I added chocolate to the desserts.,eff556863a7d3536b3b97f1bedcd756eae8ad9744effbf73749372180aab4aa5,1488.0,fca99a9d883681f2db7c677d27e6f04718c8ef8a76b6f5e00fdc8e5a630db162,1560.0,EYE dehs-SEHRT
dal dessert,False,dessert,dessert,noun,from the dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il; invariable plural,Ho preso una porzione dal dessert.,I took a portion from the dessert.,0853c6d116256b9f43c83706a199293a8e1ac9f5bfdadd799405288c198514bc,1464.0,79edd5aa30bf86398e1b431ffd47add779a8e453359754ef2a083e07bbfa7873,1656.0,DAHL dehs-SEHRT
dai dessert,False,dessert,dessert,noun,from the desserts,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i; invariable plural,Ho preso delle porzioni dai dessert.,I took portions from the desserts.,5873cdab70270fd61acd051e591cda6cb3cdb63576a12b10c6e334244cfd4a7c,1584.0,f8fe90410b46ce83131f8ad36d9027272c9d1de098860728c03db52c9e54d46a,1680.0,DEYE dehs-SEHRT
nel dessert,False,dessert,dessert,noun,in the dessert,"Food & Drink,Objects & Things,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il; invariable plural,C'è frutta nel dessert.,There is fruit in the dessert.,ea5685dd230b40a231b71947d04941a1786c84bd5562dadfda56526a402095be,1392.0,a2cf4e8198cc0c45af6f4f32ebb709a62b937a1f9e839933b72ae3f2c183a667,1632.0,NEHL dehs-SEHRT
