term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
posto,True,posto,place,noun,place,"core,location",,,masculine,singular,,,False,False,False,,,,,base lemma,C'è un posto libero.,There is a free seat.,1e2dc8a193380aa62f937008f7b16f357931c17c02bbe024e3874ea2be57ea80,1128.0,16f3e54ffa495a43e6b4f5f64c305912c1b93a19699daf890a01ee299c39a326,1320.0,POHS-toh
un posto,False,posto,place,noun,a place,"core,location",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Conosco un posto tranquillo.,I know a quiet place.,33e416b52777e2c43782f3c9ab3442b99d45fc0fbf4372b71c7325ab39b12f96,1272.0,7fd6d6c6e80f865b061169bd2c65dceea5e59db952e31b5d7fa4afed2675a905,1512.0,OON POHS-toh
il posto,False,posto,place,noun,the place,"core,location",,,masculine,singular,,,False,False,False,definite,il,il,,,Il posto è occupato.,The seat is taken.,7cddba5b626dc6769d6a87a1773d8c667faf3793ac8cb3cec45d649898754746,1296.0,3995a9a4c32fc90501254b29bbed1237968de8e748d0a722c4a99c8bbd493b73,1512.0,EEL POHS-toh
posti,False,posto,place,noun,places,"core,location",,,masculine,plural,,,False,False,False,,,,,plural form,I posti sono vicini.,The places are nearby.,3ed1afe8efa3a1392a25ec18c3af76b507191c97916316ff38237d1852d88782,1200.0,aa11e51c9502df751d2b47a538432234749ab404de60ffc37166c353d557e4ff,1296.0,POHS-tee
i posti,False,posto,place,noun,the places,"core,location",,,masculine,plural,,,False,False,False,definite,i,i,,,I posti sono pieni.,The places are full.,1a92db275d5983cbdc02b9f2b9994339281691bad68b68afa2dc7dfadbe9ab67,1368.0,ebc485c78904932eacb238ca9190e5715da033f2b85cc6803017dec8df1b0323,1416.0,EE POHS-tee
dei posti,False,posto,place,noun,some places,"core,location",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho visto dei posti belli.,I saw some beautiful places.,43065c293d5694a801d0d09e74d95037851995f5175eb4202254b6bb4d9f9ab0,1488.0,e055e80c97d3af1793e609a4de4a0e97817792afc623d726a7c78227eb54fde2,1584.0,DAY POHS-tee
del posto,False,posto,place,noun,of the place,"core,location",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il profumo del posto è buono.,The smell of the place is good.,4c4cb6c6bce11768880d9ed5ec44ad2fc2fbd862af37c8851738cde90a8dec6e,1392.0,3ae1eb01242377da01f6b78e9616163a6e08beaafc35c556e3cfd1091a5917de,1608.0,DEHL POHS-toh
al posto,False,posto,place,noun,to the place,"core,location",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Andiamo al posto vicino.,Let's go to the nearby place.,0e5fd60ee4d5c6f05ed69e1eba0bc0eefb85867cfd0d5796aab47ca74aae0694,1392.0,8aa74b0c583bd8d3b9a85a758cd13236ee31466d673be62b56d6ab33c0cd029c,1512.0,AHL POHS-toh
ai posti,False,posto,place,noun,to the places,"core,location",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Ci sediamo ai posti liberi.,We sit in the free seats.,9d8d4a5120da5ce98612b9257821128ec2d871fae2043f819a0544d5a87a743a,1464.0,cbda0568a6b71507f10856a8d9d71079168949f966cf11d175aba67de81a5995,1512.0,EYE POHS-tee
dal posto,False,posto,place,noun,from the place,"core,location",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal posto.,I leave the place.,3cd8c4ae5df486d991e737f54b82d650c5334bc8f5c5ff9f6c81ae232c6e9a80,1464.0,694810ac810cb9d5b1b834a960ab4bca7195dd0c19a9a44bdac48d3f996a8894,1608.0,DAHL POHS-toh
dai posti,False,posto,place,noun,from the places,"core,location",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Le persone arrivano dai posti vicini.,People arrive from nearby places.,b8939119d595fb768d53942109f9fafdec12e230079f1b62933d60899bcbefee,1560.0,3a9bef9101ba44632a07cb38bb7e268a22baa5bbdc3aba840375a070bb31fe26,1584.0,DEYE POHS-tee
nel posto,False,posto,place,noun,in the place,"core,location",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Rimani nel posto.,Stay in the place.,622fe159b0d706aec8cda6eb3a3ee16e8dfd460f78b6ec5eb4c90d6e13f0d4a4,1368.0,af773bf3926f912f5c2e3bb8ff92be390986006379765ee061f8c8ad14867c98,1608.0,NEHL POHS-toh
nei posti,False,posto,place,noun,in the places,"core,location",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non c'è spazio nei posti vicini.,There is no space in the nearby places.,821e3b34ac0fa619c64f87958bfd971e040d3853bfafa538efac7d417ed636da,1464.0,cd1dd4d2e01d9e105058ae67f29b06387ab1768433244141ed2f6c564812170a,1584.0,NAY POHS-tee
sul posto,False,posto,place,noun,about the place,"core,location",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Scrivo una recensione sul posto.,I write a review about the place.,2b22cac20837cb063d6a1d007029a09819219c63f56a975b36902df717936eff,1560.0,f005e2b0960d4999d01818503bc81e10b4c1267e30570450c3dc286d42fb4143,1656.0,SOOL POHS-toh
