term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
permettere,True,permettere,to allow,verb,to allow,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,past participle irregular 'permesso',Non voglio permettere questo.,I do not want to allow this.
permettendo,False,permettere,to allow,verb,allowing,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto permettendo un'eccezione.,I am allowing an exception.
permesso,False,permettere,to allow,verb,allowed,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle masculine singular,L'ho permesso.,I allowed it.
permessa,False,permettere,to allow,verb,allowed,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle feminine singular,L'ho permessa.,I allowed it.
permessi,False,permettere,to allow,verb,allowed,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle masculine plural,Li ho permessi.,I allowed them.
permesse,False,permettere,to allow,verb,allowed,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle feminine plural,Le ho permesse.,I allowed them.
permetto,False,permettere,to allow,verb,I allow,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io permetto l'accesso.,I allow access.
permetti,False,permettere,to allow,verb,you allow,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu permetti troppi errori.,You allow too many mistakes.
permette,False,permettere,to allow,verb,he allows/she allows/you (formal) allow,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui permette l'ingresso.,He allows entry.
permettiamo,False,permettere,to allow,verb,we allow,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Permettiamo visite guidate.,We allow guided tours.
permettete,False,permettere,to allow,verb,you (plural) allow,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi permettete il parcheggio?,Do you (plural) allow parking?
permettono,False,permettere,to allow,verb,they allow,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro permettono fotografie.,They allow photos.
permettevo,False,permettere,to allow,verb,I was allowing,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io permettevo spesso eccezioni.,I was allowing exceptions often.
permettevi,False,permettere,to allow,verb,you were allowing,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu permettevi tutto.,You were allowing everything.
permetteva,False,permettere,to allow,verb,he was allowing/she was allowing/you (formal) were allowing,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei permetteva poche pause.,She was allowing few breaks.
permettevamo,False,permettere,to allow,verb,we were allowing,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi permettevamo visite.,We were allowing visits.
permettevate,False,permettere,to allow,verb,you (plural) were allowing,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi permettevate l'uso.,You (plural) were allowing the use.
permettevano,False,permettere,to allow,verb,they were allowing,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro permettevano l'accesso.,They were allowing access.
ho permesso,False,permettere,to allow,verb,I have allowed,"core,verb",,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'permesso',Ho permesso l'accesso.,I have allowed access.
hai permesso,False,permettere,to allow,verb,you have allowed,"core,verb",,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'permesso',Hai permesso l'eccezione.,You have allowed the exception.
ha permesso,False,permettere,to allow,verb,he has allowed/she has allowed/you (formal) have allowed,"core,verb",,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'permesso'; also used as formal 'Lei',Ha permesso la visita.,He has allowed the visit.
abbiamo permesso,False,permettere,to allow,verb,we have allowed,"core,verb",,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'permesso',Abbiamo permesso il cambio.,We have allowed the change.
avete permesso,False,permettere,to allow,verb,you (plural) have allowed,"core,verb",,2p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'permesso',Avete permesso lo scambio.,You (plural) have allowed the exchange.
hanno permesso,False,permettere,to allow,verb,they have allowed,"core,verb",,3p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'permesso',Hanno permesso le foto.,They have allowed photos.
