term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
racconto,True,racconto,story,noun,story,"media,reading",,,masculine,singular,,,False,False,False,,,,,base lemma,Questo racconto è breve.,This story is short.,8602e994a755f90f4ec2ca67c313896e4ccfa13e89623537b5eaacca14d91882,d1a765c012be9448065685ac0896cb33e15163eccf2262e57e389ab82dcb5db6
un racconto,False,racconto,story,noun,a story,"media,reading",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Leggo un racconto.,I read a story.,1423543c371ea2bf449fd1401a2d2c90bb532643bd3690f660bad47d04b43f57,01ce09c32903760b505deea922fc0b3c8ad06a95560be69d015a3bee7892d3bc
il racconto,False,racconto,story,noun,the story,"media,reading",,,masculine,singular,,,False,False,False,definite,il,il,,,Il racconto è lungo.,The story is long.,d3a5c4eb5a4183e3df76729119a05fca615df5e5509c5051d0ef3156ba05b5f4,175f2c25bd37eeddc79a8052fefef0f31704a60bbfe87436925d71d8eb22b608
racconti,False,racconto,story,noun,stories,"media,reading",,,masculine,plural,,,False,False,False,,,,,plural form,Racconti nuovi escono spesso.,New stories come out often.,04a5048bd7e70c071fb6a987bf49c93fb915eb18ec52322531c3cfcd7936dcae,4e6fbdc5883285dc7386fa23848578753e3c1a2e4c68b9619f1a4de9ef15d001
i racconti,False,racconto,story,noun,the stories,"media,reading",,,masculine,plural,,,False,False,False,definite,i,i,,,I racconti sono interessanti.,The stories are interesting.,94e44d0fb247b99e575f332fb62728a0f106e9529da28a8dfa76e616ee558b1e,b1f1a0a643cf332f23530060402bbdb4859896c184d06c57ea0e7b5bc4416167
dei racconti,False,racconto,story,noun,some stories,"media,reading",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Leggo dei racconti brevi.,I read some short stories.,92158000f6ec918350be3d6339e69dad4324a7cf2d7bad39dc50a67737530ba0,9023a6276dbb6b86dc9144163733c3d1a036588b1450131a19a60f8ed6a94d4f
del racconto,False,racconto,story,noun,of the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La fine del racconto sorprende.,The end of the story is surprising.,d1edb5319268fce83929c327620421b70d958f140690e88b46225cd14b6bd334,704146c63dfae2262db3db8e06662892d6619526876889c0edb838d2d4cfcdfa
al racconto,False,racconto,story,noun,to the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Piango al racconto.,I cry at the story.,9a9a024fb3cbf6630322671db586fd9ff802870da7f8edd67688607b89881340,785ee7d5d6b6c855274bfbbc2058adc932b89cfdc258a2415e923c4fd480deee
ai racconti,False,racconto,story,noun,to the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Mi riferisco ai racconti.,I refer to the stories.,557c113096dec8bb24ae8e0e1202081e315d46424c81de71226b1bbe72918e78,8de004acb02f4402b02099f69dcd2abe030703b6023c99ad9ed540055a17e789
dal racconto,False,racconto,story,noun,from the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Capisco dal racconto.,I understand from the story.,e5e58c32667a65cd9bfeb1989914cc029d4a2e0f84699882919a88d55d6a3b80,8807b62f2d92c895444e36041b9e1d070c396c9d6a9422f67ac9862f3c4e1ade
dai racconti,False,racconto,story,noun,from the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Imparo dai racconti degli anziani.,I learn from the stories of the elders.,28ab1fd72b07234fd6d6a9857c7c48950d55f44d2ab0ce1ef1a674026cc2645c,398c16f9c32616a69d18b0f10190e2208083aa35b83895cee63545bfce77f6bc
nel racconto,False,racconto,story,noun,in the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Mi perdo nel racconto.,I get lost in the story.,dd9a3eaab179a6ae498048b786b1805b0a1fe4fa6ef90040076e4c3ffafc340a,32b88207675c01e745a932e7351be98c8f10239634802125d9101e3610cf492b
nei racconti,False,racconto,story,noun,in the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Le stesse immagini tornano nei racconti.,The same images return in the stories.,1a58c41b0cf9d9e839598ca46f38bd6fd6e4969580b08741d7c1289567d90fa5,4a89795f2c2eb360302fc14b036009d5c9866e6bce7986cf414e5f5b65c06034
sul racconto,False,racconto,story,noun,about the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul racconto.,I read a review about the story.,a4fcd7b14eef3c9a755a1789578f4b9242e63914369881664fc7631ca6325eb3,9ac671e4f37a75041c75be91130dfd009d5ada2985c6ad2a395717b12e8914c6
sui racconti,False,racconto,story,noun,about the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Parliamo sui racconti.,We talk about the stories.,f9e8cf85daaa25093abdc57fce788bcec1abc65072a96765a5aa9b0a8de0130b,ca7c3ee7498393028b67aedd52a50d21fd7e65e7ef61cb010c2f84ac3dbf27e1
col racconto,False,racconto,story,noun,with the story,"media,reading",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Inizio col racconto.,I start with the story.,ba91ae766089b790844eed8cf4154ec6ab1d101d8b51f047da9c4fdce34af06c,d211e7e1046fdff50e28e53e5d09638fb8de34140da22f0cc4cc58b3aa820794
coi racconti,False,racconto,story,noun,with the stories,"media,reading",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi racconti degli studenti.,We work with student stories.,870099d2fd08e27031149d4ab7c4cd1525a102c10b3038769e2465709ec40632,8217c0ef57d4ed508b92ef9a5c02554a46b31c7f9478243a19cb0c3eaabf4451
