term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
bar,true,bar,café/bar,masculine,singular,none,n/a,n/a,n/a,masculine noun of foreign origin,"Questo bar è chiuso.","This bar is closed."
un bar,false,bar,a bar,masculine,singular,indefinite,un,un,n/a,,"Prendo un caffè in un bar.","I have a coffee in a bar."
il bar,false,bar,the bar,masculine,singular,definite,il,il,n/a,,"Il bar apre alle sette.","The bar opens at seven."
bar,false,bar,bars,masculine,plural,none,n/a,n/a,n/a,invariable plural,"Molti bar restano aperti.","Many bars remain open."
i bar,false,bar,the bars,masculine,plural,definite,i,i,n/a,,"I bar del centro sono affollati.","The city-center bars are crowded."
dei bar,false,bar,some bars,masculine,plural,articulated_preposition,i,dei,di,,"I tavoli dei bar sono occupati.","The tables of the bars are occupied."
del bar,false,bar,of the bar/the bar's,masculine,singular,articulated_preposition,il,del,di,,"La porta del bar è rotta.","The bar's door is broken."
al bar,false,bar,to the bar,masculine,singular,articulated_preposition,il,al,a,,"Ci vediamo al bar.","Let's meet at the bar."
dal bar,false,bar,from the bar,masculine,singular,articulated_preposition,il,dal,da,,"Sono tornato dal bar.","I returned from the bar."
nel bar,false,bar,in the bar,masculine,singular,articulated_preposition,il,nel,in,,"C'era molta gente nel bar.","There were many people in the bar."
sul bar,false,bar,on the bar,masculine,singular,articulated_preposition,il,sul,su,,"Ho lasciato la giacca sul bar.","I left the jacket on the bar."
col bar,false,bar,with the bar,masculine,singular,articulated_preposition,il,col,con,"contraction of con + il","Collaboro col bar del quartiere.","I collaborate with the neighborhood bar."
coi bar,false,bar,with the bars,masculine,plural,articulated_preposition,i,coi,con,"contraction of con + i","Ho un accordo coi bar della zona.","I have an agreement with the bars in the area."
ai bar,false,bar,to the bars,masculine,plural,articulated_preposition,i,ai,a,,"Porto i volantini ai bar del centro.","I deliver flyers to the bars in the center."
dai bar,false,bar,from the bars,masculine,plural,articulated_preposition,i,dai,da,,"Ho preso informazioni dai bar vicini.","I got information from the nearby bars."
nei bar,false,bar,in the bars,masculine,plural,articulated_preposition,i,nei,in,,"Ho lasciato i libri nei bar frequentati dagli studenti.","I left the books in the bars frequented by students."
sui bar,false,bar,on the bars,masculine,plural,articulated_preposition,i,sui,su,,"Ho scritto un articolo sui bar della città.","I wrote an article about the bars of the city."
