gram3_key	count	substr	term_1	term_2	term_3	lemma_1	lemma_2	lemma_3	pos_1	pos_2	pos_3	translation_en
('ha_avere_AUX', 'detto_dire_VERB', 'che_che_SCONJ')	1000	ha detto che	ha	detto	che	avere	dire	che	AUX	VERB	SCONJ	has said that
('detto_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	348	detto che non	detto	che	non	dire	che	non	VERB	SCONJ	ADV	said that not
"('un_uno_DET', ""po'_poco_PRON"", 'di_di_ADP')"	331	un po' di	un	po'	di	uno	poco	di	DET	PRON	ADP	a bit of
('mi_mi_PRON', 'ha_avere_AUX', 'detto_dire_VERB')	330	mi ha detto	mi	ha	detto	mi	avere	dire	PRON	AUX	VERB	he/she told me
('io_io_PRON', 'non_non_ADV', 'sono_essere_AUX')	230	io non sono	io	non	sono	io	non	essere	PRON	ADV	AUX	I am not
('hanno_avere_AUX', 'detto_dire_VERB', 'che_che_SCONJ')	212	hanno detto che	hanno	detto	che	avere	dire	che	AUX	VERB	SCONJ	they said that
('io_io_PRON', 'penso_pensare_VERB', 'che_che_SCONJ')	198	io penso che	io	penso	che	io	pensare	che	PRON	VERB	SCONJ	I think that
('non_non_ADV', 'riesco_riuscire_VERB', 'a_a_ADP')	180	non riesco a	non	riesco	a	non	riuscire	a	ADV	VERB	ADP	I can't manage to
('qual_qual_PRON', 'è_essere_AUX', 'il_il_DET')	171	qual è il	qual	è	il	qual	essere	il	PRON	AUX	DET	what is the (masculine)
('detto_dire_VERB', 'che_che_SCONJ', 'era_essere_AUX')	171	detto che era	detto	che	era	dire	che	essere	VERB	SCONJ	AUX	said that it was
('che_che_SCONJ', 'non_non_ADV', 'era_essere_AUX')	171	che non era	che	non	era	che	non	essere	SCONJ	ADV	AUX	that it was not
('ho_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	167	ho bisogno di	ho	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP	I need to; I need
('a_a_ADP', 'me_me_PRON', 'piace_piacere_VERB')	159	a me piace	a	me	piace	a	me	piacere	ADP	PRON	VERB	I like; it pleases me
('disse_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	156	disse che non	disse	che	non	dire	che	non	VERB	SCONJ	ADV	he/she said that not
('disse_dire_VERB', 'che_che_SCONJ', 'era_essere_AUX')	156	disse che era	disse	che	era	dire	che	essere	VERB	SCONJ	AUX	he/she said that it was
('in_in_ADP', 'grado_grado_NOUN', 'di_di_ADP')	154	in grado di	in	grado	di	in	grado	di	ADP	NOUN	ADP	able to
('mi_mi_PRON', 'disse_dire_VERB', 'che_che_SCONJ')	154	mi disse che	mi	disse	che	mi	dire	che	PRON	VERB	SCONJ	he/she told me that
('ha_avere_AUX', 'detto_dire_VERB', 'di_di_ADP')	141	ha detto di	ha	detto	di	avere	dire	di	AUX	VERB	ADP	has said to
"('non_non_ADV', ""c'_ci_PRON"", 'è_essere_VERB')"	134	non c'è	non	c'	è	non	ci	essere	ADV	PRON	VERB	there is not
('ha_avere_VERB', 'bisogno_bisogno_NOUN', 'di_di_ADP')	129	ha bisogno di	ha	bisogno	di	avere	bisogno	di	VERB	NOUN	ADP	he/she needs to; he/she needs
('non_non_ADV', 'ho_avere_AUX', 'mai_mai_ADV')	123	non ho mai	non	ho	mai	non	avere	mai	ADV	AUX	ADV	I have never
('non_non_ADV', 'penso_pensare_VERB', 'che_che_SCONJ')	119	non penso che	non	penso	che	non	pensare	che	ADV	VERB	SCONJ	I do not think that
('bisogno_bisogno_NOUN', 'di_di_ADP', 'un_uno_DET')	114	bisogno di un	bisogno	di	un	bisogno	di	uno	NOUN	ADP	DET	need for a
('io_io_PRON', 'non_non_ADV', 'ho_avere_VERB')	111	io non ho	io	non	ho	io	non	avere	PRON	ADV	VERB	I do not have
('io_io_PRON', 'non_non_ADV', 'ho_avere_AUX')	110	io non ho	io	non	ho	io	non	avere	PRON	ADV	AUX	I do not have
('ho_avere_AUX', 'detto_dire_VERB', 'che_che_SCONJ')	106	ho detto che	ho	detto	che	avere	dire	che	AUX	VERB	SCONJ	I said that
('tutto_tutto_DET', 'quello_quello_PRON', 'che_che_PRON')	104	tutto quello che	tutto	quello	che	tutto	quello	che	DET	PRON	PRON	everything that
"('non_non_ADV', ""l'_lo_PRON"", 'ho_avere_AUX')"	100	non l'ho	non	l'	ho	non	lo	avere	ADV	PRON	AUX	I do not have it
('è_essere_AUX', 'il_il_DET', 'suo_suo_DET')	97	è il suo	è	il	suo	essere	il	suo	AUX	DET	DET	it is his/her (masculine)
('è_essere_AUX', 'quello_quello_PRON', 'che_che_PRON')	93	è quello che	è	quello	che	essere	quello	che	AUX	PRON	PRON	it is what
('è_essere_AUX', 'il_il_DET', 'mio_mio_DET')	93	è il mio	è	il	mio	essere	il	mio	AUX	DET	DET	it is mine (masculine)
('è_essere_AUX', 'il_il_DET', 'tuo_tuo_DET')	92	è il tuo	è	il	tuo	essere	il	tuo	AUX	DET	DET	it is your (masculine)
('dice_dire_VERB', 'che_che_SCONJ', 'non_non_ADV')	92	dice che non	dice	che	non	dire	che	non	VERB	SCONJ	ADV	he/she says that not
"(""c'_ci_PRON"", 'è_essere_VERB', 'un_uno_DET')"	91	c'è un	c'	è	un	ci	essere	uno	PRON	VERB	DET	there is a
('io_io_PRON', 'non_non_ADV', 'voglio_volere_AUX')	90	io non voglio	io	non	voglio	io	non	volere	PRON	ADV	AUX	I do not want
('è_essere_AUX', 'la_il_DET', 'mia_mio_DET')	89	è la mia	è	la	mia	essere	il	mio	AUX	DET	DET	it is mine (feminine)
('non_non_ADV', 'è_essere_AUX', 'un_uno_DET')	88	non è un	non	è	un	non	essere	uno	ADV	AUX	DET	it is not a
('a_a_ADP', 'me_me_PRON', 'non_non_ADV')	87	a me non	a	me	non	a	me	non	ADP	PRON	ADV	to me not
('questo_questo_PRON', 'è_essere_AUX', 'il_il_DET')	87	questo è il	questo	è	il	questo	essere	il	PRON	AUX	DET	this is the (masculine)
('lo_lo_PRON', 'so_sapere_VERB', 'che_che_SCONJ')	86	lo so che	lo	so	che	lo	sapere	che	PRON	VERB	SCONJ	I know that
('sono_essere_AUX', 'sicuro_sicuro_ADJ', 'che_che_SCONJ')	85	sono sicuro che	sono	sicuro	che	essere	sicuro	che	AUX	ADJ	SCONJ	I am sure that
('sono_essere_AUX', 'sicura_sicuro_ADJ', 'che_che_SCONJ')	84	sono sicura che	sono	sicura	che	essere	sicuro	che	AUX	ADJ	SCONJ	I am sure that (feminine)
('io_io_PRON', 'non_non_ADV', 'posso_potere_AUX')	83	io non posso	io	non	posso	io	non	potere	PRON	ADV	AUX	I cannot
('questa_questo_PRON', 'è_essere_AUX', 'la_il_DET')	83	questa è la	questa	è	la	questo	essere	il	PRON	AUX	DET	this is the (feminine)
('ha_avere_AUX', 'detto_dire_VERB', 'a_a_ADP')	81	ha	ha	detto	a	avere	dire	a	AUX	VERB	ADP	has said to someone
('qual_qual_PRON', 'è_essere_AUX', 'la_il_DET')	81	qual è la	qual	è	la	qual	essere	il	PRON	AUX	DET	what is the (feminine)
('andare_andare_VERB', 'a_a_ADP', 'casa_casa_NOUN')	80	andare a casa	andare	a	casa	andare	a	casa	VERB	ADP	NOUN	to go home
('penso_pensare_VERB', 'che_che_SCONJ', 'sia_essere_AUX')	76	penso che sia	penso	che	sia	pensare	che	essere	VERB	SCONJ	AUX	I think it is
('a_a_ADP', 'che_che_DET', 'ora_ora_NOUN')	74	a che ora	a	che	ora	a	che	ora	ADP	DET	NOUN	at what time
('non_non_ADV', 'mi_mi_PRON', 'piace_piacere_VERB')	74	non mi piace	non	mi	piace	non	mi	piacere	ADV	PRON	VERB	I do not like
('mi_mi_PRON', 'hanno_avere_AUX', 'detto_dire_VERB')	74	mi hanno detto	mi	hanno	detto	mi	avere	dire	PRON	AUX	VERB	they told me
('è_essere_AUX', 'andato_andare_VERB', 'a_a_ADP')	73	è a	è	andato	a	essere	andare	a	AUX	VERB	ADP	he has gone to
('in_in_ADP', 'questo_questo_DET', 'momento_momento_NOUN')	72	in questo momento	in	questo	momento	in	questo	momento	ADP	DET	NOUN	at this moment
('non_non_ADV', 'ha_avere_AUX', 'mai_mai_ADV')	72	non ha mai	non	ha	mai	non	avere	mai	ADV	AUX	ADV	he/she has never
