term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
giornata,True,giornata,day,noun,day,"time,calendar",,,feminine,singular,,,False,False,False,,,,,base lemma; feminine noun,Che giornata!,What a day!,baabf54121df8fe47c3fea33d7e8bb23fb634fc67a7f15c02c5676af46bd3274,df8a7d69129b9fd09576991c1df8620bb30123c505e73fd5e60fa5269c838ba0,1008.0,1536.0,johr-NAH-tah
una giornata,False,giornata,day,noun,a day,"time,calendar",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Abbiamo una giornata libera.,We have a free day.,6b38bbfa680d89eb0041cdb800ecadf6b009eff1e10733dcf9dc0aa13a525d23,f459bb0b59278ccd374bcd0a0b8fce4e4088a1eaf4cebb83a48e7b77567273ce,1104.0,1752.0,OO-nah johr-NAH-tah
la giornata,False,giornata,day,noun,the day,"time,calendar",,,feminine,singular,,,False,False,False,definite,la,la,,,La giornata è bellissima.,The day is beautiful.,de3e0dc9b866370c731d20e3493a59697f36cb205a00579d0a8e72689467f732,3d66b230b0a29a8f4c678a61693efbaf6c30612a22a5b5469aa0d7c5db441ac7,1128.0,1680.0,LAH johr-NAH-tah
giornate,False,giornata,day,noun,days,"time,calendar",,,feminine,plural,,,False,False,False,,,,,plural form,Giornate corte arrivano d'inverno.,Short days arrive in winter.,9d8c9f05e06f9a62005fcb99d439b1dd90f811e06a627c76772bf378345738e2,6dff5c0e82ea66d175a821c09d670e1c0378fccf08ef417bbb3ad2269e0117cf,1104.0,1512.0,johr-NAH-teh
le giornate,False,giornata,day,noun,the days,"time,calendar",,,feminine,plural,,,False,False,False,definite,le,le,,,Le giornate passano veloci.,The days go by fast.,bbe6bda42dad1522979e7f5cb812720a231f1dbcb8ae00e46a6848edbbad2164,4f352d2557efc5d2926df2918f124de4918adee579fbf958c605833030fe41c1,1248.0,1656.0,LEH johr-NAH-teh
delle giornate,False,giornata,day,noun,some days,"time,calendar",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho avuto delle giornate difficili.,I had some difficult days.,918540e20af293d6a9e99f01e54d4d7dcd05ea47194cb4ebdfcc046c6a484433,9b37afb15950b890fd4aca49a5cf095f65bf1d45e1c94625c524da8495303351,1296.0,1848.0,DEH-lleh johr-NAH-teh
della giornata,False,giornata,day,noun,of the day,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il tema della giornata è il clima.,The theme of the day is the climate.,26b238b52268ec24f68983ecd140bf286a03144affed3fdd5a70d4493240e9b0,ac9c703143cc7184f4d86e2408d848c8cc3d775ed921817ff0680a4b5ae02d15,1224.0,1848.0,DEH-llah johr-NAH-tah
alla giornata,False,giornata,day,noun,by the day,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Noleggiamo l'auto alla giornata.,We rent the car by the day.,a8a64718cdf96148db961cfa1ca2867a0bc45925152a6f1b9b60651273f0833a,2a48eaa1dce8abfb66bdddea0d1ff24d000b5008e11d66cb4bd510d06ca69607,1272.0,1776.0,AH-llah johr-NAH-tah
alle giornate,False,giornata,day,noun,to the days,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Pensiamo alle giornate future.,We think about the future days.,337a742ac6509d76fd112630511d659a54ee1db59ef7f6a704244a368ed63c44,3d85ca50a56ec3f90a33036de5822b25169d7630ff9ed08d2b518a6fb0a3a3ab,1368.0,1776.0,AH-lleh johr-NAH-teh
dalla giornata,False,giornata,day,noun,from the day,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Ho imparato molto dalla giornata.,I learned a lot from the day.,eb7335a47f23d5f7df19a769b416230254619b8e34491030ec7abf5209dc6996,52f0e9f5bec8df2f3d501b7f513ce5899ea39743bcc9df6f9c0932d17fe82dbc,1296.0,1848.0,DAH-llah johr-NAH-tah
dalle giornate,False,giornata,day,noun,from the days,"time,calendar",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Prendo spunto dalle giornate passate.,I take inspiration from the past days.,45b7308b9e17a0be43013a2897ca5e3b57abb42f0a3751dff0a52957880027c6,732d179b834ea12e824ccb1f6a55480fc378e80672ab945142827ec0c4704334,1416.0,1872.0,DAH-lleh johr-NAH-teh
nella giornata,False,giornata,day,noun,during the day,"time,calendar",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Ti scrivo nella giornata.,I will write to you during the day.,a4eb04b3ad6ec19535ccc0cdb3546432c5f81619326376fe95df3590ffc80135,e8080068de10c524d94a3679326da0088b613ad8e3f0a2daec8f2fbd71c6b1e5,1416.0,1848.0,NEH-llah johr-NAH-tah
