term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
seta,True,seta,silk,noun,silk,"material,fabric",,,feminine,singular,,,False,False,False,,,,,singular base lemma,La seta è lucida.,Silk is shiny.
una seta,False,seta,silk,noun,a silk,"material,fabric",indefinite,,feminine,singular,,,False,False,False,indefinite,una,una,,a single silk thread or piece,Ho comprato una seta per il vestito.,I bought a piece of silk for the dress.
la seta,False,seta,silk,noun,the silk,"material,fabric",definite,,feminine,singular,,,False,False,False,definite,la,la,,common usage,La seta è pregiata.,Silk is valuable.
sete,False,seta,silk,noun,silks,"material,fabric",,,feminine,plural,,,False,False,False,,,,,plural of seta,Le sete pregiate costano molto.,Fine silks cost a lot.
le sete,False,seta,silk,noun,the silks,"material,fabric",definite,,feminine,plural,,,False,False,False,definite,le,le,,standard plural,Le sete pregiate sono in mostra.,The fine silks are on display.
delle sete,False,seta,silk,noun,some silks,"material,fabric",indefinite,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural,Ho visto delle sete italiane.,I saw some Italian silks.
della seta,False,seta,silk,noun,of the silk,"material,fabric",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il colore della seta è delicato.,The color of the silk is delicate.
alla seta,False,seta,silk,noun,to the silk,"material,fabric",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Ha lavorato alla seta per anni.,She worked with silk for years.
dalla seta,False,seta,silk,noun,from the silk,"material,fabric",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Dalla seta si ricavavano stoffe pregiate.,Fine fabrics were made from silk.
nella seta,False,seta,silk,noun,in the silk,"material,fabric",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Ho trovato un difetto nella seta.,I found a flaw in the silk.
sulla seta,False,seta,silk,noun,about the silk,"material,fabric",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho scritto un rapporto sulla seta.,I wrote a report about silk.
con la seta,False,seta,silk,noun,with the silk,"material,fabric",articulated_preposition,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction for con + la,Con la seta si fanno abiti eleganti.,With silk you make elegant clothes.
