token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO002	0	okay	okay	linguistic	_	Begin=1.456	_	_	_	_
0-1	TO002	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-2	TO002	0	mi	mi	linguistic	_	_	_	_	_	_
0-3	TO002	0	piacerebbe::	piacerebbe	linguistic	_	End=3.031	9x2	_	_	_
1-0	TO002	1	non	non	linguistic	_	Begin=3.081	_	_	_	_
1-1	TO002	1	mi	mi	linguistic	_	_	_	_	_	_
1-2	TO002	1	ricordo	ricordo	linguistic	_	_	_	_	_	_
1-3	TO002	1	mica	mica	linguistic	_	_	_	_	_	_
1-4	TO002	1	come	come	linguistic	_	_	_	_	_	_
1-5	TO002	1	è	è	linguistic	_	_	_	_	_	_
1-6	TO002	1	il	il	linguistic	_	_	_	_	_	_
1-7	TO002	1	suo	suo	linguistic	_	_	_	_	_	_
1-8	TO002	1	nome:	nome	linguistic	_	End=4.506	3x1	_	_	_
2-0	TO003	2	è	è	linguistic	_	Begin=4.506	_	_	_	_
2-1	TO003	2	mario	mario	linguistic	_	_	_	_	_	_
2-2	TO003	2	ro[ssi]	rossi	linguistic	_	End=5.412	_	_	_	2-5(0)
3-0	TO002	3	[mar]io.	mario	linguistic	Intonation=Falling	Begin=5.227|End=5.91	_	_	_	0-3(0)
4-0	TO002	4	mario	mario	linguistic	_	Begin=7.117	_	_	_	_
4-1	TO002	4	noi	noi	linguistic	_	_	_	_	_	_
4-2	TO002	4	ci	ci	linguistic	_	_	_	_	_	_
4-3	TO002	4	siamo	siamo	linguistic	_	_	_	_	_	_
4-4	TO002	4	conosciuti	conosciuti	linguistic	_	_	_	_	_	_
4-5	TO002	4	a	a	linguistic	_	_	_	_	_	_
4-6	TO002	4	lu:n[go:]	lungo	linguistic	_	End=9.438	1x1,4x1	_	_	3-5(1)
5-0	TO003	5	[eh]	eh	linguistic	_	Begin=9.242	_	_	_	0-2(1)
5-1	TO003	5	s~	s~	linguistic	Interrupted=Yes	_	_	_	_	_
5-2	TO003	5	((ride))	((ride))	nonverbalbehavior	_	End=10.894	_	_	_	_
6-0	TO002	6	è	è	linguistic	_	Begin=11.377	_	_	_	_
6-1	TO002	6	stata	stata	linguistic	_	_	_	_	_	_
6-2	TO002	6	una	una	linguistic	_	_	_	_	_	_
6-3	TO002	6	esperienza:	esperienza	linguistic	_	_	9x1	_	_	_
6-4	TO002	6	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
6-5	TO002	6	non	non	linguistic	_	_	_	_	_	_
6-6	TO002	6	so	so	linguistic	_	_	_	_	_	_
6-7	TO002	6	quanto	quanto	linguistic	_	_	_	_	_	_
6-8	TO002	6	drammatica	drammatica	linguistic	_	_	_	_	_	_
6-9	TO002	6	per	per	linguistic	_	_	_	_	_	_
6-10	TO002	6	le:i:	lei	linguistic	_	End=14.418	1x1,2x1	_	_	_
7-0	TO002	7	e:::h	eh	linguistic	ProsodicLink=Yes	Begin=15.351	0x3	_	_	_
7-1	TO002	7	m:::h	mh	linguistic	_	End=17.034	0x3	_	_	_
8-0	TO002	8	appunto	appunto	linguistic	_	Begin=17.425	_	_	_	_
8-1	TO002	8	volevo	volevo	linguistic	_	_	_	_	_	_
