text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
a	AH	a	ADP	to; at; in	22599	0.021613	33494	0.032033	a	ADP	E	case		cff7b061-238c-5950-b68e-ee9cd216e818	2c421837-45d1-5d96-991b-e0b78e63b0d6	b0fc7a8f9f16f87916c0c835b205a29b4edc0e79a5eb650f6be069e1f3bd869a	9d88b5e383a2ed32d71b39ba1a6c21bbf392664fff32e3694acc1445488436df	864.0	2808.0
al	AHL	a	ADP	to the; at the (masculine)	3599	0.003442	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	03dbad06-4810-5ac8-9c47-aaa7acb71917	2c421837-45d1-5d96-991b-e0b78e63b0d6	6d73ec48a5f49433af8ee7ba88bf60a63896f99f9d54e9e942fce823282b39a5	1512761cb589ab6a077af489e52fc752b8d4619aefe7406f454ea9f01fd18ced	1032.0	2856.0
alla	AHL-lah	a	ADP	to the; at the (feminine)	2696	0.002578	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	dc61e70a-cd4a-5b48-96e9-339f53ec8946	2c421837-45d1-5d96-991b-e0b78e63b0d6	95574b87fc1fafee5dccac7be3445bd5404b6c75b23be62e8db3c88fa120da0e	e74bb083ecdd6e573091543925517476c8f160899834c3e6ef9b775e8cea4d73	1128.0	2688.0
all'	AHLL	a	ADP	to the; at the (before a vowel)	1335	0.001277	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Number=Sing|PronType=Art	170750c4-be5c-5478-a6fb-e94db84cb163	2c421837-45d1-5d96-991b-e0b78e63b0d6	54f295a2cb0651cc89e52e3595671d49b6e1d805a0da0a7c1e9841329f8bdf4a	0c7c772a4a4eb0d897744487d992d480d7ec38f0fc91d8f4e0f215e3a60f77e2	1128.0	3144.0
ad	AHD	a	ADP	to; at; in	1315	0.001258	33494	0.032033	a	ADP	E	mark		992e1dd4-ca59-59d3-9dc2-74f135d75777	2c421837-45d1-5d96-991b-e0b78e63b0d6	45ae75d8cfe3c84fcf2d57b0faed37500fd1870ac95028f140b44e1d0af5a2fe	9d88b5e383a2ed32d71b39ba1a6c21bbf392664fff32e3694acc1445488436df	1056.0	2808.0
alle	AHL-leh	a	ADP	to the; at the (feminine plural)	1087	0.00104	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	a2caeceb-8d5c-5992-8955-74131c982e37	2c421837-45d1-5d96-991b-e0b78e63b0d6	9fe15f1b29e4c8a0f9fad4a8f0a9a9a69ea41b3b1dfb02cc8099de8997505ee2	fcbc8270e073bb01906c731ff416981c6e717a331b3a582838c030a2de8990b1	1104.0	3144.0
ai	EYE	a	ADP	to the; at the (masculine plural)	533	0.00051	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	adc1a5ed-c2ad-5145-8d46-be9dba4ed10a	2c421837-45d1-5d96-991b-e0b78e63b0d6	ba2174a686ed1916e54c6264099d23314e9b64a741cf4b3186dbed27cd5d2cdd	451a9c4860f79613705e3aa2687f8162a1c2adcacd055d7c0ca1501543bcd41a	1008.0	3312.0
allo	AHL-loh	a	ADP	to the; at the (masculine)	187	0.000179	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	1bb8180a-3bb7-503c-b12f-512cc126de95	2c421837-45d1-5d96-991b-e0b78e63b0d6	70493699d7a3a2ff4f7ae1f1ff5e522b2db20cff572f12a1929c51245f2432cc	1512761cb589ab6a077af489e52fc752b8d4619aefe7406f454ea9f01fd18ced	1152.0	2856.0
agli	AH-lyee	a	ADP	to the; at the (masculine plural)	142	0.000136	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	3f2e3073-b3e5-51f6-bc18-0fe28de83499	2c421837-45d1-5d96-991b-e0b78e63b0d6	e1098d553e6b5657bd6e003ad1f0ef72c356db600651b426949558aac51e8d51	451a9c4860f79613705e3aa2687f8162a1c2adcacd055d7c0ca1501543bcd41a	1152.0	3312.0
al-'	AHL-	a	ADP	to the; at the (before a vowel)	1	1e-06	33494	0.032033	a+il	ADP+DET	E	case	Definite=Def|Number=Sing|PronType=Art	793b377f-eadc-5bd7-90fa-7088f1669880	2c421837-45d1-5d96-991b-e0b78e63b0d6	da3afdd8bdee98163f76fd1f5b73fa43f841fa8b92d967cea2a6d95bd0520eb5	0c7c772a4a4eb0d897744487d992d480d7ec38f0fc91d8f4e0f215e3a60f77e2	1056.0	3144.0
