text_it	text_en	hash	text_it_length	text_en_length
Mary è diversa ora, vero?	Mary is different now, isn't she?	52bea040-22a1-5d9e-ac03-43cf79bc0a3e	25	33
Mary è diversa adesso, vero?	Mary is different now, isn't she?	37846622-2945-5c46-b547-a60caad750c3	28	33
Mary ha detto che era pronta a farlo.	Mary said she was ready to do that.	a22de1cb-fd6a-500e-b89d-a49f1d1496b9	37	35
Mary disse che era pronta a farlo.	Mary said she was ready to do that.	0b68aba3-2153-528a-9e84-9f6d9ecbe1ff	34	35
Mary era molto testarda, vero?	Mary was very stubborn, wasn't she?	4c5a9f3f-55f1-5bfa-8974-1c87165fbffe	30	35
Il Cristianesimo è una religione abramitica.	Christianity is an Abrahamic religion.	2bf96e80-6e6d-5f3a-9e0f-7221546d94ff	44	38
Tom non vuole fare nient'altro.	Tom doesn't want to do anything else.	ada5a509-ad45-5821-b167-a67d051a9317	31	37
Tom non vuole fare null'altro.	Tom doesn't want to do anything else.	fc449676-b833-59b7-b3dd-47678e121db2	30	37
Mary è seduta nella sua macchina.	Mary is sitting in her car.	c6d0e709-4ed9-5ec5-9413-1ce85dd7f49f	33	27
Mary è seduta nella sua auto.	Mary is sitting in her car.	b4932978-b1ab-5743-95c1-0b639ab87700	29	27
Mary è seduta nella sua automobile.	Mary is sitting in her car.	41557c5f-f7fd-533f-af03-6a3eaa22ef53	35	27
Mary si è messa le sue scarpe nuove.	Mary put on her new shoes.	ebe5ea71-63bc-5913-80ba-c26d95ed3707	36	26
Mary si mise le sue scarpe nuove.	Mary put on her new shoes.	e9b0326d-7e55-562c-8d0d-a0d9c76d7fd8	33	26
Mary ha detto che era piena.	Mary said that she was full.	7feb3688-b784-507e-b1a7-1e8a559966df	28	28
Mary disse che era piena.	Mary said that she was full.	c81842da-cc93-5fd4-af7f-af620ad78ded	25	28
Mary non ha detto con chi era andata.	Mary didn't say who she'd gone with.	19c912be-2148-56f8-a495-b893a201aa99	37	36
Mary non disse con chi era andata.	Mary didn't say who she'd gone with.	dd15d5e9-eb15-5237-8cf4-e81630c9ef6b	34	36
Mary è una snob, vero?	Mary is a snob, isn't she?	d7310217-251f-56e2-a762-bc211ac5a1f6	22	26
Mary è pessima nello sport, vero?	Mary is bad at sports, isn't she?	75203583-39f2-57a1-83ae-36946ac1a022	33	33
Mary ha detto che era gelosa.	Mary said she was jealous.	adef7d84-be81-5c8c-b56b-527ced87cba0	29	26
Mary disse che era gelosa.	Mary said she was jealous.	36727ffb-e0fc-5786-9c2d-9488b78385b7	26	26
Mary ha detto che l'esplosione l'ha svegliata.	Mary said the explosion woke her up.	2a4c54c2-2aaa-5d40-9a43-4af8445f5a97	46	36
Mary disse che l'esplosione la svegliò.	Mary said the explosion woke her up.	2925f0ab-9eac-551b-9539-0af9e3b5a56a	39	36
Mary era molto imprudente, vero?	Mary was very reckless, wasn't she?	6711e0de-2a47-5033-90f1-e95a500a1dea	32	35
Mary ha detto che dovrebbe studiare.	Mary knows she should be studying.	1ec32fd9-abe2-5c90-812b-9d11ef253fd7	36	34
Mary ha risolto il problema da sola.	Mary solved the problem by herself.	722d48d6-92ad-5872-a438-73ab9966a5c2	36	35
Mary risolse il problema da sola.	Mary solved the problem by herself.	6899fe61-86c7-5873-9f98-b8318464e266	33	35
Mary vive con suo padre a Boston.	Mary lives with her father in Boston.	0704dc6e-6243-5c21-92d5-f23f00955a3f	33	37
Mary abita con suo padre a Boston.	Mary lives with her father in Boston.	ef825aaa-6565-50dc-bde4-e52fde5b2f3f	34	37
Mary è stata piuttosto sfortunata, vero?	Mary has been quite unlucky, hasn't she?	54d53f3a-72c5-5708-be1c-f5b4b68bc5db	40	40
Mary ha dato a Tom il suo indirizzo di casa.	Mary gave Tom her home address.	7131948f-0c57-5d60-90ff-eb85d7f66135	44	31
Mary diede a Tom il suo indirizzo di casa.	Mary gave Tom her home address.	bc17aa8f-22c7-52c0-baed-440c8aed957e	42	31
Mary si è armata con un coltello.	Mary armed herself with a knife.	e033f646-f7c1-53af-8930-c61733aa76b4	33	32
Mary si armò con un coltello.	Mary armed herself with a knife.	b36a7fbb-a2f5-514a-b5e2-3387fd413323	29	32
Mary non ha piani per il suo ritiro.	Mary has no plans for her retirement.	a6006006-bcc3-5e81-be7c-de447560e907	36	37
Mary è un'insegnante appassionata, vero?	Mary is a dedicated teacher, isn't she?	8db667fc-1feb-512f-afdc-762116c5d3fe	40	39
Mary dice che non lo comprerà per te.	Mary says she won't buy that for you.	53a77d94-0001-5c19-af07-0fb2c7225b80	37	37
Mary dice che non lo comprerà per voi.	Mary says she won't buy that for you.	3ab19174-9e0b-53ff-b61d-5fbc64f78d22	38	37
Mary dice che non lo comprerà per lei.	Mary says she won't buy that for you.	d8d96dc1-c716-5f75-bbc4-91fa4305d6b7	38	37
Mary è ancora un'insegnante, vero?	Mary is still a teacher, isn't she?	5f3f645e-af54-5a53-a780-8856bb712244	34	35
Mary è molto impegnata, vero?	Mary is very busy, isn't she?	69c2dcaf-4f6b-514a-828e-b16e13c9c27d	29	29
Mary dice che Tom pranzerà con lei.	Mary says Tom will eat lunch with her.	a70d2b09-74d0-5e5f-bdeb-736f6266d57d	35	38
Mary è un'addestratrice di cani, vero?	Mary is a dog trainer, isn't she?	f02a7b99-1de0-5fe3-9cef-2a4a6d6a405e	38	33
Mary ha detto che non aveva nostalgia di casa.	Mary said that she wasn't homesick.	0547a814-92f9-5c73-9a8a-f051c55e2c36	46	35
Mary disse che non aveva nostalgia di casa.	Mary said that she wasn't homesick.	0fbe9e33-7498-5224-91a3-940d58b8d61c	43	35
Mary ha detto che ha il cuore infranto.	Mary said that she's heartbroken.	eb6a2919-66ff-5f69-ae4f-05705f2a6e1c	39	33
Mary chiama sua madre una volta alla settimana.	Mary calls her mother once a week.	59014591-8ac5-52e0-b8c9-697f811c4e5f	47	34
Mary è molto prudente, vero?	Mary is very careful, isn't she?	506eb2c1-02ab-5a0f-9df2-4618b7cda0c1	28	32
Mary sta spazzando la sua stanza.	Mary is sweeping her room.	977dd174-c1fa-5e65-99d3-e8bb002466eb	33	26
Mary ha detto che non era interessata allo sport.	Mary said she wasn't interested in sports.	39298b13-0435-5389-a3ed-ceb346d40f83	49	42
Mary disse che non era interessata allo sport.	Mary said she wasn't interested in sports.	160780fb-30cd-5a5d-8bc1-5798f8c4ebd3	46	42
Mary pensa di essere più forte di me.	Mary thinks she's stronger than I am.	fc9f2715-cb84-5f31-a731-6425c7f59116	37	37
Mary è nuova in città, vero?	Mary is new in town, isn't she?	e9c335d1-bb0e-51b0-b75e-397a33e730f6	28	31
Mary è scesa dalla sua bici.	Mary got off her bike.	4f9acbf1-268c-549a-9906-4ebbcb2e59a0	28	22
Mary scese dalla sua bici.	Mary got off her bike.	72516286-cdcd-560e-b85b-cddcb9f3320a	26	22
Mary non troverà nessuno che lo farà per lei.	Mary won't find anyone who'll do that for her.	e4502d66-5b46-5fa2-9611-02771677186c	45	46
Mary ha detto che Tom le ha detto di farlo.	Mary said Tom told her to do that.	d979031f-3f90-512f-ad75-635bde9bad9a	43	34
Mary disse che Tom le disse di farlo.	Mary said Tom told her to do that.	8125436c-2d70-5fb7-a9f5-69e5e35ea430	37	34
Mary sta vivendo con la sua famiglia.	Mary is living with her family.	19560786-905f-501b-8b0e-09b58854ab42	37	31
Mary mi ha detto che era affamata.	Mary told me she was hungry.	18225eea-4ace-5861-9a76-6994db022964	34	28
Mary mi disse che era affamata.	Mary told me she was hungry.	0e8dd92d-76c9-57c7-874e-9a4e08c727a5	31	28
Mary sa che Tom è arrabbiato con lei.	Mary knows Tom is mad at her.	c2d0abe6-25ec-536c-810e-036f0632c6b0	37	29
Mary ha ammesso che ha mentito.	Mary admitted she lied.	143ba929-c3cd-5542-9fca-f64279f0c8b5	31	23
Mary ammise che mentì.	Mary admitted she lied.	24edb895-c3fe-525b-8995-1bf8a48a931c	22	23
Mary si arrabbiò con me per non averla ascoltata.	Mary got mad at me for not listening to her.	3e648b74-acc3-5050-a675-bee1c45a8549	49	44
Se Mary va, andrò con lei.	If Mary goes, I'll go with her.	5aec5e9a-c197-5bb2-94f2-c48d4fc6217c	26	31
Mary ha promesso che non lo farà oggi.	Mary promised she won't do that today.	d2aabbfc-01ca-5156-9cab-1afd88f67436	38	38
Mary non è molto brava in quello che fa.	Mary isn't very good at what she does.	01f5fb20-cfc4-5782-8938-300cd97c2363	40	38
Mary non è molto brava in ciò che fa.	Mary isn't very good at what she does.	d2302ec8-1bfd-5296-ad61-256fc3c63147	37	38
Mary è un'esperta nel suo campo.	Mary is an expert in her field.	8c4e4371-1a06-56da-af6f-b80adc553c46	32	31
Mary è molto difficile da compiacere, vero?	Mary is very hard to please, isn't she?	7ce0c753-f6d9-5726-8f31-62dc537104a5	43	39
Mary ha sorseggiato il suo drink.	Mary sipped her drink.	e3493cbc-e0f0-5717-b4e6-9b5b5853e4f7	33	22
Mary sorseggiò il suo drink.	Mary sipped her drink.	6e0376d8-1c73-5f8d-99d6-d98b9390c4c5	28	22
Mary non è il suo vero nome.	Mary isn't her real name.	b238f9a9-1ee1-57de-a7d2-73fb48a9dcfe	28	25
Mary ha portato i suoi figli in Australia.	Mary took her children to Australia.	e29abbe8-7f39-5455-9dad-a9dce11fa03f	42	36
Mary portò i suoi figli in Australia.	Mary took her children to Australia.	83b6b1f8-35d3-53fa-8354-570fd1e01ff3	37	36
Mary ha portato le sue figlie in Australia.	Mary took her children to Australia.	136c462c-f13e-5f42-9bc2-312de669fd0a	43	36
Mary portò le sue figlie in Australia.	Mary took her children to Australia.	ce5e4842-9155-57cc-8b21-a29ec0472ea8	38	36
Mary ha detto che doveva aiutare Tom.	Mary said she had to help Tom.	91efc0c2-adf8-57e0-9712-3ac8b52a2e93	37	30
Mary disse che doveva aiutare Tom.	Mary said she had to help Tom.	b1123831-463c-5ef5-be3a-d7e0369e06db	34	30
Mary sembra essere intossicata.	Mary looks like she's intoxicated.	47ee143a-52cb-5f3c-9969-81ca23c76bed	31	34
Mary mi ha promesso che lo avrebbe fatto oggi.	Mary promised me she'd do that today.	11a5146a-c5ed-57b0-9f07-b3e11aede731	46	37
Mary è già lì, vero?	Mary is already there, isn't she?	0f903f63-de22-52bd-9056-7ee39168fb81	20	33
Mary è già là, vero?	Mary is already there, isn't she?	1bd6e2c6-feba-51f5-9673-e6fb3df6e7e2	20	33
Mary c'è già, vero?	Mary is already there, isn't she?	973e81e7-439b-5e02-b7a3-41b5cdf18884	19	33
Mary ha ancora nostalgia di casa, vero?	Mary is still homesick, isn't she?	78acb8dc-8751-5515-adec-907e5aa40085	39	34
Mary è osservante, vero?	Mary is observant, isn't she?	30a0c3e8-83b5-5e9e-b652-047a8920ccf6	24	29
Mary dice che non è arrabbiata.	Mary says she isn't angry.	88a40519-46e2-50c3-900d-7fb2e97ed2a9	31	26
Mary mi ha detto che era sposata.	Mary told me she was married.	ae0853e0-242b-5c1d-b8ea-a16940cb1145	33	29
Mary mi disse che era sposata.	Mary told me she was married.	bbd3e571-ccc5-5f13-a780-c912709f1a83	30	29
Crede in me.	He believes in me.	1f3faa6a-16fb-5b71-834c-ae7f1b653a44	12	18
Lui crede in me.	He believes in me.	64364d77-a91a-5ef6-b81b-697b4f1d205f	16	18
Mary odiava Tom. Adesso lo ama.	Mary used to hate Tom. Now she loves him.	aa618d0a-4f31-5466-a7af-ce17dfc5d9ee	31	41
Mary odiava Tom. Ora lo ama.	Mary used to hate Tom. Now she loves him.	d1fdc226-bb11-5f9f-9e10-437f3cf2a4ae	28	41
Mary non sapeva che non piaceva a Tom.	Mary didn't know that Tom didn't like her.	fa1c84a2-ce59-5079-b074-52b368b244f4	38	42
Mary non si considera un'eroina.	Mary doesn't consider herself a hero.	5c439859-83dd-53a7-8099-39ab6ab48c41	32	37
Mary è diversa dai suoi compagni di classe.	Mary is different from her classmates.	5c74a7d7-3f2c-51ed-aeff-a65d6bea37f6	43	38
Mary è diversa dalle sue compagne di classe.	Mary is different from her classmates.	515be239-16be-5b31-ae22-441364f03629	44	38
Mary mi ha detto che non è convinta.	Mary told me she's unconvinced.	94f4b21a-9706-5635-9306-b32f3dbcfa61	36	31
Mary mi ha detto di non essere convinta.	Mary told me she's unconvinced.	b40a7092-732f-5eb5-9bc9-d57d215b90a7	40	31
Mary sembrava avere paura.	Mary looked like she was afraid.	ad5d9f00-80f2-5925-8289-d5154be792c4	26	32
Mary mi ha detto che non era ubriaca.	Mary told me that she wasn't sick.	1d47072e-5369-5779-9d12-9bbaf7a8cbab	37	34
Mary mi disse che non era ubriaca.	Mary told me that she wasn't sick.	13f4a565-fd41-56df-984f-42ed73791ec8	34	34
Mary stava aspettando che Tom la chiamasse.	Mary was waiting for Tom to call her.	7887d22d-9302-501a-a7a9-7a6cfefd47e8	43	37
Mary dice che le manca molto la sua famiglia.	Mary says she misses her family a lot.	b10f263d-8706-558b-ba5a-94466741ab1c	45	38
Mary dice che a lei manca molto la sua famiglia.	Mary says she misses her family a lot.	18d6a7f4-8a11-58bc-9a09-27b51635307f	48	38
Mary ha detto che ha dovuto chiamare la polizia.	Mary said she had to call the police.	0d1f51af-9274-5253-9e70-9516dc305321	48	37
Mary disse che dovette chiamare la polizia.	Mary said she had to call the police.	490ad099-1b50-5838-b383-0a11a603367a	43	37
Mary sarà qui, vero?	Mary is going to be here, isn't she?	952138a2-2fe4-5949-8f5a-e2b3d3ae4dd0	20	36
Mary sarà qua, vero?	Mary is going to be here, isn't she?	32093a01-d0fa-511c-abe8-f7ae91150206	20	36
Mary mi ha già detto come si sente.	Mary has already told me how she feels.	485fc962-38a3-5980-b431-c4914dab83c3	35	39
Mary ha detto che non aveva altra scelta.	Mary said she had no other choice.	8dc28015-a50a-5aba-8f0d-2891f37ad8ab	41	34
Mary disse che non aveva altra scelta.	Mary said she had no other choice.	06af7cae-358d-5c6c-9926-27a9d1ad301c	38	34
Mary dice che ha visto Tom piangere.	Mary says she saw Tom crying.	5f95ac99-7aef-59fa-ba9e-7bbcb7759f01	36	29
Mary dice di avere visto Tom piangere.	Mary says she saw Tom crying.	50923258-b19a-53eb-8254-8420b90f7b64	38	29
Mary è piuttosto riservata, vero?	Mary is quite reserved, isn't she?	5f0ee934-1880-57eb-99bb-97185f100fea	33	34
Mary dice di non avere rimpianti.	Mary says she has no regrets.	f134c339-bf67-50c6-a230-e9f05802e338	33	29
Mary è sempre in ritardo, vero?	Mary is always late, isn't she?	eaf7fa32-6853-5eb5-98a2-83f455457cd8	31	31
Mary sta aspettando che qualcuno la aiuti.	Mary is waiting for someone to help her.	ae8c23d1-6f09-5875-af12-7e4364c1bbf2	42	40
Mary non piaceva a nessuno dei suoi compagni.	None of Mary's classmates liked her.	81846f80-6a5e-5c72-8436-21289cdbce87	45	36
Mary si è asciugata con un asciugamano.	Mary dried herself with a towel.	f5ecddd1-ead0-5171-8820-f3001a41df37	39	32
Mary si asciugò con un asciugamano.	Mary dried herself with a towel.	0dce681f-f104-56e8-96d6-4dbf11b11113	35	32
Mary è troppo vecchia per farlo, vero?	Mary is too old to do that, isn't she?	878fe300-eaaf-5ba9-940b-21b27a445898	38	38
Mary è troppo anziana per farlo, vero?	Mary is too old to do that, isn't she?	cc33fd71-88f0-56a9-a64c-e0c1c264bd85	38	38
Mary si è sistemata.	Mary steadied herself.	6dbe83e7-4638-548c-b0e0-344ddf7096a8	20	22
Mary si sistemò.	Mary steadied herself.	3a1ed452-ea6d-59fa-8b63-4122842f7bcc	16	22
Mary non è generosa com'era una volta.	Mary isn't as generous as she used to be.	1a7d2183-4db0-56e0-9bb1-2fa78e17e9a7	38	41
Mary si lamenterà, vero?	Mary is going to complain, isn't she?	0f32dfb5-bd3a-587c-bdb7-d38f88bfabda	24	37
Mary sa che è nei guai.	Mary knows she's in trouble.	2c9a739b-4dee-54ac-8c2e-d0884bd6bc63	23	28
Mary sa di essere nei guai.	Mary knows she's in trouble.	cd923249-80ca-503f-a5bc-ef69bcfd4a50	27	28
Mary ha detto che si stava divertendo molto.	Mary said that she was having a lot of fun.	b0940094-0c2d-5fa4-b457-388cc5f8d88d	44	43
Mary disse che si stava divertendo molto.	Mary said that she was having a lot of fun.	a69c17bc-ec02-55f8-a071-eb965171db7b	41	43
Mary è alla sua scrivania, vero?	Mary is at her desk, isn't she?	0196ecb5-6c67-56a5-a554-57166a088184	32	31
Mary mi ha detto che era a Boston.	Mary told me that she was in Boston.	00b04303-0ac8-5757-8af1-ed98fca97bcc	34	36
Mary mi disse che era a Boston.	Mary told me that she was in Boston.	26eef3cf-6756-5a11-a8e5-94df6e00196c	31	36
Mary dice che spera che Tom non lo faccia.	Mary says she hopes Tom doesn't do that.	c32bd69b-9a3c-5f4a-8baa-d148cd296f93	42	40
Mary dice che non le dispiace.	Mary says she doesn't mind.	b4b235ab-9c21-5a4a-b3b4-984791cc637a	30	27
Mary dice che a lei non dispiace.	Mary says she doesn't mind.	6f66054e-ccc5-5103-9c21-a6f832698761	33	27
Mary vuole che la aiuti questo pomeriggio.	Mary wants me to help her this afternoon.	54257ee5-c485-5fdc-998b-91c5183a2d3b	42	41
Mary mi ha detto che ero come un figlio per lei.	Mary told me I was like a son to her.	1c731d86-743a-5c53-851d-07b131b956c5	48	37
Mary mi disse che ero come un figlio per lei.	Mary told me I was like a son to her.	96a6fefc-0120-5264-bf51-6d4848f00a00	45	37
Mary sapeva che avrebbe dovuto aspettare.	Mary knew she'd have to wait.	6d01154b-681c-547a-91bf-c6df522dc26b	41	29
Mary mi ha detto che aveva un problema.	Mary told me she had a problem.	cfe12c78-771b-5fa2-83e4-55b0aa0bbf5f	39	31
Mary mi disse che aveva un problema.	Mary told me she had a problem.	0c91d75c-aee0-5222-8454-2c6612721260	36	31
Mary è irritata, vero?	Mary is irritated, isn't she?	80ce4868-cc5e-57e8-8753-ce5c668a62a8	22	29
Mary voleva che Tom la amasse.	Mary wanted Tom to love her.	f0552ba4-614b-552e-a6f1-4a253ccb9b08	30	28
Mary ha lascito l'ombrello a casa nostra.	Mary left her umbrella at our place.	9f530952-26ff-54f1-aca9-b0bc90af45be	41	36
Mary lasciò l'ombrello a casa nostra.	Mary left her umbrella at our place.	09567ddf-6db7-5279-94fc-cb099509e4c3	37	36
Mary ha paura di farlo, vero?	Mary is afraid to do that, isn't she?	5c63c301-872e-5486-9d9f-ac66c464e68b	29	37
Mary non ha aspetto il suo turno.	Mary didn't wait for her turn.	da14b40b-7441-5c8f-b56f-cff68f143c74	33	30
Mary non aspettò il suo turno.	Mary didn't wait for her turn.	b13026d6-1ed0-54bd-982c-3d99e08b91e9	30	30
Mary ha detto che non poteva aiutarmi.	Mary said that she couldn't help me.	1ec188b0-31a4-5bda-8a92-b37f60383938	38	36
Mary disse che non poteva aiutarmi.	Mary said that she couldn't help me.	9a1021b5-4bd0-577a-8ecc-9ee2c5733afc	35	36
Mary ha detto che non mi poteva aiutare.	Mary said that she couldn't help me.	892cf6dc-9387-5cae-9ae0-5a8c41e7096d	40	36
Mary disse che non mi poteva aiutare.	Mary said that she couldn't help me.	36df8542-929a-5744-bdc2-356a34cd2fbf	37	36
Mary ha detto che non riusciva ad aiutarmi.	Mary said that she couldn't help me.	6f631586-4f84-574b-8892-51f0570bc33d	43	36
Mary disse che non riusciva ad aiutarmi.	Mary said that she couldn't help me.	cdef9e0b-5ffa-5ee9-9470-07f698333d4d	40	36
Mary è una persona gentile, vero?	Mary is a nice person, isn't she?	5d7a26a1-b97d-5a39-8b83-3a13809dd607	33	33
Mary si riprenderà, vero?	Mary is going to recover, isn't she?	7048eb38-1cbc-5644-8b64-488a62b945b6	25	36
Mary è davvero arrabbiata, vero?	Mary is really angry, isn't she?	cfe7e4f6-2239-5d59-9548-19cf326cbcb6	32	32
Mary è veramente arrabbiata, vero?	Mary is really angry, isn't she?	26963583-dc48-558b-a30e-349404f8b6c8	34	32
Mary ha detto che non pianifica di andare.	Mary said that she doesn't plan to go.	7441cdd2-e5c6-5d06-b19e-71c91e00c8e6	42	38
Mary sembra essere divertita.	Mary looks like she's amused.	6f656fcd-71c4-5e4d-97b1-5fa51fc9f288	29	29
Mary sembrava non essere impegnata.	Mary looked like she wasn't busy.	2b967497-2c77-5b33-82af-2ba003917629	35	33
Chiediamo a Mary perché era in ritardo.	Let's ask Mary why she was late.	251f0992-f713-5b3a-9a61-29543fe5e165	39	32
Mary non è ancora al lavoro, vero?	Mary isn't still at work, is she?	41a1f04d-7825-58e8-9858-2c9732e30b74	34	33
Mary è brava nel suo lavoro.	Mary is good at her job.	8f98b4b3-7644-5121-9eb2-2153272d422b	28	24
Mary sta annaffiando il suo giardino.	Mary is watering her garden.	7ac42c3f-8f2b-5779-8b08-922eb10441d9	37	28
Ho già detto a Mary che dovrebbe farlo.	I've already told Mary she should do that.	6a2e7936-f6a2-5ef9-a3fd-c536af1792c0	39	42
Ho già detto a Mary che lo dovrebbe fare.	I've already told Mary she should do that.	3b2cd389-aa8c-5075-9110-6b238f94a290	41	42
Mary ha detto a Tom che era frustrata.	Mary told Tom that she was frustrated.	bbd6a1cf-33c0-503b-b92d-00163f7bb7c1	38	38
Mary disse a Tom che era frustrata.	Mary told Tom that she was frustrated.	844cc2be-2322-5994-b228-14e7c4b43a37	35	38
Mary ha scritto riguardo alle sue idee.	Mary wrote about her ideas.	e8ed8f89-fb2c-5acc-9d3d-9c73b9944564	39	27
Mary scrisse riguardo alle sue idee.	Mary wrote about her ideas.	34668a5a-9876-571b-a1b1-0931370ec8e8	36	27
Mary è ordinata, vero?	Mary is neat, isn't she?	15e2ad17-e5bb-5664-be9c-f2663c6e1e51	22	24
Mary non stava dicendo la verità, vero?	Mary wasn't telling the truth, was she?	176e1bc4-53db-5bc3-b7d8-4d776ad860c6	39	39
Chiedi a Mary quali sono i suoi piani.	Ask Mary what her plans are.	98bcdeac-cecb-5426-ac1d-8eb26e7291ba	38	28
Chieda a Mary quali sono i suoi piani.	Ask Mary what her plans are.	27b4c144-c2ad-5687-a73c-42e07c26ee86	38	28
Chiedete a Mary quali sono i suoi piani.	Ask Mary what her plans are.	287d8dc5-3ce7-5e65-81c9-6f4e1065a49c	40	28
Mary ha detto che voleva sentire la verità.	Mary said she wanted to hear the truth.	e795be9f-9b9e-5d4d-8b4a-5cbcfab85f86	43	39
Mary disse che voleva sentire la verità.	Mary said she wanted to hear the truth.	68fae85f-a0f1-5862-912b-e6a39e239a06	40	39
Mary ha spiegato perché l'ha fatto.	Mary explained why she did that.	196dfdfd-ea5d-5a62-8a17-a281a39833bb	35	32
