term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
permesso,True,permesso,permission,noun,permission,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,,,,,base lemma,Chiedo permesso prima di entrare.,I ask permission before entering.,aba8eda64767ada54a1e62ba722dc67443bb0a3773b9ce81b5bc8744b099309a,1224.0,7041ca61b781726f6312d7d80e5e89ecceac46025d386cc4f48ffbf1e481bbda,1512.0,pehr-MEHS-soh
un permesso,False,permesso,permission,noun,a permit,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,indefinite,un,un,,indefinite singular,Ho un permesso per lavorare.,I have a permit to work.,1c3c2a7c168d1b633adf97d9cd2f57f3908bd85dcb607259c201eb0f7a1082c6,1224.0,efa5857fa44866ac937531144a96be55e184ca8776866ede436db8ea0d02293a,1680.0,OON pehr-MEHS-soh
il permesso,False,permesso,permission,noun,the permission,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,definite,il,il,,definite singular,Il permesso scade domani.,The permission expires tomorrow.,7a21c37611aa94097d297d619b44a7a1504e3a1a647e73b924c669cdef83929b,1344.0,0cfa6714c9ff0a7ec8a30692da0dfa0d1ccf9dcb92a87f0935b586f16ef7460f,1704.0,EEL pehr-MEHS-soh
permessi,False,permesso,permission,noun,permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,,,,,plural form,Permessi speciali costano molto.,Special permits cost a lot.,f6c0f6eda0d3a214385f522bbfefe858e3dd2ed130c76efa3a78357cc116586e,1200.0,1145e98d04ec7259bafd98ca1b610051fc9415cfe2213569bcc4466ad3d663e3,1512.0,pehr-MEHS-see
i permessi,False,permesso,permission,noun,the permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,definite,i,i,,definite plural,I permessi sono pronti.,The permits are ready.,e1fe71ab3650393444257b29b621f2b4446d7bdb55fe85a4e2ee9d2e3d8632e4,1368.0,fb445842478d70afe4d861ab3d357e73ba1b2518eb0529078b1637e0577c0131,1608.0,EE pehr-MEHS-see
dei permessi,False,permesso,permission,noun,some permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho dei permessi per il parcheggio.,I have some permits for parking.,1bde1b6c85d9658d4aebaf7044456c7de7fda27b418a77b177d53b554f33cfda,1512.0,cec0afb1fd65cd97fa101f3ca4b41268b4ad41ccbce2d5f202799bcd8ff979f8,1776.0,DAY pehr-MEHS-see
del permesso,False,permesso,permission,noun,of the permit,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La copia del permesso è qui.,The copy of the permit is here.,c690d9b4f10f51b4730c8e3cc641fdbbc7d5439485470dc69048700ddd2b87db,1344.0,40864ccbd76b224bb6e1f6554aa2acd133e88bede82d2090a737d63f0ec2388c,1776.0,DEHL pehr-MEHS-soh
al permesso,False,permesso,permission,noun,to the permission,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Ho diritto al permesso.,I am entitled to the permission.,152076f7b39979eaebc9ff25aa25b0ef6cc113820395988263b377848674d91e,1464.0,b6e4ae6e4a78b3f039a58b92496336d6df55cc1055c53b18c8da0dc3a9930fef,1704.0,AHL pehr-MEHS-soh
ai permessi,False,permesso,permission,noun,to the permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Accedo ai permessi dal sistema.,I access the permits from the system.,7159f99a620b4b7eb68cb4d97d170c114b94c733328551b6532bc8d25437feec,1464.0,1e3be3b08475526228d704320008a6d0ed213d8358d9735b08dd767002e83735,1704.0,EYE pehr-MEHS-see
dal permesso,False,permesso,permission,noun,from the permit,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Dipende dal permesso.,It depends on the permit.,31f6631ec7b6975a74d89043148b2a2e832264b85ce77a9632abb42d65482e23,1416.0,8c333ba0f219b8c627f263e5c70efc021c01f9b3bee6478c92540930360f1bfb,1776.0,DAHL pehr-MEHS-soh
dai permessi,False,permesso,permission,noun,from the permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Dipende dai permessi.,It depends on the permits.,9897b42965abb034d04bec6e4f3c94def1ac3142ec7a83187779b9756e685347,1536.0,0b6161fd433247af1b3c08ec9eb92dd7db749cd9ffc06ab9a013a05fbb443345,1800.0,DEYE pehr-MEHS-see
nel permesso,False,permesso,permission,noun,in the permit,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è un errore nel permesso.,There is an error in the permit.,d01c9a10d832a00c5530479ec63e9421897962f8cd4448e1d468b53eca3f4dd1,1344.0,31d14c2e38c4c12d95c3de659d8ce53f1ff9e67ee845a5383cb9461503283729,1776.0,NEHL pehr-MEHS-soh
nei permessi,False,permesso,permission,noun,in the permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Ci sono errori nei permessi.,There are errors in the permits.,5ae9de7138e022aa1b744173c5600a1f02a28d9702ddf608d62841abbd08d327,1464.0,4d6e38d7bcd31e03b61b679233c79026530bca8c8a208f3c7ebd03bcdc3e3528,1776.0,NAY pehr-MEHS-see
sul permesso,False,permesso,permission,noun,on the permit,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,C'è un timbro sul permesso.,There is a stamp on the permit.,1fa84d485b81d915730ff98c7357b778929746d8057eb56262f18f360d685761,1368.0,783a107cb05e3755cf5612c99ab5177607b3e79d76162773b6ce8237d9b37b08,1848.0,SOOL pehr-MEHS-soh
sui permessi,False,permesso,permission,noun,on the permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Leggo note sui permessi.,I read notes on the permits.,1577f5957f629cd553dc2aaf2ab66e6e45a3b0f50c9388d361deafb000040e30,1488.0,5a81833c9f1a0e203fb66b3133b403c3f9f5e7a252a29e11923198727cfec8c8,1920.0,SWEE pehr-MEHS-see
col permesso,False,permesso,permission,noun,with the permission,"Greetings & Courtesy,Concepts & Ideas",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Entro col permesso del capo.,I enter with the boss's permission.,3d84bd7993bf7074f3b60128e1af8a7c48ce0db8000df80fe5b076a0d3cc723d,1536.0,b86963f6880f6784430fccffa45c42b1bb947639e9ac6b20715f09075ae81333,1752.0,KOHL pehr-MEHS-soh
coi permessi,False,permesso,permission,noun,with the permits,"Greetings & Courtesy,Concepts & Ideas",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi permessi necessari.,We work with the necessary permits.,0944fc6e6780a025c0b863a4de40ce1e469fc2d5149552ac72282ccaa3bbeba3,1512.0,8d7be7df0a7c5a8fc2bc065a0e73a5d906f9bcc301aaf39a10363a4a2593c434,1800.0,KOY pehr-MEHS-see
