term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
banca,True,banca,bank,noun,bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco banca aperta.,I am looking for an open bank.,cf02c541369d60c72b0c644e64d337bed006ba5069da8019baf3a714bdcf251e,1032.0,02bc381ea6e2b80d6d95d73ce94b755ecbf0f9bbdc269c34c5b98ae3b0f2b280,1368.0,BAHN-kah
una banca,False,banca,bank,noun,a bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Apriamo un conto in una banca locale.,We open an account in a local bank.,a18b6249fdf39692e4960299a5d18970f26fd5c6cb9914401fdc7bcf8322dfa3,1152.0,6c788a15d70d52ea6b0c5a89afba64986cdc9be319f8b48dac295a6a6d2c4767,1560.0,OO-nah BAHN-kah
la banca,False,banca,bank,noun,the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,definite,la,la,,,La banca chiude alle quattro.,The bank closes at four.,37b08603226e87a751f0b25d872a0465111eac1a401dba0ce857c0770a7d842f,1152.0,d63f9c0f26dc1edadc1a6c6e219d40ccceda6938369612eddd32431c8c60c78b,1512.0,LAH BAHN-kah
banche,False,banca,bank,noun,banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,,,,,plural form; irregular plural with -che,Banche nuove aprono in città.,New banks open in the city.,5c0115f4835bc7e8ddfc698d4ec515e299c85136125ea94da7416035af545a77,1152.0,becdd9f185f2d7a1cd0f7166fb1583f0837d646c00754bef70e90c78acd0b303,1344.0,BAHN-keh
le banche,False,banca,bank,noun,the banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,definite,le,le,,,Le banche sono chiuse oggi.,The banks are closed today.,19061b4545fe6dadbfca8777ce2c78219c2de8eb4a959e735a05e999049285c9,1272.0,afa284c9baf973ae0c4206f6ce3a65cbb3a9ea9aa9d3fe301a8f4e9a02d08a61,1464.0,LEH BAHN-keh
delle banche,False,banca,bank,noun,some banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Visito delle banche diverse.,I visit some different banks.,5973f8a9a41263b1d2a3ad30e7f68e4161ccf5135e5c18659485c16730ea4a10,1416.0,a5f03bc85174bbcd765904d27367b0c975aa11d863c424ead727c92c695a2508,1656.0,DEH-lleh BAHN-keh
della banca,False,banca,bank,noun,of the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,L'orario della banca è cambiato.,The bank's hours have changed.,1c6dbb284ffa7cee4f5f19a7521feadac548047889f70196360dbf6d2cd813a8,1272.0,b91304dabafe23b1c411cc652d4619061f7c979ac4ede74cf090c53d008a40aa,1680.0,DEH-llah BAHN-kah
alla banca,False,banca,bank,noun,to the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Vado alla banca dopo pranzo.,I am going to the bank after lunch.,12490e0b14bfee4908995e7e8b5e1ff0399793a92027ee1033b011a567de4647,1272.0,60aae39531410103f706ff0aa07100a2005429ab25d10dc557d1e50caeb5acea,1608.0,AH-llah BAHN-kah
alle banche,False,banca,bank,noun,to the banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Scrivo alle banche interessate.,I write to the banks concerned.,ff4aec055d11eac5d1166583dc6d909749070d5dfa9728d0d38b242b999d8ba7,1392.0,a9c96b89a437fee49e643215d0a77389e11d3deffdd8eb48a5a465bdf0dee4b0,1584.0,AH-lleh BAHN-keh
dalla banca,False,banca,bank,noun,from the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla banca adesso.,I am coming back from the bank now.,103e332e7584a155a9ab028a48eea1f8bee40c01678bdb2dacab986d2563c8a2,1344.0,c0fa1e9b56a9802bb9a86bdbda1bc39f4651d9c8ff83017a48d8fae422014e5f,1704.0,DAH-llah BAHN-kah
dalle banche,False,banca,bank,noun,from the banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Ricevo dalle banche le offerte.,I receive the offers from the banks.,2af7e8e86f3c377f1a981391f0b8e92ca8713ec1d0322f95311f7c851ff17a8a,1464.0,eac197728ecd82cbc2d454f31f13ee2f7f1cd329b21e0bad083fcaf4f54f89a5,1680.0,DAH-lleh BAHN-keh
nella banca,False,banca,bank,noun,in the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Lavoro nella banca centrale.,I work in the central bank.,45a760a2ba3398c04e2eb20a8eb56d345539e92dd6a9e9f14b7f58f9c295ea5d,1272.0,5a694d7c947d223bdee8c0b79f5d93b04f37cb29aa6a63d7f00eb1b7b6eab19d,1704.0,NEH-llah BAHN-kah
nelle banche,False,banca,bank,noun,in the banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,I depositi crescono nelle banche locali.,Deposits are growing in the local banks.,38b88c2173d929c5e63fda44c77790e01cf7bf963612836b192586c64e0e7df8,1392.0,e988e6f0b0c2515a97f331ff886b5e889cbd381c68ac1243a76324b34188cec7,1680.0,NEH-lleh BAHN-keh
sulla banca,False,banca,bank,noun,about the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho letto un articolo sulla banca.,I read an article about the bank.,8bd5cfb92228715fff07634fc6237913afce94ff90f1841f2a624130311009b4,1440.0,6f1d74dfa5ca4145d366c8ac407aa246e7f99dc83afa0d08deaf8513a2686502,1752.0,SOO-llah BAHN-kah
sulle banche,False,banca,bank,noun,about the banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Parliamo spesso sulle banche digitali.,We often talk about digital banks.,e653d742712f6915af28efd772e5d0328df7b3e134583413a8549f3a8d7dc850,1560.0,ca22920041793efeef332ca254d007fe328e0086761ac3f2210df0ae2e783254,1728.0,SOO-lleh BAHN-keh
con la banca,False,banca,bank,noun,with the bank,"Money & Finance,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with con + la,Tratto con la banca per il mutuo.,I negotiate with the bank for the mortgage.,281e81bc69c136a13bc5e838cb0ca3f5798f44bc2817211ad78706f109e44c1f,1320.0,b98702832d076da7219020a34e0832d37d80e6ee7d18136727b35dfbe6540bb9,1704.0,KOHN LAH BAHN-kah
con le banche,False,banca,bank,noun,with the banks,"Money & Finance,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with con + le,Collaboro con le banche del quartiere.,I collaborate with the neighborhood banks.,76dbd9fd06c465d45cb8b6e55192003e5263bb8988531cade07fb7cd3180de03,1440.0,3417c6edb643f8bb3f7b9b24b04596b8f9f13c114a369e2d3d8d33c723579ec3,1704.0,KOHN LEH BAHN-keh
