term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pasta,True,pasta,pasta,noun,pasta,"food,cooking",,,feminine,singular,,,False,False,False,,,,,mass noun; plural 'paste' often means 'pastries',Mangio pasta spesso.,I eat pasta often.
una pasta,False,pasta,pasta,noun,a pastry,"food,cooking",,,feminine,singular,,,False,False,False,indefinite,una,una,,often means a pastry at cafes,Prendo una pasta al bar.,I get a pastry at the cafe.
la pasta,False,pasta,pasta,noun,the pasta,"food,cooking",,,feminine,singular,,,False,False,False,definite,la,la,,,La pasta è pronta.,The pasta is ready.
paste,False,pasta,pasta,noun,pastries,"food,cooking",,,feminine,plural,,,False,False,False,,,,,plural form; often pastries,Paste fresche sono in vetrina.,Fresh pastries are in the display.
le paste,False,pasta,pasta,noun,the pastries,"food,cooking",,,feminine,plural,,,False,False,False,definite,le,le,,,Le paste sono finite.,The pastries are gone.
delle paste,False,pasta,pasta,noun,some pastries,"food,cooking",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Porto delle paste domani.,I will bring some pastries tomorrow.
della pasta,False,pasta,pasta,noun,of the pasta,"food,cooking",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il colore della pasta è giallo.,The color of the pasta is yellow.
alla pasta,False,pasta,pasta,noun,to the pasta,"food,cooking",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Aggiungo sale alla pasta.,I add salt to the pasta.
alle paste,False,pasta,pasta,noun,to the pastries,"food,cooking",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Sono allergico alle paste con noci.,I am allergic to pastries with nuts.
dalla pasta,False,pasta,pasta,noun,from the pasta,"food,cooking",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Comincio dalla pasta.,I start with the pasta.
dalle paste,False,pasta,pasta,noun,from the pastries,"food,cooking",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Sento profumo dalle paste.,I smell fragrance from the pastries.
nella pasta,False,pasta,pasta,noun,in the pasta,"food,cooking",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Metto il tonno nella pasta.,I put tuna in the pasta.
nelle paste,False,pasta,pasta,noun,in the pastries,"food,cooking",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,C'è crema nelle paste.,There is cream in the pastries.
sulla pasta,False,pasta,pasta,noun,on the pasta,"food,cooking",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Metto il sugo sulla pasta.,I put the sauce on the pasta.
sulle paste,False,pasta,pasta,noun,on the pastries,"food,cooking",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Mettono zucchero a velo sulle paste.,They put powdered sugar on the pastries.
con la pasta,False,pasta,pasta,noun,with the pasta,"food,cooking",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with feminine,Cucino con la pasta integrale.,I cook with whole wheat pasta.
con le paste,False,pasta,pasta,noun,with the pastries,"food,cooking",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with feminine,Servo il tè con le paste.,I serve tea with the pastries.
