term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
avere,True,avere,assets/possessions,noun,assets/possessions,"finance,ownership",,,masculine,singular,,,False,False,False,,,,,masculine noun; plural 'averi',In contabilità avere indica il credito.,In accounting avere means the credit side.
un avere,False,avere,assets/possessions,noun,an asset,"finance,ownership",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ha un avere considerevole.,He has a considerable estate.
l'avere,False,avere,assets/possessions,noun,the assets,"finance,ownership",,,masculine,singular,,,False,False,False,definite,l',l',,before vowel,L'avere è aumentato.,The assets have increased.
averi,False,avere,assets/possessions,noun,assets,"finance,ownership",,,masculine,plural,,,False,False,False,,,,,plural form,Averi ingenti non garantiscono felicità.,Large assets do not guarantee happiness.
gli averi,False,avere,assets/possessions,noun,the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli averi sono assicurati.,The belongings are insured.
degli averi,False,avere,assets/possessions,noun,some belongings,"finance,ownership",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ha perso degli averi.,He lost some belongings.
dell'avere,False,avere,assets/possessions,noun,of the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',L'importo dell'avere è indicato.,The amount of the assets is shown.
all'avere,False,avere,assets/possessions,noun,to the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',La somma va all'avere.,The sum goes to the assets.
agli averi,False,avere,assets/possessions,noun,to the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Abbiamo accesso agli averi.,We have access to the belongings.
dall'avere,False,avere,assets/possessions,noun,from the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Si passa dall'avere al dare.,One moves from the assets to the debit.
dagli averi,False,avere,assets/possessions,noun,from the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Le imposte provengono dagli averi dichiarati.,Taxes come from the declared belongings.
nell'avere,False,avere,assets/possessions,noun,in the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',C'è confusione nell'avere e nel dare.,There is confusion in the assets and the debit.
negli averi,False,avere,assets/possessions,noun,in the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,C'è un errore negli averi.,There is a mistake in the belongings.
sull'avere,False,avere,assets/possessions,noun,on the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',La voce sull'avere è corretta.,The entry on the assets is correct.
sugli averi,False,avere,assets/possessions,noun,on the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,C'è un vincolo sugli averi.,There is a lien on the belongings.
con l'avere,False,avere,assets/possessions,noun,with the assets,"finance,ownership",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,no contraction,Lavora con l'avere e il dare.,He works with the assets and the debit.
con gli averi,False,avere,assets/possessions,noun,with the belongings,"finance,ownership",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,no contraction,Partì con gli averi di famiglia.,He left with the family belongings.
