text	pronunciation	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	italian_audio_hash	english_audio_hash	italian_audio_duration_ms	english_audio_duration_ms
bella	BEHL-lah	bello	ADJ	beautiful (feminine)	370	0.000354	939	0.000898	bello	ADJ	A	amod	Gender=Fem|Number=Sing	68d0c424-6454-531b-b06f-a25559907ce8	8493d046-c875-5799-8437-e0e50fdf9e04	6a57f15e735a16ce9761127b1b64bb0c5ebf2d3ccb3ad08a6c570f7552cb6459	15b676d21abaef5f3d9842e6c714a2aa1191d3acf583bc65955c0ef31e1cf78e	1272.0	2016.0
bello	BEHL-loh	bello	ADJ	handsome; beautiful; nice (masculine)	239	0.000229	939	0.000898	bello	ADJ	A	xcomp	Gender=Masc|Number=Sing	8745d047-4509-5778-9e6a-0354da4939fb	8493d046-c875-5799-8437-e0e50fdf9e04	5d92c75c1bbe6274d2a66d4ac78bb9a95f74da05115546a9ad656075499d893e	e877ca59755fdbdcab60e8292688b81b316f49471fdd8feef63e66678c4729bf	1248.0	4440.0
bel	BEHL	bello	ADJ	beautiful; nice (masculine, short form)	153	0.000146	939	0.000898	bello	ADJ	A	amod	Gender=Masc|Number=Sing	f9f45e90-530f-566b-9b59-2a87b7d358c6	8493d046-c875-5799-8437-e0e50fdf9e04	8547391bd520384530c08895d98cb66c2a927d1c4ee57744da3effda6b689242	69eee0f3cfcbc40c4076169f9b5b228bfe00afe4f63bbb815a94870a1e809de0	1152.0	4344.0
belle	BEHL-leh	bello	ADJ	beautiful (feminine plural)	59	5.6e-05	939	0.000898	bello	ADJ	A	amod	Gender=Fem|Number=Plur	5d131597-2e6c-5c9f-b7b2-3fc01faf4d1f	8493d046-c875-5799-8437-e0e50fdf9e04	01e84d427ab34e54f9dc957847f0ca171cc511e2730131828145a89df5f16c2b	55fd8eb4a43d7f48e238ff5d695b1524390940f010d34fc05dd4996d1b4ec07c	1248.0	2496.0
bell'	BEHLL	bello	ADJ	good-looking; nice-looking (masculine, before a vowel)	33	3.2e-05	939	0.000898	bello	ADJ	A	amod	Gender=Masc|Number=Sing	60123170-f40d-50e0-a048-81e7e7f14c7f	8493d046-c875-5799-8437-e0e50fdf9e04	d630f2e802c7e072b86a3d560232538c7e0b3c0b94e35cf762fae015b8d44350	fff1d4cfd3cbd9cb49bf469e2f9e800f14657c315eca864c001d5d378b767f8c	1176.0	4872.0
belli	BEHL-lee	bello	ADJ	handsome; beautiful; nice (masculine plural)	31	3e-05	939	0.000898	bello	ADJ	A	root	Gender=Masc|Number=Plur	9fe753c6-d5f0-5d99-a966-21f39603d789	8493d046-c875-5799-8437-e0e50fdf9e04	e9683cf2f6bf6eb487774dce7acd07cfc8ec5912123a00559ab8355fd098aeb5	d6ebd50bfc56a731faa3d5c5c74d4ffaf559145df1a1f2b949f9871a65d42780	1248.0	4896.0
bei	BAY	bello	ADJ	beautiful; nice (masculine plural, short form)	26	2.5e-05	939	0.000898	bello	ADJ	A	amod	Gender=Masc|Number=Plur	08632b2c-1795-557a-8153-fb9160fe0b35	8493d046-c875-5799-8437-e0e50fdf9e04	1eba23fc2fafe5e99d93c79768e4a1fd040346b1f6f0506b9c3232d01ca555e5	1ee2b761c5d2d7cee96542ebac0ef83d57b7e27490d158253510c24bc3710acd	1104.0	4704.0
bellissimo	behl-lees-SEE-moh	bello	ADJ	very beautiful; gorgeous (masculine)	11	1.1e-05	939	0.000898	bello	ADJ	A	amod	Gender=Masc|Number=Sing	90356fbb-4a46-5bd7-b41a-37f5614cb5b0	8493d046-c875-5799-8437-e0e50fdf9e04	ea228c1e954d359cad63cf97afed1c4f174cb920532635c22d78658ef3558252	b7d1013329a06c324b9023746baa9a9f28f53153af3aab91bd290b2e699a87b7	1656.0	3816.0
bellissima	behl-lees-SEE-mah	bello	ADJ	very beautiful; gorgeous (feminine)	11	1.1e-05	939	0.000898	bello	ADJ	A	root	Gender=Fem|Number=Sing	f31423cb-6602-58ec-a7d2-682e6ca6e9a9	8493d046-c875-5799-8437-e0e50fdf9e04	7c139ab5dd72c8846317ebd0542d9b08a75b02ccc2614dc27d63ac49d3bd55b4	9a7b625727ecb94d4b1038051ea2e64c4afb4f1f479dc7a8e60bb43d04efa3ff	1632.0	3648.0
bellissimi	behl-lees-SEE-mee	bello	ADJ	very beautiful; gorgeous (masculine plural)	6	6e-06	939	0.000898	bello	ADJ	A	conj	Gender=Masc|Number=Plur	d6a8586a-055d-5faa-8fa4-42d097cf56fc	8493d046-c875-5799-8437-e0e50fdf9e04	229e0ab2cec89d2fb24f07c34cb803941f7414e63865a9615ae471638dfca7d8	7c8bc57f67a9dc9044b8e974d9dc102ad33b346fbb41a6b2c4754709f50744c7	1632.0	4272.0
