token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR001	0	(è)	è	linguistic	none	_	Begin=0.687	_	_	0-1(0)	_
0-1	TOR001	0	sempre	sempre	linguistic	none	_	_	_	_	_	_
0-2	TOR001	0	stata	stata	linguistic	none	_	_	_	_	_	_
0-3	TOR001	0	in	in	linguistic	none	_	_	_	_	_	_
0-4	TOR001	0	barriera?	barriera	linguistic	none	Intonation=Rising	End=2.039	_	_	_	_
1-0	TOI056	1	sì.	sì	linguistic	none	Intonation=Falling	Begin=2.039|End=2.762	_	_	_	_
2-0	TOI056	2	x	x	unknown	none	_	Begin=2.822|End=3.099	_	_	_	_
3-0	TOR001	3	((ride))	((ride))	nonverbalbehavior	none	_	Begin=3.729|End=4.154	_	_	_	_
4-0	TOI056	4	la	la	linguistic	none	_	Begin=7.202	_	_	_	_
4-1	TOI056	4	lingua	lingua	linguistic	none	_	_	_	_	_	_
4-2	TOI056	4	materna	materna	linguistic	none	_	_	_	_	_	_
4-3	TOI056	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-4	TOI056	4	è	è	linguistic	none	_	_	_	_	_	_
4-5	TOI056	4	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
4-6	TOI056	4	italia[no	italiano	linguistic	none	_	_	_	_	_	5-8(0)
4-7	TOI056	4	perché	perché	linguistic	none	_	_	_	_	_	0-6(0)
4-8	TOI056	4	son]	son	linguistic	none	_	_	_	_	_	0-3(0)
4-9	TOI056	4	figlia	figlia	linguistic	none	_	_	_	_	_	_
4-10	TOI056	4	di	di	linguistic	none	_	_	_	_	_	_
4-11	TOI056	4	italiani	italiani	linguistic	none	_	End=12.398	_	_	_	_
5-0	TOR001	5	[okay]	okay	linguistic	none	_	Begin=10.12|End=10.878	_	_	_	0-4(0)
6-0	TOR001	6	°c'	c'	linguistic	none	SpaceAfter=No|Volume=Low	Begin=20.213	_	_	_	_
6-1	TOR001	6	è	è	linguistic	none	Volume=Low	_	_	_	_	_
6-2	TOR001	6	il	il	linguistic	none	Volume=Low	_	_	_	_	_
6-3	TOR001	6	gatto	gatto	linguistic	none	Volume=Low	_	_	_	_	_
6-4	TOR001	6	qua°	qua	linguistic	none	Volume=Low	End=21.368	_	_	_	_
7-0	TOR001	7	((ride))	((ride))	nonverbalbehavior	none	_	Begin=21.368|End=22.556	_	_	_	_
8-0	TOI056	8	si	si	linguistic	none	_	Begin=37.104	_	_	_	_
8-1	TOI056	8	può	può	linguistic	none	_	_	_	_	_	_
8-2	TOI056	8	distinguere	distinguere	linguistic	none	_	End=38.853	_	_	_	_
9-0	TOI056	9	tra	tra	linguistic	none	_	Begin=38.853	_	_	_	_
9-1	TOI056	9	torinese	torinese	linguistic	none	_	_	_	_	_	_
9-2	TOI056	9	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
9-3	TOI056	9	e	e	linguistic	none	_	_	_	_	_	_
9-4	TOI056	9	piemontese	piemontese	linguistic	none	_	_	_	_	_	_
9-5	TOI056	9	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
9-6	TOI056	9	quale	quale	linguistic	none	_	_	_	_	_	_
9-7	TOI056	9	le	le	linguistic	none	_	_	_	_	_	_
9-8	TOI056	9	piace	piace	linguistic	none	_	_	_	_	_	_
9-9	TOI056	9	di	di	linguistic	none	_	_	_	_	_	_
9-10	TOI056	9	più?	più	linguistic	none	Intonation=Rising	End=43.229	_	_	_	_
10-0	TOI056	10	io	io	linguistic	none	_	Begin=43.229	_	_	_	_
10-1	TOI056	10	direi	direi	linguistic	none	_	_	_	_	_	_
10-2	TOI056	10	torine[se]	torinese	linguistic	none	_	End=45.308	_	_	_	6-8(1)
11-0	TOR001	11	[se]:	se	linguistic	none	_	Begin=44.762	1x1	_	_	0-2(1)
11-1	TOR001	11	sì	sì	linguistic	none	_	_	_	_	_	_
11-2	TOR001	11	se	se	linguistic	none	_	_	_	_	_	_
11-3	TOR001	11	è	è	linguistic	none	_	_	_	_	_	_
11-4	TOR001	11	sempre	sempre	linguistic	none	_	_	_	_	_	_
11-5	TOR001	11	stata	stata	linguistic	none	_	_	_	_	_	_
11-6	TOR001	11	qui	qui	linguistic	none	_	_	_	_	_	_
11-7	TOR001	11	direi	direi	linguistic	none	_	_	_	_	_	_
11-8	TOR001	11	anch'	anch'	linguistic	none	SpaceAfter=No	_	_	_	_	_
11-9	TOR001	11	io	io	linguistic	none	_	_	_	_	_	_
11-10	TOR001	11	torinese	torinese	linguistic	none	_	End=47.751	_	_	_	_
12-0	TOI056	12	ne	ne	linguistic	none	_	Begin=56.067	_	_	_	_
12-1	TOI056	12	ho	ho	linguistic	none	_	_	_	_	_	_
12-2	TOI056	12	studiate	studiate	linguistic	none	_	_	_	_	_	_
12-3	TOI056	12	diverse	diverse	linguistic	none	_	_	_	_	_	_
12-4	TOI056	12	ma	ma	linguistic	none	_	_	_	_	_	_
12-5	TOI056	12	non	non	linguistic	none	_	_	_	_	_	_
12-6	TOI056	12	ne	ne	linguistic	none	_	_	_	_	_	_
12-7	TOI056	12	parlo	parlo	linguistic	none	_	_	_	_	_	_
12-8	TOI056	12	nes[suna]	nessuna	linguistic	none	_	End=60.523	_	_	_	3-7(2)
13-0	TOR001	13	[ah]	ah	linguistic	none	_	Begin=59.611	_	_	_	0-2(2)
13-1	TOR001	13	(o)kay	okay	linguistic	none	_	_	_	_	0-1(0)	_
13-2	TOR001	13	((ride))	((ride))	nonverbalbehavior	none	_	End=61.161	_	_	_	_
14-0	TOI056	14	x[x]	x	unknown	none	_	Begin=67.845|End=69.42	_	_	_	1-2(3)
15-0	TOR001	15	[perfetto]	perfetto	linguistic	none	_	Begin=68.509|End=69.425	_	_	_	0-8(3)
16-0	TOR001	16	c'	c'	linguistic	none	SpaceAfter=No	Begin=69.981	_	_	_	_
16-1	TOR001	16	è	è	linguistic	none	_	_	_	_	_	_
16-2	TOR001	16	tutto	tutto	linguistic	none	_	End=70.911	_	_	_	_
17-0	TOR001	17	okay	okay	linguistic	none	_	Begin=72.047|End=73.067	_	_	_	_
18-0	TOR001	18	grazie	grazie	linguistic	none	_	Begin=73.455	_	_	_	_
18-1	TOR001	18	mille	mille	linguistic	none	_	End=74.746	_	_	_	_
19-0	TOI056	19	questa	questa	linguistic	none	_	Begin=76.108	_	_	_	_
19-1	TOI056	19	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
19-2	TOI056	19	[è	è	linguistic	none	_	_	_	_	_	0-1(4)
19-3	TOI056	19	sua]	sua	linguistic	none	_	End=77.496	_	_	_	0-3(4)
20-0	TOR001	20	[okay]	okay	linguistic	none	_	Begin=76.686	_	_	_	0-4(4)
20-1	TOR001	20	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
20-2	TOR001	20	perfetto	perfetto	linguistic	none	_	End=78.488	_	_	_	_
21-0	TOR001	21	allora	allora	linguistic	none	_	Begin=78.495|End=79.476	_	_	_	_
22-0	TOR001	22	(as)petti	aspetti	linguistic	none	_	Begin=80.087	_	_	0-2(0)	_
22-1	TOR001	22	che	che	linguistic	none	_	End=81.323	_	_	_	_
23-0	TOR001	23	okay	okay	linguistic	none	_	Begin=81.434|End=82.197	_	_	_	_
24-0	TOR001	24	dunque	dunque	linguistic	none	_	Begin=82.474	_	_	_	_
24-1	TOR001	24	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
24-2	TOR001	24	in	in	linguistic	none	_	_	_	_	_	_
24-3	TOR001	24	quale	quale	linguistic	none	_	_	_	_	_	_
24-4	TOR001	24	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
24-5	TOR001	24	vive?	vive	linguistic	none	Intonation=Rising	End=84.412	_	_	_	_
25-0	TOI056	25	barriera	barriera	linguistic	none	_	Begin=84.412	_	_	_	_
25-1	TOI056	25	di	di	linguistic	none	_	_	_	_	_	_
25-2	TOI056	25	mila[no]	milano	linguistic	none	_	End=86.49	_	_	_	4-6(5)
26-0	TOR001	26	[per]fetto	perfetto	linguistic	none	_	Begin=85.925|End=86.493	_	_	_	0-3(5)
27-0	TOI056	27	((ride))	((ride))	nonverbalbehavior	none	_	Begin=86.493|End=87.691	_	_	_	_
28-0	TOR001	28	((ride))	((ride))	nonverbalbehavior	none	_	Begin=86.493|End=87.687	_	_	_	_
29-0	TOR001	29	e(:)	e	linguistic	none	_	Begin=87.687	0x1	_	_	_
29-1	TOR001	29	come	come	linguistic	none	_	_	_	_	_	_
29-2	TOR001	29	si	si	linguistic	none	_	_	_	_	_	_
29-3	TOR001	29	trova	trova	linguistic	none	_	_	_	_	_	_
29-4	TOR001	29	nel	nel	linguistic	none	_	_	_	_	_	_
29-5	TOR001	29	quartiere?	quartiere	linguistic	none	Intonation=Rising	End=89.757	_	_	_	_
30-0	TOI056	30	ci	ci	linguistic	none	_	Begin=89.925	_	_	_	_
30-1	TOI056	30	sono	sono	linguistic	none	_	_	_	_	_	_
30-2	TOI056	30	nata	nata	linguistic	none	_	_	_	_	_	_
30-3	TOI056	30	e	e	linguistic	none	_	_	_	_	_	_
30-4	TOI056	30	mi	mi	linguistic	none	_	_	_	_	_	_
30-5	TOI056	30	trovo	trovo	linguistic	none	_	_	_	_	_	_
30-6	TOI056	30	benissimo	benissimo	linguistic	none	_	End=92.971	_	_	_	_
31-0	TOR001	31	okay	okay	linguistic	none	_	Begin=92.971|End=93.732	_	_	_	_
32-0	TOR001	32	quali	quali	linguistic	none	_	Begin=93.732	_	_	_	_
32-1	TOR001	32	sono	sono	linguistic	none	_	_	_	_	_	_
32-2	TOR001	32	le	le	linguistic	none	_	_	_	_	_	_
32-3	TOR001	32	cose	cose	linguistic	none	_	_	_	_	_	_
32-4	TOR001	32	che	che	linguistic	none	_	_	_	_	_	_
32-5	TOR001	32	a	a	linguistic	none	_	_	_	_	_	_
32-6	TOR001	32	lei	lei	linguistic	none	_	_	_	_	_	_
32-7	TOR001	32	piacciono	piacciono	linguistic	none	_	_	_	_	_	_
32-8	TOR001	32	di	di	linguistic	none	_	_	_	_	_	_
32-9	TOR001	32	più	più	linguistic	none	_	_	_	_	_	_
32-10	TOR001	32	del	del	linguistic	none	_	_	_	_	_	_
32-11	TOR001	32	suo	suo	linguistic	none	_	_	_	_	_	_
32-12	TOR001	32	quartiere?	quartiere	linguistic	none	Intonation=Rising	End=96.633	_	_	_	_
33-0	TOI056	33	la	la	linguistic	none	_	Begin=96.93	_	_	_	_
33-1	TOI056	33	vivacità	vivacità	linguistic	none	_	_	_	_	_	_
33-2	TOI056	33	culturale	culturale	linguistic	none	_	_	_	_	_	_
33-3	TOI056	33	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
33-4	TOI056	33	e	e	linguistic	none	_	_	_	_	_	_
33-5	TOI056	33	la	la	linguistic	none	_	_	_	_	_	_
33-6	TOI056	33	provenienza	provenienza	linguistic	none	_	_	_	_	_	_
33-7	TOI056	33	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
33-8	TOI056	33	diciamo	diciamo	linguistic	none	_	End=102.978	_	_	_	_
34-0	TOI056	34	anche	anche	linguistic	none	_	Begin=103.529	_	_	_	_
34-1	TOI056	34	multietnica	multietnica	linguistic	none	_	End=105.481	_	_	_	_
35-0	TOI056	35	non	non	linguistic	none	_	Begin=105.481	_	_	_	_
35-1	TOI056	35	soltanto	soltanto	linguistic	none	_	_	_	_	_	_
35-2	TOI056	35	per	per	linguistic	none	_	_	_	_	_	_
35-3	TOI056	35	quelli	quelli	linguistic	none	_	_	_	_	_	_
35-4	TOI056	35	ultimi	ultimi	linguistic	none	_	_	_	_	_	_
35-5	TOI056	35	arrivati	arrivati	linguistic	none	_	End=109.02	_	_	_	_
36-0	TOI056	36	ma	ma	linguistic	none	_	Begin=109.045	_	_	_	_
36-1	TOI056	36	anche	anche	linguistic	none	_	_	_	_	_	_
36-2	TOI056	36	per	per	linguistic	none	_	_	_	_	_	_
36-3	TOI056	36	le	le	linguistic	none	_	_	_	_	_	_
36-4	TOI056	36	varie	varie	linguistic	none	_	_	_	_	_	_
36-5	TOI056	36	fasi	fasi	linguistic	none	_	_	_	_	_	_
36-6	TOI056	36	di	di	linguistic	none	_	_	_	_	_	_
36-7	TOI056	36	emigrazi[one]	emigrazione	linguistic	none	_	End=112.46	_	_	_	8-11(6)
37-0	TOR001	37	[mh	mh	linguistic	none	_	Begin=111.92	_	_	_	0-2(6)
37-1	TOR001	37	mh]	mh	linguistic	none	_	End=112.464	_	_	_	0-2(6)
38-0	TOI056	38	che	che	linguistic	none	_	Begin=112.46	_	_	_	_
38-1	TOI056	38	ci	ci	linguistic	none	_	_	_	_	_	_
38-2	TOI056	38	sono	sono	linguistic	none	_	_	_	_	_	_
38-3	TOI056	38	state	state	linguistic	none	_	_	_	_	_	_
38-4	TOI056	38	nel	nel	linguistic	none	_	_	_	_	_	_
38-5	TOI056	38	tempo	tempo	linguistic	none	_	End=114.849	_	_	_	_
39-0	TOI056	39	sia	sia	linguistic	none	_	Begin=114.879	_	_	_	_
39-1	TOI056	39	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
39-2	TOI056	39	quelle	quelle	linguistic	none	_	_	_	_	_	_
39-3	TOI056	39	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
39-4	TOI056	39	prima	prima	linguistic	none	_	_	_	_	_	_
39-5	TOI056	39	dei	dei	linguistic	none	_	_	_	_	_	_
39-6	TOI056	39	contatidini	contatidini	linguistic	none	_	_	_	_	_	_
39-7	TOI056	39	verso	verso	linguistic	none	_	_	_	_	_	_
39-8	TOI056	39	la	la	linguistic	none	_	_	_	_	_	_
39-9	TOI056	39	città	città	linguistic	none	_	End=119.801	_	_	_	_
40-0	TOI056	40	successivamente	successivamente	linguistic	none	_	Begin=119.801	_	_	_	_
40-1	TOI056	40	da	da	linguistic	none	_	_	_	_	_	_
40-2	TOI056	40	quelli	quelli	linguistic	none	_	End=122.059	_	_	_	_
41-0	TOI056	41	delle	delle	linguistic	none	_	Begin=122.059	_	_	_	_
41-1	TOI056	41	altre	altre	linguistic	none	_	_	_	_	_	_
41-2	TOI056	41	regioni	regioni	linguistic	none	_	_	_	_	_	_
41-3	TOI056	41	d'	d'	linguistic	none	SpaceAfter=No	_	_	_	_	_
41-4	TOI056	41	italia	italia	linguistic	none	_	_	_	_	_	_
41-5	TOI056	41	particolarmente	particolarmente	linguistic	none	_	End=125.713	_	_	_	_
42-0	TOI056	42	tra	tra	linguistic	none	_	Begin=125.713	_	_	_	_
42-1	TOI056	42	il	il	linguistic	none	_	_	_	_	_	_
42-2	TOI056	42	cinquanta	cinquanta	linguistic	none	_	_	_	_	_	_
42-3	TOI056	42	e	e	linguistic	none	_	_	_	_	_	_
42-4	TOI056	42	il	il	linguistic	none	_	_	_	_	_	_
42-5	TOI056	42	sessanta	sessanta	linguistic	none	_	_	_	_	_	_
42-6	TOI056	42	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
42-7	TOI056	42	dal	dal	linguistic	none	_	_	_	_	_	_
42-8	TOI056	42	meridione	meridione	linguistic	none	_	_	_	_	_	_
42-9	TOI056	42	in	in	linguistic	none	_	_	_	_	_	_
42-10	TOI056	42	su	su	linguistic	none	_	End=129.71	_	_	_	_
43-0	TOI056	43	attualmente	attualmente	linguistic	none	_	Begin=129.713	_	_	_	_
43-1	TOI056	43	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
43-2	TOI056	43	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
43-3	TOI056	43	le:	le	linguistic	none	_	End=132.608	1x1	_	_	_
44-0	TOI056	44	la	la	linguistic	none	_	Begin=132.95	_	_	_	_
44-1	TOI056	44	volta	volta	linguistic	none	_	_	_	_	_	_
44-2	TOI056	44	degli	degli	linguistic	none	_	_	_	_	_	_
44-3	TOI056	44	immigrati	immigrati	linguistic	none	_	_	_	_	_	_
44-4	TOI056	44	che	che	linguistic	none	_	_	_	_	_	_
44-5	TOI056	44	arrivano	arrivano	linguistic	none	_	_	_	_	_	_
44-6	TOI056	44	da	da	linguistic	none	_	_	_	_	_	_
44-7	TOI056	44	più	più	linguistic	none	_	_	_	_	_	_
44-8	TOI056	44	lontano	lontano	linguistic	none	_	End=137.373	_	_	_	_
45-0	TOI056	45	e	e	linguistic	none	_	Begin=137.695	_	_	_	_
45-1	TOI056	45	questo	questo	linguistic	none	_	_	_	_	_	_
45-2	TOI056	45	è	è	linguistic	none	_	_	_	_	_	_
45-3	TOI056	45	quanto	quanto	linguistic	none	_	End=139.297	_	_	_	_
46-0	TOR001	46	okay	okay	linguistic	none	_	Begin=139.297|End=140.089	_	_	_	_
47-0	TOR001	47	e	e	linguistic	none	_	Begin=140.185	_	_	_	_
47-1	TOR001	47	come:	come	linguistic	none	_	_	3x1	_	_	_
47-2	TOR001	47	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
47-3	TOR001	47	eh	eh	linguistic	none	_	_	_	_	_	_
47-4	TOR001	47	le	le	linguistic	none	_	_	_	_	_	_
47-5	TOR001	47	sembra	sembra	linguistic	none	_	_	_	_	_	_
47-6	TOR001	47	che	che	linguistic	none	_	_	_	_	_	_
47-7	TOR001	47	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
47-8	TOR001	47	ehm	ehm	linguistic	none	_	End=144.052	_	_	_	_
48-0	TOR001	48	che	che	linguistic	none	_	Begin=144.07	_	_	_	_
48-1	TOR001	48	che	che	linguistic	none	_	_	_	_	_	_
48-2	TOR001	48	differenza	differenza	linguistic	none	_	_	_	_	_	_
48-3	TOR001	48	le	le	linguistic	none	_	_	_	_	_	_
48-4	TOR001	48	sembra	sembra	linguistic	none	_	_	_	_	_	_
48-5	TOR001	48	che	che	linguistic	none	_	_	_	_	_	_
48-6	TOR001	48	abbiano	abbiano	linguistic	none	_	_	_	_	_	_
48-7	TOR001	48	questi	questi	linguistic	none	_	_	_	_	_	_
48-8	TOR001	48	tre	tre	linguistic	none	_	_	_	_	_	_
48-9	TOR001	48	tipi	tipi	linguistic	none	_	_	_	_	_	_
48-10	TOR001	48	di	di	linguistic	none	_	_	_	_	_	_
48-11	TOR001	48	immigrazione	immigrazione	linguistic	none	_	_	_	_	_	_
48-12	TOR001	48	che	che	linguistic	none	_	_	_	_	_	_
48-13	TOR001	48	adesso	adesso	linguistic	none	_	_	_	_	_	_
48-14	TOR001	48	ha	ha	linguistic	none	_	_	_	_	_	_
48-15	TOR001	48	citato?	citato	linguistic	none	Intonation=Rising	End=149.043	_	_	_	_
49-0	TOI056	49	be:h	beh	linguistic	none	_	Begin=149.971|End=150.886	1x1	_	_	_
50-0	TOI056	50	hanno	hanno	linguistic	none	_	Begin=151.619	_	_	_	_
50-1	TOI056	50	tutte	tutte	linguistic	none	_	_	_	_	_	_
50-2	TOI056	50	quante	quante	linguistic	none	_	_	_	_	_	_
50-3	TOI056	50	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
50-4	TOI056	50	un	un	linguistic	none	_	_	_	_	_	_
50-5	TOI056	50	inizio	inizio	linguistic	none	_	_	_	_	_	_
50-6	TOI056	50	di	di	linguistic	none	_	_	_	_	_	_
50-7	TOI056	50	rigetto	rigetto	linguistic	none	_	_	_	_	_	_
50-8	TOI056	50	da	da	linguistic	none	_	_	_	_	_	_
50-9	TOI056	50	parte	parte	linguistic	none	_	_	_	_	_	_
50-10	TOI056	50	dei	dei	linguistic	none	_	_	_	_	_	_
50-11	TOI056	50	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
50-12	TOI056	50	dei	dei	linguistic	none	_	_	_	_	_	_
50-13	TOI056	50	nati[vi]	nativi	linguistic	none	_	End=158.647	_	_	_	4-6(8)
51-0	TOR001	51	[mh	mh	linguistic	none	_	Begin=158.017	_	_	_	0-2(8)
51-1	TOR001	51	mh]	mh	linguistic	none	_	End=158.64	_	_	_	0-2(8)
52-0	TOI056	52	perché	perché	linguistic	none	_	Begin=158.75	_	_	_	_
52-1	TOI056	52	è	è	linguistic	none	_	_	_	_	_	_
52-2	TOI056	52	sempre	sempre	linguistic	none	_	_	_	_	_	_
52-3	TOI056	52	un	un	linguistic	none	_	_	_	_	_	_
52-4	TOI056	52	qualchecuno	qualchecuno	linguistic	none	_	_	_	_	_	_
52-5	TOI056	52	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
52-6	TOI056	52	che	che	linguistic	none	_	_	_	_	_	_
52-7	TOI056	52	arriva	arriva	linguistic	none	_	_	_	_	_	_
52-8	TOI056	52	da	da	linguistic	none	_	_	_	_	_	_
52-9	TOI056	52	fuori	fuori	linguistic	none	_	End=163.024	_	_	_	_
53-0	TOI056	53	che	che	linguistic	none	_	Begin=163.024	_	_	_	_
53-1	TOI056	53	ritien(i)	ritieni	linguistic	none	_	_	_	_	6-7(0)	_
53-2	TOI056	53	di	di	linguistic	none	_	_	_	_	_	_
53-3	TOI056	53	non	non	linguistic	none	_	_	_	_	_	_
53-4	TOI056	53	conoscere	conoscere	linguistic	none	_	End=165.321	_	_	_	_
54-0	TOI056	54	ad	ad	linguistic	none	_	Begin=165.499	_	_	_	_
54-1	TOI056	54	un	un	linguistic	none	_	_	_	_	_	_
54-2	TOI056	54	certo	certo	linguistic	none	_	_	_	_	_	_
54-3	TOI056	54	punto	punto	linguistic	none	_	_	_	_	_	_
54-4	TOI056	54	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
54-5	TOI056	54	avviene	avviene	linguistic	none	_	_	_	_	_	_
54-6	TOI056	54	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
54-7	TOI056	54	amalgama	amalgama	linguistic	none	_	_	_	_	_	_
54-8	TOI056	54	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
54-9	TOI056	54	e	e	linguistic	none	_	_	_	_	_	_
54-10	TOI056	54	tutto	tutto	linguistic	none	_	_	_	_	_	_
54-11	TOI056	54	si	si	linguistic	none	_	_	_	_	_	_
54-12	TOI056	54	risolve	risolve	linguistic	none	_	End=171.073	_	_	_	_
55-0	TOI056	55	per	per	linguistic	none	_	Begin=171.073	_	_	_	_
55-1	TOI056	55	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
55-2	TOI056	55	ultima	ultima	linguistic	none	_	_	_	_	_	_
55-3	TOI056	55	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
55-4	TOI056	55	è	è	linguistic	none	_	_	_	_	_	_
55-5	TOI056	55	ancora	ancora	linguistic	none	_	_	_	_	_	_
55-6	TOI056	55	in	in	linguistic	none	_	_	_	_	_	_
55-7	TOI056	55	fase	fase	linguistic	none	_	_	_	_	_	_
55-8	TOI056	55	di	di	linguistic	none	_	_	_	_	_	_
55-9	TOI056	55	rodaggio	rodaggio	linguistic	none	_	End=175.03	_	_	_	_
56-0	TOI056	56	per	per	linguistic	none	_	Begin=175.03	_	_	_	_
56-1	TOI056	56	cui	cui	linguistic	none	_	_	_	_	_	_
56-2	TOI056	56	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
56-3	TOI056	56	staremo	staremo	linguistic	none	_	_	_	_	_	_
56-4	TOI056	56	a	a	linguistic	none	_	_	_	_	_	_
56-5	TOI056	56	vedere	vedere	linguistic	none	_	_	_	_	_	_
56-6	TOI056	56	ma	ma	linguistic	none	_	_	_	_	_	_
