term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
finestra,True,finestra,window,noun,window,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco finestra nuova.,I am looking for a new window.,5a49a264a4529b9dc4eac4905bb1fdb95629df41585e3308d4b548319ac82d98,4b6ddc37c74c05fa8dfb3b9264d6a7751026da8f2c4fe178cbfd637c8ad957a0,1128.0,1560.0,fee-NEHS-trah
una finestra,False,finestra,window,noun,a window,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Vorrei una finestra più grande.,I want a bigger window.,6d85527d241098022720e0451ee3a13df3ad0bf2b73ced9aff6fd437c0bd3aef,12ab9ae91b1efc2c9938d0daade1bfffd368408f4c7beba24700fdb221ac86ec,1224.0,1752.0,OO-nah fee-NEHS-trah
la finestra,False,finestra,window,noun,the window,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,singular,,,False,False,False,definite,la,la,,,Chiudi la finestra per favore.,Close the window please.,9d8d86a5e6b0162e8d11f59d8a15ca81558de1b1fa7492405bc2a9ba970c8538,fc21f455989413069a80b1f03c9a05119783b30314d91f05490726707d611c99,1248.0,1680.0,LAH fee-NEHS-trah
finestre,False,finestra,window,noun,windows,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,plural,,,False,False,False,,,,,plural form,Finestre grandi lasciano entrare luce.,Big windows let in light.,6f20c7e58d886c95493bff75a5af33aec3ec1dc6f9e63a1f74b814066c0021e5,f5e5a4f3afffbf70ee977d028f81c4f3e1f0469ad905e3212c7868b3ea34d954,1224.0,1560.0,fee-NEHS-treh
le finestre,False,finestra,window,noun,the windows,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,plural,,,False,False,False,definite,le,le,,,Le finestre sono aperte.,The windows are open.,a6428ac527e4cc7be3b2170707f919ee577d2ac7cb0ca130286945ed21565ca0,b3a207291a43ca5531478191d6e76fb07e19a61d8c6750b9e5fd01a94355c71d,1344.0,1656.0,LEH fee-NEHS-treh
delle finestre,False,finestra,window,noun,some windows,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Vedo delle finestre nuove.,I see some new windows.,be744d8ade3c7d845c11c85b475aa938ed4468178f74a3857d0ac21fd145c42a,17205d3874dd823bde67a333a0b0e4e30f5d4102c5cf52624292a38d52bd6fb7,1464.0,1872.0,DEH-lleh fee-NEHS-treh
della finestra,False,finestra,window,noun,of the window,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il vetro della finestra è rotto.,The glass of the window is broken.,ed917ff1f1e53ce9117d175640299bb34f60a8fbff179d7d6c5a1f367c01a2e6,e7e460249253628888492cfea883551884e4016fa0ea919a561b775246953a25,1368.0,1872.0,DEH-llah fee-NEHS-trah
alla finestra,False,finestra,window,noun,to the window,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Mi siedo alla finestra.,I sit at the window.,ae1baac92ac9c5b23927616ec0d6445ce12c71f4f9364e99bea7a7b65eaeacd4,5203f04d69173f1daac563525d3182f72d4b1e7e7765d49e13ed972305b9f73a,1368.0,1776.0,AH-llah fee-NEHS-trah
alle finestre,False,finestra,window,noun,to the windows,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Metti le tende alle finestre.,Put the curtains on the windows.,8616d7c20e3abe4140f1f7668b7b03c728bac53f33ea00b7f89b1c84a8140b00,9cc0accc3facfaf238471a2715cc826b2c1cf82e24a5a8ecb702c275e4bd39f1,1464.0,1776.0,AH-lleh fee-NEHS-treh
dalla finestra,False,finestra,window,noun,from the window,"Buildings & Facilities,Objects & Things,Household & Furniture",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,La luce entra dalla finestra.,Light enters from the window.,1b05ae15e747104bb0a0754cb51221bc131f8f2154cdd16a32dc722b7f73d627,8821905f28a71db3d75fe82e3e2188a857a3bbb137dd818a83a868c13c1f56c1,1440.0,1872.0,DAH-llah fee-NEHS-trah
