term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
edera,True,edera,ivy,noun,ivy,"nature,plants",,,feminine,singular,,,False,False,False,,,,,"base lemma; plural 'edere' is rare, often uncountable",Coltivo edera sul balcone.,I grow ivy on the balcony.
un'edera,False,edera,ivy,noun,an ivy plant,"nature,plants",,,feminine,singular,,,False,False,False,indefinite,una,un',,elision of una before vowel,Ho comprato un'edera.,I bought an ivy plant.
l'edera,False,edera,ivy,noun,the ivy,"nature,plants",,,feminine,singular,,,False,False,False,definite,la,l',,definite article before vowel; elision,L'edera cresce veloce.,The ivy grows fast.
edere,False,edera,ivy,noun,ivies,"nature,plants",,,feminine,plural,,,False,False,False,,,,,plural form; rare,Queste edere sono resistenti.,These ivies are hardy.
le edere,False,edera,ivy,noun,the ivies,"nature,plants",,,feminine,plural,,,False,False,False,definite,le,le,,,Le edere coprono il muro.,The ivies cover the wall.
delle edere,False,edera,ivy,noun,some ivies,"nature,plants",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho piantato delle edere.,I planted some ivies.
dell'edera,False,edera,ivy,noun,of the ivy,"nature,plants",,,feminine,singular,,,False,False,False,articulated_preposition,la,dell',di,contraction of di + la; elision before vowel,Il profumo dell'edera è leggero.,The scent of the ivy is light.
all'edera,False,edera,ivy,noun,to the ivy,"nature,plants",,,feminine,singular,,,False,False,False,articulated_preposition,la,all',a,contraction of a + la; elision before vowel,Do acqua all'edera ogni mattina.,I give water to the ivy every morning.
dall'edera,False,edera,ivy,noun,from the ivy,"nature,plants",,,feminine,singular,,,False,False,False,articulated_preposition,la,dall',da,contraction of da + la; elision before vowel,Le foglie cadono dall'edera.,The leaves fall from the ivy.
nell'edera,False,edera,ivy,noun,in the ivy,"nature,plants",,,feminine,singular,,,False,False,False,articulated_preposition,la,nell',in,contraction of in + la; elision before vowel,Il gatto si nasconde nell'edera.,The cat hides in the ivy.
sull'edera,False,edera,ivy,noun,on the ivy,"nature,plants",,,feminine,singular,,,False,False,False,articulated_preposition,la,sull',su,contraction of su + la; elision before vowel,La pioggia batte sull'edera.,The rain beats on the ivy.
con l'edera,False,edera,ivy,noun,with the ivy,"nature,plants",,,feminine,singular,,,False,False,False,articulated_preposition,la,con l',con,no contraction for con; uses l' before vowel,Decoro il balcone con l'edera.,I decorate the balcony with the ivy.
delle edere,False,edera,ivy,noun,of the ivies,"nature,plants",,,feminine,plural,,,False,False,False,articulated_preposition,le,delle,di,contraction of di + le,Parlo delle edere del giardino.,I talk about the ivies in the garden.
alle edere,False,edera,ivy,noun,to the ivies,"nature,plants",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Do acqua alle edere ogni settimana.,I give water to the ivies every week.
dalle edere,False,edera,ivy,noun,from the ivies,"nature,plants",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Raccolgo foglie dalle edere.,I collect leaves from the ivies.
nelle edere,False,edera,ivy,noun,in the ivies,"nature,plants",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Gli uccelli si nascondono nelle edere.,The birds hide in the ivies.
sulle edere,False,edera,ivy,noun,on the ivies,"nature,plants",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,La neve resta sulle edere.,The snow stays on the ivies.
con le edere,False,edera,ivy,noun,with the ivies,"nature,plants",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction for con,Decoro la siepe con le edere.,I decorate the hedge with the ivies.
