term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
signorina,True,signorina,miss,noun,miss,"people,politeness",,,feminine,singular,,,False,False,False,,,,,title of address for an unmarried woman; feminine noun,La signorina è arrivata.,The young lady has arrived.,3dbea53e0703858b2e1c86e35302afbae20af6dd2469e85ef7a8aa25d6f187d2,1008.0,f9d574778fe72d61d02bcd20b9e41294575c3fe027c86bb27e36e324267c156c,1656.0
una signorina,False,signorina,miss,noun,a miss,"people,politeness",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho visto una signorina al negozio.,I saw a young lady at the store.,00467af1d3c0fc2ddd7e5e7f102f4c25d1f85f0842a4c701f0d8f91839931b07,1176.0,ce8c4ab1eeb0e5c63a66dc627b3fe0a7045b30fd463d39bae2bf3b3335f479df,1800.0
la signorina,False,signorina,miss,noun,the miss,"people,politeness",,,feminine,singular,,,False,False,False,definite,la,la,,,Parla con la signorina Rossi.,Talk to Miss Rossi.,c044db61fa7bf8a2ba3368c954adf10d7160f894c8d47787103fd8be0e7b2198,1176.0,c9ef77bf388768b396a829b1cc2dcb88b8173ee8906a37ac409a86d378092870,1728.0
signorine,False,signorina,miss,noun,young ladies,"people,politeness",,,feminine,plural,,,False,False,False,,,,,plural form,Le signorine aspettano fuori.,The young ladies are waiting outside.,63da0949a79a13cf4514b9ffdcd5cf432d5febc2a78218803c7eae1401acae59,1512.0,a6d43593683398dfc409079bb8a6951b7bf70f5ec3f09ee88e2da15a52455e83,1632.0
le signorine,False,signorina,miss,noun,the young ladies,"people,politeness",,,feminine,plural,,,False,False,False,definite,le,le,,,Le signorine sono in giardino.,The young ladies are in the garden.,bbaf400d0b2aace289099e0aebce06185a8f815ee9bc03cc935b18670760632b,1584.0,21336fc72b33311f1ed97049f27d071404a426d9270d4bc4b4d04a9f26d006fd,1728.0
delle signorine,False,signorina,miss,noun,some young ladies,"people,politeness",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Conosco delle signorine simpatiche.,I know some nice young women.,89e6f0f0c502415b8ab2189e1f4e03a23704e90558bfe0c5beede2a4faaef10a,1776.0,4b462785a78df0c91a7d495064990f9fb02d27c72afac5bde05431584bc1dc8c,1920.0
della signorina,False,signorina,miss,noun,of the young lady,"people,politeness",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il cappello della signorina è rosso.,The young lady's hat is red.,71bd33d095aac39a0a75d388e2f7af5196c3b6518c84070d4e7085b02e24a4e3,1584.0,d6d588d5a1d53583e0b1aca0ee15e1a8437c905b54124164f2d6cc8c1297b509,1920.0
alla signorina,False,signorina,miss,noun,to the young lady,"people,politeness",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Dai il fiore alla signorina.,Give the flower to the young lady.,4ba276275c8baba2cc98e24afda16be714b7e2341e7cbfcb010412630617dbed,1584.0,c997f44d907dcd62b18f37bac264972553fd946732752035872ca4a10ca38fe9,1824.0
dalla signorina,False,signorina,miss,noun,from the young lady,"people,politeness",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Ho ricevuto una lettera dalla signorina.,I received a letter from the young lady.,04622254abe387d724987781cdaa0935ce9471267c7a14de2e1e27bd08c93485,1656.0,e3ad88f16d0167b5705ff57b34c9e5e292fb0e036d0919ef05019861afdd76d9,1920.0
nella signorina,False,signorina,miss,noun,in the young lady,"people,politeness",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Credo nella signorina.,I believe in the young lady.,f8a764f46edfbf73fbbc4890adb3942c6461e4a53095706e7eef7451de8f1ad3,1584.0,9a080d0990ceca7b07464237aec4960e4ffda8b287f4e1268edf42d24a4990b2,1920.0
sulla signorina,False,signorina,miss,noun,about the young lady,"people,politeness",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Non fare commenti sulla signorina.,Do not make comments about the young lady.,f3e146e4a95cd9b8a4c38d2968bceaa700658f9de257bc6e57770ff9f6318be6,1776.0,3b0bd566b2b6c020f00a55853633c4a26e9e70a6ac9842f80edc64c58099e5c3,1968.0
con la signorina,False,signorina,miss,noun,with the young lady,"people,politeness",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with 'con' + 'la',Sono venuto con la signorina.,I came with the young lady.,0e38ea51bc175075a17c0c4ce6705492a919f831005020986fd3a2f5b97ee9c3,1656.0,f4d124069bd3c4d91dca9e1a6e2d3d1551d12c09d809d4a229588d693afa3efa,1920.0
alle signorine,False,signorina,miss,noun,to the young ladies,"people,politeness",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Ho parlato alle signorine.,I spoke to the young ladies.,3ea6f0ec009c483fa5caaca19a630eed775a81599795df6fec14f5703c8fe54d,1704.0,6a0520f1d1bf7270d5d7cb822c109582470ce4b69b569e2043ff596d118ef5fe,1824.0
dalle signorine,False,signorina,miss,noun,from the young ladies,"people,politeness",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Ho ricevuto i regali dalle signorine.,I received the gifts from the young ladies.,936c279de6c226b0044ff4d3477a2edd840aa546a4c32e95357b533de9a2ccac,1776.0,5de035fc2105b721c61ccca33dbbc9f0208bd807c14b85c3094aac3b938a8fa1,1920.0
nelle signorine,False,signorina,miss,noun,in the young ladies,"people,politeness",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Non credo nelle signorine.,I do not believe in the young ladies.,a6ca7bf225e693456988cf49957d46a24876f86d5c7ba38b200a97ab9fcf6f39,1704.0,5a2bae234efc36fd0283619b55625cc24898652a982e4845249da55ea3dd5a09,1944.0
sulle signorine,False,signorina,miss,noun,about the young ladies,"people,politeness",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ci sono voci sulle signorine.,There are rumors about the young ladies.,9d62c490e1215cf8244780ad34468c113ad475c80585804676bd459d750da3d9,1872.0,0f63b5c0e53c28fee1c9137b64ea26e494931c00900e36d0ec33db554f793802,1992.0
con le signorine,False,signorina,miss,noun,with the young ladies,"people,politeness",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with 'con' + 'le',Siamo andati con le signorine.,We went with the young ladies.,6873d21d8c782288d2c7854680ecc3cb7af4a80b6b6099ceb96a56d5409649ad,1776.0,72256fcbb1695b5826466d5920667854f1c832f316242c406ce7912389b168e9,1920.0
