token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO030	0	comunque	comunque	linguistic	_	Begin=0.22	_	_	_	_
0-1	TO030	0	sì.	sì	linguistic	Intonation=Falling	_	_	_	_	_
0-2	TO030	0	secondo	secondo	linguistic	_	_	_	_	_	_
0-3	TO030	0	me:::	me	linguistic	_	_	1x3	_	_	_
0-4	TO030	0	secondo	secondo	linguistic	_	_	_	_	_	_
0-5	TO030	0	me::	me	linguistic	_	_	1x2	_	_	_
0-6	TO030	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-7	TO030	0	potresti	potresti	linguistic	_	_	_	_	_	_
0-8	TO030	0	pro[vare].	provare	linguistic	Intonation=Falling	End=4.475	_	_	_	3-7(0)
1-0	TO054	1	[prova]re.	provare	linguistic	Intonation=Falling	Begin=4.153|End=4.617	_	_	_	0-5(0)
2-0	TO030	2	[(nel	nel	linguistic	_	Begin=4.77	_	_	0-3(0)	0-3(1)
2-1	TO030	2	senso)]	senso	linguistic	_	End=5.368	_	_	0-5(0)	0-5(1)
3-0	TO054	3	[ma	ma	linguistic	_	Begin=4.797	_	_	_	0-2(1)
3-1	TO054	3	io],	io	linguistic	Intonation=weakly_rising	_	_	_	_	0-2(1)
3-2	TO054	3	volevo	volevo	linguistic	_	_	_	_	_	_
3-3	TO054	3	provare:::	provare	linguistic	_	_	6x3	_	_	_
3-4	TO054	3	a	a	linguistic	_	_	_	_	_	_
3-5	TO054	3	parte	parte	linguistic	_	_	_	_	_	_
3-6	TO054	3	i	i	linguistic	_	_	_	_	_	_
3-7	TO054	3	tre	tre	linguistic	_	_	_	_	_	_
3-8	TO054	3	big,	big	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-9	TO054	3	che	che	linguistic	_	_	_	_	_	_
3-10	TO054	3	sono	sono	linguistic	_	_	_	_	_	_
3-11	TO054	3	roma,	roma	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-12	TO054	3	milano,	milano	linguistic	Intonation=weakly_rising	_	_	_	_	_
3-13	TO054	3	[e	e	linguistic	_	_	_	_	_	0-1(2)
