term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pizza,true,pizza,pizza,feminine,singular,none,n/a,n/a,n/a,base lemma,"Mangio pizza spesso.","I eat pizza often."
una pizza,false,pizza,a pizza,feminine,singular,indefinite,una,una,n/a,,"Vorrei una pizza margherita.","I would like a Margherita pizza."
la pizza,false,pizza,the pizza,feminine,singular,definite,la,la,n/a,,"La pizza è calda.","The pizza is hot."
pizze,false,pizza,pizzas,feminine,plural,none,n/a,n/a,n/a,plural form,"Pizze avanzate si possono congelare.","Leftover pizzas can be frozen."
le pizze,false,pizza,the pizzas,feminine,plural,definite,le,le,n/a,,"Le pizze sono pronte.","The pizzas are ready."
della pizza,false,pizza,of the pizza / the pizza's,feminine,singular,articulated_preposition,la,della,di,,"Il gusto della pizza è buono.","The taste of the pizza is good."
delle pizze,false,pizza,some pizzas,feminine,plural,articulated_preposition,le,delle,di,,"Ho ordinato delle pizze per la festa.","I ordered some pizzas for the party."
alla pizza,false,pizza,to the pizza,feminine,singular,articulated_preposition,la,alla,a,,"Ho aggiunto salsa alla pizza.","I added sauce to the pizza."
alle pizze,false,pizza,to the pizzas,feminine,plural,articulated_preposition,le,alle,a,,"Ho aggiunto salsa alle pizze.","I added sauce to the pizzas."
dalla pizza,false,pizza,from the pizza,feminine,singular,articulated_preposition,la,dalla,da,,"Ho tolto il pezzo dalla pizza.","I took the slice from the pizza."
dalle pizze,false,pizza,from the pizzas,feminine,plural,articulated_preposition,le,dalle,da,,"Le briciole dalle pizze erano ovunque.","The crumbs from the pizzas were everywhere."
nella pizza,false,pizza,in the pizza,feminine,singular,articulated_preposition,la,nella,in,,"C'è formaggio nella pizza.","There is cheese in the pizza."
nelle pizze,false,pizza,in the pizzas,feminine,plural,articulated_preposition,le,nelle,in,,"Ci sono ingredienti diversi nelle pizze.","There are different ingredients in the pizzas."
sulla pizza,false,pizza,on the pizza,feminine,singular,articulated_preposition,la,sulla,su,,"Ho messo basilico sulla pizza.","I put basil on the pizza."
sulle pizze,false,pizza,on the pizzas,feminine,plural,articulated_preposition,le,sulle,su,,"Metto sempre peperoni sulle pizze.","I always put peppers on pizzas."
con la pizza,false,pizza,with the pizza,feminine,singular,articulated_preposition,la,con la,con,,"Mangio insalata con la pizza.","I eat salad with the pizza."
con le pizze,false,pizza,with the pizzas,feminine,plural,articulated_preposition,le,con le,con,,"Serviamo salse con le pizze.","We serve sauces with the pizzas."
col pizza,false,pizza,with the pizza (ungammatical),feminine,singular,articulated_preposition,la,col,con,not used with feminine nouns; ungrammatical,"Dire 'col pizza' è scorretto.","Saying 'col pizza' is incorrect."
coi pizze,false,pizza,with the pizzas (ungammatical),feminine,plural,articulated_preposition,le,coi,con,not used with feminine nouns; ungrammatical,"L'uso di 'coi pizze' è errato.","The use of 'coi pizze' is wrong."
