token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO034	0	te	te	linguistic	_	Begin=2.765	_	_	_	_
0-1	TO034	0	la	la	linguistic	_	_	_	_	_	_
0-2	TO034	0	metto	metto	linguistic	_	_	_	_	_	_
0-3	TO034	0	qui	qui	linguistic	_	_	_	_	_	_
0-4	TO034	0	poi	poi	linguistic	_	_	_	_	_	_
0-5	TO034	0	si	si	linguistic	_	_	_	_	_	_
0-6	TO034	0	sente	sente	linguistic	_	_	_	_	_	_
0-7	TO034	0	molto	molto	linguistic	_	_	_	_	_	_
0-8	TO034	0	di	di	linguistic	_	_	_	_	_	_
0-9	TO034	0	più	più	linguistic	_	_	_	_	_	_
0-10	TO034	0	la	la	linguistic	_	_	_	_	_	_
0-11	TO034	0	mia	mia	linguistic	_	_	_	_	_	_
0-12	TO034	0	voce	voce	linguistic	_	_	_	_	_	_
0-13	TO034	0	che	che	linguistic	_	_	_	_	_	_
0-14	TO034	0	la	la	linguistic	_	_	_	_	_	_
0-15	TO034	0	voce	voce	linguistic	_	_	_	_	_	_
0-16	TO034	0	di	di	linguistic	_	_	_	_	_	_
0-17	TO034	0	vabbè	vabbè	linguistic	_	_	_	_	_	_
0-18	TO034	0	[comunque]	comunque	linguistic	_	End=7.19	_	_	_	0-8(0)
1-0	TO033	1	[beh	beh	linguistic	_	Begin=6.059	_	_	_	0-3(0)
1-1	TO033	1	possiamo	possiamo	linguistic	_	_	_	_	_	0-8(0)
1-2	TO033	1	parla]re	parlare	linguistic	_	_	_	_	_	0-5(0)
1-3	TO033	1	delle	delle	linguistic	_	_	_	_	_	_
1-4	TO033	1	recenti	recenti	linguistic	_	End=9.224	_	_	_	_
2-0	TO033	2	informazioni	informazioni	linguistic	_	Begin=10.937	_	_	_	_
2-1	TO033	2	che	che	linguistic	_	_	_	_	_	_
2-2	TO033	2	ci	ci	linguistic	_	_	_	_	_	_
2-3	TO033	2	sono	sono	linguistic	_	_	_	_	_	_
2-4	TO033	2	pervenute	pervenute	linguistic	_	_	_	_	_	_
2-5	TO033	2	anzi	anzi	linguistic	_	_	_	_	_	_
2-6	TO033	2	che	che	linguistic	_	_	_	_	_	_
2-7	TO033	2	mi	mi	linguistic	_	_	_	_	_	_
2-8	TO033	2	sono	sono	linguistic	_	_	_	_	_	_
2-9	TO033	2	pervenute	pervenute	linguistic	_	_	_	_	_	_
2-10	TO033	2	sottobanco	sottobanco	linguistic	_	End=15.37	_	_	_	_
3-0	TO029	3	ma	ma	linguistic	_	Begin=15.747	_	_	_	_
3-1	TO029	3	infatti	infatti	linguistic	_	_	_	_	_	_
3-2	TO029	3	xxxx	x	unknown	_	_	_	_	_	_
3-3	TO029	3	una	una	linguistic	_	_	_	_	_	_
3-4	TO029	3	cosa:::	cosa	linguistic	_	End=18.653	3x3	_	_	_
4-0	TO033	4	no	no	linguistic	_	Begin=18.657	_	_	_	_
4-1	TO033	4	vabbè	vabbè	linguistic	_	_	_	_	_	_
4-2	TO033	4	poi	poi	linguistic	_	_	_	_	_	_
4-3	TO033	4	a	a	linguistic	_	_	_	_	_	_
4-4	TO033	4	me	me	linguistic	_	_	_	_	_	_
4-5	TO033	4	non	non	linguistic	_	_	_	_	_	_
4-6	TO033	4	me	me	linguistic	_	_	_	_	_	_
4-7	TO033	4	ne	ne	linguistic	_	_	_	_	_	_
4-8	TO033	4	frega	frega	linguistic	_	_	_	_	_	_
4-9	TO033	4	niente	niente	linguistic	_	_	_	_	_	_
4-10	TO033	4	nel	nel	linguistic	_	_	_	_	_	_
4-11	TO033	4	senso	senso	linguistic	_	_	_	_	_	_
4-12	TO033	4	che	che	linguistic	_	_	_	_	_	_
4-13	TO033	4	per	per	linguistic	_	_	_	_	_	_
4-14	TO033	4	me:::	me	linguistic	_	End=21.619	1x3	_	_	_
5-0	TO033	5	cioè	cioè	linguistic	_	Begin=22.429|End=22.792	_	_	_	_
6-0	TO033	6	mi	mi	linguistic	_	Begin=23.717	_	_	_	_
6-1	TO033	6	prendo	prendo	linguistic	_	_	_	_	_	_
6-2	TO033	6	tutte	tutte	linguistic	_	_	_	_	_	_
6-3	TO033	6	le	le	linguistic	_	_	_	_	_	_
6-4	TO033	6	responsabilità	responsabilità	linguistic	_	_	_	_	_	_
6-5	TO033	6	[del	del	linguistic	_	_	_	_	_	0-3(1)
6-6	TO033	6	caso]	caso	linguistic	_	End=25.911	_	_	_	0-4(1)
7-0	TO029	7	[ma	ma	linguistic	_	Begin=25.33	_	_	_	0-2(1)
7-1	TO029	7	che	che	linguistic	_	_	_	_	_	0-3(1)
7-2	TO029	7	è	è	linguistic	_	_	_	_	_	0-1(1)
7-3	TO029	7	succe]sso?	successo	linguistic	Intonation=Rising	End=26.127	_	_	_	0-5(1)
8-0	TO033	8	praticamente	praticamente	linguistic	_	Begin=27.048	_	_	_	_
8-1	TO033	8	m:::h	mh	linguistic	_	End=28.912	0x3	_	_	_
9-0	TO033	9	la	la	linguistic	_	Begin=30.281	_	_	_	_
9-1	TO033	9	scorsa	scorsa	linguistic	_	_	_	_	_	_
9-2	TO033	9	settimana	settimana	linguistic	_	_	_	_	_	_
9-3	TO033	9	dopo	dopo	linguistic	_	_	_	_	_	_
9-4	TO033	9	che	che	linguistic	_	_	_	_	_	_
9-5	TO033	9	ho	ho	linguistic	_	_	_	_	_	_
