term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
mangiare,True,mangiare,to eat,verb,to eat,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; auxiliary avere,Voglio mangiare presto.,I want to eat early.,50b91679f5bb6a61177a9ea014148ef528335c9f85fb036cfa032030993944e8,c8bebb1dc71a22fa6eb84d10aafd21a96762534c38f6742e72be36abb0d31ed3,1080.0,1440.0,mahn-JYAH-reh
mangiando,False,mangiare,to eat,verb,eating,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto mangiando una mela.,I am eating an apple.,ae5c0803d7cb64c373dabcd4e6647a0ad2da438f0591c83ba719373c5d76897e,20c2c2ce197737bc9fbd97538e99e70c2a6c68beaed28d7c192306e5f09ae596,984.0,1560.0,mahn-JYAHN-doh
mangiato,False,mangiare,to eat,verb,eaten,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; used with auxiliary avere,L'ho mangiato.,I ate it.,4f6e70c5dc9771b766536080547cf9b2a5f31e5b1249e97550b417b1df486ea3,46ac6fb55b14210edf84adbff4f13038a4c6f122073c98b4336cba1ccd8e5afe,984.0,1536.0,mahn-JYAH-toh
mangiata,False,mangiare,to eat,verb,eaten,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; agrees with direct object in some contexts,L'ho mangiata.,I ate it.,f26085415a4a6a176db8488ae017766c40932201e3cf6420a9d339b19a1a3604,46ac6fb55b14210edf84adbff4f13038a4c6f122073c98b4336cba1ccd8e5afe,984.0,1512.0,mahn-JYAH-tah
mangiati,False,mangiare,to eat,verb,eaten,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; agrees with direct object in some contexts,Li ho mangiati.,I ate them.,0fa1ed7e2aa26ce336c59fad8b7fa1a3055c570053bcc126d3d1f90a62484a93,46ac6fb55b14210edf84adbff4f13038a4c6f122073c98b4336cba1ccd8e5afe,984.0,1536.0,mahn-JYAH-tee
mangiate,False,mangiare,to eat,verb,eaten,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; agrees with direct object in some contexts,Le ho mangiate.,I ate them.,ada2e421c469443c785999446e93f208740af19c978807d59b17d994ef84b0cb,46ac6fb55b14210edf84adbff4f13038a4c6f122073c98b4336cba1ccd8e5afe,984.0,1512.0,mahn-JYAH-teh
mangio,False,mangiare,to eat,verb,I eat,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io mangio il pane.,I eat bread.,2a255e8741fa8ec72de127450edb7ac992fcc73b68422fcbb9ce49a548ea820c,2cb6aa617a3a87d3c5fd6a465d8694b53c747238d07fef867e0768ed704aa3a9,1104.0,1368.0,MAHN-jyoh
mangi,False,mangiare,to eat,verb,you eat,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu mangi troppo tardi.,You eat too late.,10d04df74dd8e44bf3c6450b78c6d54a09a944763479e8576da55b949e00ad7e,26f5ff912e660b26532db99e44bad3ef265cf216bc23383fb0d74bcd0700c1af,1128.0,1344.0,MAHN-jee
mangia,False,mangiare,to eat,verb,he eats/she eats/you (formal) eat,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lui mangia in fretta.,He eats quickly.,7194df07bdcf17a53fd46e700388703f1ddb48ec2eb7c5b406140e4951baf75e,8e256b2fad5597cc4a06948f5d2321050dd8482dc7b8dd8f4411f268819ccf87,4392.0,1320.0,MAHN-jyah
mangiamo,False,mangiare,to eat,verb,we eat,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi mangiamo fuori.,We eat out.,9d06ea749a7bd81ce74253656879bfbc9ef434a510df0413015f736646c61aee,21e4d4bd3042c9f63482504bf95a3ea53eb1cd9ab6dbeb300f2e5854b0a7dd29,1152.0,1512.0,mahn-JYAH-moh
mangiate,False,mangiare,to eat,verb,you (plural) eat,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi mangiate qui.,You (plural) eat here.,ada2e421c469443c785999446e93f208740af19c978807d59b17d994ef84b0cb,223d42c33eca7a0a68d3d351db49c0a58ba4a8552c4bc4996ca311e2471a24da,2256.0,1512.0,mahn-JYAH-teh
mangiano,False,mangiare,to eat,verb,they eat,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro mangiano poco.,They eat little.,f03bb20056eba4339c04b2204becd74a23614f172ae19d232e143cc35efb3eda,f064d7beb8049ff7500fe43e6a7d9130bb7245a2729c9388f2aeebec2771d302,1176.0,1440.0,mahn-JYAH-noh
mangiavo,False,mangiare,to eat,verb,I was eating,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io mangiavo alle due.,I was eating at two.,3f9791161b2273e7b9335ca6962ad040c7ebaf861f9a7aed8e5b2c9d0713a3ca,e7f45ef6780ae28daf421289dd8448240c96ebe00601b7c44831524949bc15c5,1320.0,1512.0,mahn-JYAH-voh
