token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR015	0	okay	okay	linguistic	none	_	Begin=1.09|End=1.74	_	_	_	_
1-0	TOR015	1	tu	tu	linguistic	none	_	Begin=2.97	_	_	_	_
1-1	TOR015	1	ti	ti	linguistic	none	_	_	_	_	_	_
1-2	TOR015	1	ricordi	ricordi	linguistic	none	_	_	_	_	_	_
1-3	TOR015	1	quando:	quando	linguistic	none	_	End=4.65	5x1	_	_	_
2-0	TOR015	2	ti	ti	linguistic	none	_	Begin=5.055	_	_	_	_
2-1	TOR015	2	sei	sei	linguistic	none	_	_	_	_	_	_
2-2	TOR015	2	trasferita	trasferita	linguistic	none	_	_	_	_	_	_
2-3	TOR015	2	a	a	linguistic	none	_	_	_	_	_	_
2-4	TOR015	2	torino,	torino	linguistic	none	Intonation=WeaklyRising	End=6.92	_	_	_	_
3-0	TOR015	3	a:::h	ah	linguistic	none	ProsodicLink=Yes	Begin=7.37	0x3	_	_	_
3-1	TOR015	3	mh	mh	linguistic	none	_	End=8.77	_	_	_	_
4-0	TOR015	4	in	in	linguistic	none	_	Begin=8.895	_	_	_	_
4-1	TOR015	4	que~	que~	linguistic	none	Interrupted=Yes	_	_	_	_	_
4-2	TOR015	4	in	in	linguistic	none	_	_	_	_	_	_
4-3	TOR015	4	in	in	linguistic	none	_	_	_	_	_	_
4-4	TOR015	4	che	che	linguistic	none	_	_	_	_	_	_
4-5	TOR015	4	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
4-6	TOR015	4	sei	sei	linguistic	none	_	_	_	_	_	_
4-7	TOR015	4	andata	andata	linguistic	none	_	_	_	_	_	_
4-8	TOR015	4	e	e	linguistic	none	_	_	_	_	_	_
4-9	TOR015	4	com'	com'	linguistic	none	SpaceAfter=No	_	_	_	_	_
4-10	TOR015	4	era	era	linguistic	none	_	_	_	_	_	_
4-11	TOR015	4	più	più	linguistic	none	_	_	_	_	_	_
4-12	TOR015	4	o	o	linguistic	none	_	_	_	_	_	_
4-13	TOR015	4	meno	meno	linguistic	none	_	_	_	_	_	_
4-14	TOR015	4	questo	questo	linguistic	none	_	_	_	_	_	_
4-15	TOR015	4	quartiere?	quartiere	linguistic	none	Intonation=Rising	End=12.81	_	_	_	_
5-0	TOI109	5	sì.	sì	linguistic	none	Intonation=Falling	Begin=12.84|End=13.273	_	_	_	_
6-0	TOI109	6	allora	allora	linguistic	none	_	Begin=14.515|End=15.24	_	_	_	_
7-0	TOI109	7	(°stai	stai	linguistic	none	Volume=Low	Begin=16.838	_	_	0-4(0)	_
7-1	TOI109	7	registrando°),	registrando	linguistic	none	Intonation=WeaklyRising|Volume=Low	End=17.825	_	_	0-11(0)	_
8-0	TOI109	8	allora	allora	linguistic	none	_	Begin=19.98|End=20.755	_	_	_	_
9-0	TOI109	9	sono	sono	linguistic	none	_	Begin=22.476	_	_	_	_
9-1	TOI109	9	arrivata	arrivata	linguistic	none	_	_	_	_	_	_
9-2	TOI109	9	a	a	linguistic	none	_	_	_	_	_	_
9-3	TOI109	9	torino,	torino	linguistic	none	Intonation=WeaklyRising	End=24.73	_	_	_	_
10-0	TOI109	10	e::h	eh	linguistic	none	_	Begin=28.338	0x2	_	_	_
10-1	TOI109	10	eh	eh	linguistic	none	_	_	_	_	_	_
