term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
condizionare,True,condizionare,to influence,verb,to influence,Verbs & Actions,,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; past participle 'condizionato',Voglio condizionare il risultato.,I want to influence the result.,23de5e1d46701496e0e36a6fa938786f72abb782e87463bc768dd72ce1f5ccbb,1464.0,c9e091f38108740f0fb52e2f1e9e2beda70dcac9874300c47fa33a91401fec69,1776.0,kohn-dee-tsyoh-NAH-reh
condizionando,False,condizionare,to influence,verb,influencing,Verbs & Actions,,,,,gerund,,False,False,False,,,,,gerund form,Stai condizionando la partita.,You are influencing the match.,befd4962f2d9f48bc7168b2597bc788d26737202e770d42a078660f7a45d7364,1440.0,96029145e0e083be171983284e12bdddadda95f4c889ef9b5e8b126e17216e1a,1920.0,kohn-dee-tsyoh-NAHN-doh
condizionato,False,condizionare,to influence,verb,conditioned,Verbs & Actions,,,masculine,singular,participle,past,False,False,False,,,,,past participle; masculine singular,L'ho condizionato.,I conditioned it/him.,ce906efcfe770d383d2c1e9374dd1d7c3b10fcddd30f1cf0446cb38f7e3bdb7a,1272.0,2c65f3fc4326cc89f91fbf79f980fa08956599724018d7f6497fa9eb90029342,1872.0,kohn-dee-tsyoh-NAH-toh
condizionata,False,condizionare,to influence,verb,conditioned,Verbs & Actions,,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular,L'ho condizionata.,I conditioned it/her.,ce906efcfe770d383d2c1e9374dd1d7c3b10fcddd30f1cf0446cb38f7e3bdb7a,1272.0,8d101bc2b2991a47a7627e7136a3505298a36cf16008010e85da79e1aa585d45,1848.0,kohn-dee-tsyoh-NAH-tah
condizionati,False,condizionare,to influence,verb,conditioned,Verbs & Actions,,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,Li ho condizionati.,I conditioned them.,ce906efcfe770d383d2c1e9374dd1d7c3b10fcddd30f1cf0446cb38f7e3bdb7a,1272.0,9ca8a727891765763487b653c1956d3741cec1bed102b96738f038f345f4ae50,1848.0,kohn-dee-tsyoh-NAH-tee
condizionate,False,condizionare,to influence,verb,conditioned,Verbs & Actions,,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Le ho condizionate.,I conditioned them.,ce906efcfe770d383d2c1e9374dd1d7c3b10fcddd30f1cf0446cb38f7e3bdb7a,1272.0,d3b1b81f710e1a673ef470d5acc1ba4a6aaa754644bf115a3b788d149ae6a254,1824.0,kohn-dee-tsyoh-NAH-teh
condiziono,False,condizionare,to influence,verb,I influence,Verbs & Actions,,1s,,singular,indicative,present,False,False,False,,,,,,Io condiziono la scelta.,I influence the choice.,9c58c85bb2defd2eeddcdb46450cf72aa8fdd47d735f2c2e2234d35226c8e2a1,1464.0,441187d2eea782602c72ee77c432618b6724a71e3aa2181d21ff3da37151d6c4,1728.0,kohn-dee-TSYOH-noh
condizioni,False,condizionare,to influence,verb,you influence,Verbs & Actions,,2s,,singular,indicative,present,False,False,False,,,,,,Tu condizioni il risultato.,You influence the result.,339fa2ffdf09c5bba8d6f00e50ea1211879634a62f33bbfdbc5ae81a1ee3d313,1512.0,29b98b3f6f770c724c6d40360730a292b0f7a4a0626182e7aa53be327e8d21bd,1704.0,kohn-dee-TSYOH-nee
condiziona,False,condizionare,to influence,verb,he influences/she influences/you (formal) influence,Verbs & Actions,,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei condiziona la decisione.,You (formal) influence the decision.,83f16c67b363b15acb75bdd340cfa85d7ee7bff3b81b82b6068e5c04f3d6ca6c,5592.0,b815d8be5a2a020e7e7b9f60090416c06eb8ca55b85cba81186f6b4cc6b47613,1704.0,kohn-dee-TSYOH-nah
condizioniamo,False,condizionare,to influence,verb,we influence,Verbs & Actions,,1p,,plural,indicative,present,False,False,False,,,,,,Noi condizioniamo la scelta.,We influence the choice.,ef60f0d8e749aaf08b24e183cf1b2ac3c437d3b310938d04a5c949f91af0a7a5,1512.0,26c716ed6320b76e4d86c9c9b80f7159c45706732e866ad2554ec464caa1e345,1872.0,kohn-dee-tsyoh-NYAH-moh
condizionate,False,condizionare,to influence,verb,you (plural) influence,Verbs & Actions,,2p,,plural,indicative,present,False,False,False,,,,,,Voi condizionate la partita.,You (plural) influence the match.,9eb2b43b0cfac850a597205bc137943a79644a52aea44bf12b0c2e58cbd7f2e8,2616.0,d3b1b81f710e1a673ef470d5acc1ba4a6aaa754644bf115a3b788d149ae6a254,1824.0,kohn-dee-tsyoh-NAH-teh
condizionano,False,condizionare,to influence,verb,they influence,Verbs & Actions,,3p,,plural,indicative,present,False,False,False,,,,,,Loro condizionano i risultati.,They influence the results.,41401162f3cbeafc5736c1db9f6edd349fdae0738226fe357bafc8d16bdd24dd,1536.0,ae42200c407c6e723be86bdf53e6aff801d0ab3deb57d91901f3e6025fbda216,1824.0,kohn-dee-tsyoh-NAH-noh
condizionavo,False,condizionare,to influence,verb,I was influencing,Verbs & Actions,,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io condizionavo spesso le scelte.,I was influencing the choices.,d9fdfc0442aa17b58c675191bbf1b6908b1f31df386ec5697ef98d1c7c514ede,1728.0,2fb10c149721af3afad8be32e3716981155f9a11b8ca1a6ad183013ba2267f58,1848.0,kohn-dee-tsyoh-NAH-voh
condizionavi,False,condizionare,to influence,verb,you were influencing,Verbs & Actions,,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu condizionavi il gruppo.,You were influencing the group.,203edd27d02d016927d6ebb3edabe1164f90ddaa3514bd437280734ba1f2afb4,1752.0,4b612ac8df6b9d8106622cb8802bdde8151f04d155ce76ea28c3680f526243e5,1824.0,kohn-dee-tsyoh-NAH-vee
condizionava,False,condizionare,to influence,verb,he was influencing/she was influencing/you (formal) were influencing,Verbs & Actions,,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lei condizionava le decisioni.,You (formal) were influencing the decisions.,377d438adc43f68bc36dd72e0157365602b0638fab557f736378b292d82300fd,6120.0,b67df774bb35949095408c75e4c0bb65fd0013da71252691e7faaab0f19b7bcc,1824.0,kohn-dee-tsyoh-NAH-vah
condizionavamo,False,condizionare,to influence,verb,we were influencing,Verbs & Actions,,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi condizionavamo la partita.,We were influencing the match.,62996a0670fcf9ae3399de376ad88e721bc493059da6737aeb2e8a31890dfe42,1752.0,5fde2b1016d82bfd0976ef07601eca8951414409eb9d6f0f4405deb111118e70,1968.0,kohn-dee-tsyoh-nah-VAH-moh
condizionavate,False,condizionare,to influence,verb,you (plural) were influencing,Verbs & Actions,,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi condizionavate i bambini.,You (plural) were influencing the children.,21dcd027068a101aaca9ee996dae681f98982e319e322aae0c5dad24c857e749,2880.0,c9999dc1891836a410e68ca072da94e3358bf674b4812831102915f86f374a03,1968.0,kohn-dee-tsyoh-nah-VAH-teh
condizionavano,False,condizionare,to influence,verb,they were influencing,Verbs & Actions,,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro condizionavano il risultato.,They were influencing the result.,862c6b934823eda1e9efbbd59657741217ebf5611d9b16be05d049dd9fa306ee,1752.0,526f42766c52dc74e81003794d468b1e5bffca086afc9c7552b0e23726febc1c,1968.0,kohn-dee-tsyoh-nah-VAH-noh
ho condizionato,False,condizionare,to influence,verb,I have influenced,Verbs & Actions,,1s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'condizionato',Ho condizionato la scelta.,I have influenced the choice.,41dfd8a481dfa0c5ed270fea5e6823e579afa69812ec53d49fa113170d09804e,1632.0,353bf8f970e044e8a84ef80dfbd536db84e8f296520cdf8b234d70a17ba9b266,1968.0,OH kohn-dee-tsyoh-NAH-toh
hai condizionato,False,condizionare,to influence,verb,you have influenced,Verbs & Actions,,2s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'condizionato',Hai condizionato il clima del gruppo.,You have influenced the group's atmosphere.,2fad4cbf7194f9218603c47087d1a3b5571026d1e6e8284352a303d50d8296cd,1704.0,9403a06da3a0df914093e75876da5990fc02d9fa8ad182dc824169986b9a987e,2016.0,EYE kohn-dee-tsyoh-NAH-toh
ha condizionato,False,condizionare,to influence,verb,he has influenced/she has influenced/you (formal) have influenced,Verbs & Actions,,3s,,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; also used as formal 'Lei',Ha condizionato la partita.,He has influenced the match.,5f5d7cea01fd8b12e02ca610b1d302bceecc3a619f855399261ce5c3b62efa3d,5928.0,b8c09744a686753856b3e76ce6b4c2dcd7cc81dd129ea4ec3337a1d7ff36f292,1992.0,AH kohn-dee-tsyoh-NAH-toh
abbiamo condizionato,False,condizionare,to influence,verb,we have influenced,Verbs & Actions,,1p,,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary avere; past participle 'condizionato',Abbiamo condizionato il risultato.,We have influenced the result.,13db217e7562342a70dd37d420af1b5f13b3a782c75a88a1aca2d2798db5e0fe,1680.0,4358ea9dcf0cf42940b788348d38e14856283bf972e0efb1b1f7a703d3e1fab3,2376.0,ahb-BYAH-moh kohn-dee-tsyoh-NAH-toh
