term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
accorgersi,True,accorgersi,to notice/realize,verb,to notice/realize,Verbs & Actions,,,,,non-finite,infinitive,False,False,False,,,,,pronominal verb; compound tenses use essere,Accorgersi dei propri errori è il primo passo per migliorare.,To realize one's own mistakes is the first step toward improving.,f79444c52179888f82310f829a164766b6e64f3ea75ab51ac38ae40359d4f0b8,4b401199405ae6d4dd79b5c4b34f2b4337b5461a8445708d9684b22ca0fff717,2448.0,1728.0,ahk-kohr-JEHR-see
accorgendosi,False,accorgersi,to notice/realize,verb,realizing/noticing,Verbs & Actions,,,,,gerund,,False,False,False,,,,,gerund form,Accorgendosi dell errore si fermò.,Realizing the mistake he stopped.,fd82f76d5f4d7eae743129b02ec46bd9247b3b1cd665cb714e96d0b868117dcc,e9120667c72fb935523b422eb9cd075fcf90a1cef64d8051551b6ffef66d3325,2496.0,1896.0,ahk-kohr-jehn-DOH-see
accorto,False,accorgersi,to notice/realize,verb,noticed/realized,Verbs & Actions,,,masculine,singular,participle,past,False,False,False,,,,,past participle; irregular root,Me ne sono accorto.,I noticed it.,4806bb1af104e7b2a1ab37190608b7f1f8f7632734a7d6c2acccd9d043e534e6,2716a32f38c895aec8a23a1bf56d033ace681c7f5114f6ca8f5c81f94d063a8f,2352.0,1512.0,ahk-KOHR-toh
accorta,False,accorgersi,to notice/realize,verb,noticed/realized,Verbs & Actions,,,feminine,singular,participle,past,False,False,False,,,,,past participle; irregular root,Me ne sono accorta.,I noticed it.,a75cd05f0a5e693a7a97e6be606c3a6a1836912df86a45d9797145302bb562e3,2716a32f38c895aec8a23a1bf56d033ace681c7f5114f6ca8f5c81f94d063a8f,2352.0,1488.0,ahk-KOHR-tah
accorti,False,accorgersi,to notice/realize,verb,noticed/realized,Verbs & Actions,,,masculine,plural,participle,past,False,False,False,,,,,past participle; irregular root,Ce ne siamo accorti.,We noticed it.,5125727e538e9e4a3d344a4b68a1578755d607c332a4b84715a9572616a52a6d,2716a32f38c895aec8a23a1bf56d033ace681c7f5114f6ca8f5c81f94d063a8f,2352.0,1488.0,ahk-KOHR-tee
accorte,False,accorgersi,to notice/realize,verb,noticed/realized,Verbs & Actions,,,feminine,plural,participle,past,False,False,False,,,,,past participle; irregular root,Ce ne siamo accorte.,We noticed it.,cb3ae558d8f3a185af9e053491c994f87ec29f0ee61b53918627920a44d7fb34,2716a32f38c895aec8a23a1bf56d033ace681c7f5114f6ca8f5c81f94d063a8f,2352.0,1464.0,ahk-KOHR-teh
mi accorgo,False,accorgersi,to notice/realize,verb,I notice/I realize,Verbs & Actions,,1s,,singular,indicative,present,False,False,False,,,,,,Mi accorgo del rumore.,I notice the noise.,e8887cfed62a53b8e8f13aef129ecc75aa5b55b3e7767ca9ad64c2607fc3dbb2,fb87e4aeffd1161c92cb9009ef9bbfc1ad57405d3edab35bd22643ef38d1ceba,2568.0,1632.0,MEE ahk-KOHR-goh
ti accorgi,False,accorgersi,to notice/realize,verb,you notice/you realize,Verbs & Actions,,2s,,singular,indicative,present,False,False,False,,,,,,Ti accorgi della luce.,You notice the light.,1230911ef1f65b1f3ac40c25dd5c22079860b35345f77dee8c4fe86ab6d9a865,056911b4287c2bdc43a5381ca273d84c56a3fb1a3bac27e72257b6e522f6c737,2640.0,1632.0,TEE ahk-KOHR-jee
si accorge,False,accorgersi,to notice/realize,verb,he notices/she notices/you (formal) notice,Verbs & Actions,,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Si accorge del problema.,He notices the problem.,c712d6f2d920bbd9a3f312f304df1540843003bd8c5d1d7e1cdab7ef6df8b7cb,f9a726d3cb7109647137c5062e2d9b1ec521affd51560854a13f19fc6fc05bdf,4968.0,1704.0,SEE ahk-KOHR-jeh
ci accorgiamo,False,accorgersi,to notice/realize,verb,we notice/we realize,Verbs & Actions,,1p,,plural,indicative,present,False,False,False,,,,,,Ci accorgiamo di tutto.,We notice everything.,d7e2e554c74f922f8136e988fd3b61b0beed968194c5b7a83c9cf9037419d3ba,e9021613bbf45e3fdb8393a56fa7121bf097204dd05d53ed3a69169167ef7327,2640.0,1848.0,CHEE ahk-kohr-JYAH-moh
